leiden_base,n_cells,median_cc_score,mean_cc_score,frac_cells_top5pct,median_cc_frac_umi,dominant_celltype,dominant_celltype_frac,cc_genes_in_top50_markers
15,58,0.015244649460011021,0.011762045668415901,0.034482758620689655,0.00272224404051781,Vascular/Phloem parenchyma,0.7931034482758621,0
10,767,0.012239828784505719,0.015124010095166375,0.08604954367666232,0.0030721966205837174,Bundle sheath,0.6075619295958279,1
3,203,0.01193245743710114,0.014148791229103765,0.07881773399014778,0.003048780487804878,Hydathode cells,0.8325123152709359,0
14,2465,0.009698383886117108,0.012083179600218319,0.08559837728194726,0.0029784065524944155,Companion cells,0.9675456389452333,0
2,253,0.007747037534630491,0.00845085786683164,0.07905138339920949,0.0027442371020856204,Hydathode cells,0.9407114624505929,0
6,1023,0.0063986571024215524,0.010286419388143453,0.09188660801564028,0.0027548209366391185,Vascular/Phloem parenchyma,0.5610948191593352,0
5,622,0.006237309693347778,0.011142294453636447,0.09003215434083602,0.0026906370656370657,Bundle sheath,0.9517684887459807,0
9,1666,0.003481776625401457,0.007478899192606338,0.07563025210084033,0.002570694087403599,Bundle sheath,0.6512605042016807,1
16,192,0.0008734085994770626,0.005532961434981061,0.0625,0.0022228535782445697,Unknown,0.8541666666666666,0
4,540,-0.0011099797628616424,0.002111743349038286,0.06111111111111111,0.0024161886831005445,Guard cells,0.9185185185185185,0
0,2435,-0.0018374166967074605,0.0029753958437380196,0.06570841889117043,0.0021810250817884407,Epidermal,0.6295687885010267,0
8,3353,-0.0024128213219437034,0.001130560616723075,0.05040262451535938,0.002277904328018223,Mesophyll,0.9120190873844318,0
1,1723,-0.0048321301062339075,-0.00012219113925883017,0.05629715612304121,0.002117148906139732,Bundle sheath,0.4997098084735926,0
17,1054,-0.004833077780112688,-0.0014758335304178537,0.05028462998102467,0.0023228835050990125,Epidermal,0.7666034155597723,0
13,6129,-0.005724654882908457,-0.001427987492878475,0.04274759340838636,0.0019569471624266144,Mesophyll,0.9703051068689835,0
7,1029,-0.005846280084419682,-0.0014094969556932777,0.043731778425655975,0.002036659877800407,Mesophyll,0.9387755102040817,0
11,1708,-0.01050042288751164,-0.00655861408548404,0.027517564402810304,0.0018600334555192092,Mesophyll,0.8788056206088993,0
12,489,-0.013625576552309983,-0.011745299136845425,0.026584867075664622,0.0016638935108153079,Mesophyll,0.9877300613496932,0
18,3667,-0.029952547858910203,-0.02550334836837078,0.008999181892555223,0.0013531799729364006,Mesophyll,0.9743659667302973,0
19,1091,-0.032872685836622846,-0.02679774633491852,0.008249312557286892,0.001145475372279496,Mesophyll,0.9935838680109991,0
