grouping,cluster,n_cells,max_repblock_frac,dominant_repblock,effective_libraries,treatments_testable,testable,chloroplast_median
celltype_call,Epidermal/Pavement,742,0.784366576819407,rep3,6,2,"Control,Drought",0.29293334506067803
celltype_call,Bundle sheath,3872,0.6645144628099173,rep1,13,4,"Control,Heat,Drought,HD",0.6384680842390615
celltype_call,Epidermal,2565,0.6339181286549708,rep1,11,4,"Control,Heat,Drought,HD",2.92207792207792
celltype_call,Vascular/Phloem parenchyma,678,0.5398230088495575,rep1,13,4,"Control,Heat,Drought,HD",1.16800793738287
celltype_call,Hydathode cells,421,0.47980997624703087,rep1,9,4,"Control,Heat,Drought,HD",0.70323488045007
celltype_call,Guard cells,563,0.477797513321492,rep2,13,4,"Control,Heat,Drought,HD",1.03567318757192
celltype_call,Mesophyll,18778,0.46810096921929917,rep1,13,4,"Control,Heat,Drought,HD",1.433977352239785
celltype_call,Companion cells,2483,0.4635521546516311,rep2,13,4,"Control,Heat,Drought,HD",0.775193798449612
celltype_call,Unknown,365,0.4054794520547945,rep1,12,4,"Control,Heat,Drought,HD",0.11648223645894
cluster_annot,Mesophyll-7,2382,0.9147774979009236,rep3,6,2,"Control,Drought",0.18859032952181098
cluster_annot,Mesophyll-8,862,0.9002320185614849,rep3,6,2,"Control,Drought",0.20127494386897998
cluster_annot,Mesophyll-13,525,0.7847619047619048,rep3,6,2,"Control,Drought",0.0
cluster_annot,Epidermal/Pavement-9,742,0.784366576819407,rep3,6,2,"Control,Drought",0.29293334506067803
cluster_annot,Bundle sheath-3,3175,0.6847244094488188,rep1,10,4,"Control,Heat,Drought,HD",0.657894736842105
cluster_annot,Mesophyll-2,3193,0.6689633573441904,rep1,11,4,"Control,Heat,Drought,HD",1.24293785310734
cluster_annot,Epidermal-4,2565,0.6339181286549708,rep1,11,4,"Control,Heat,Drought,HD",2.92207792207792
cluster_annot,Bundle sheath-10,697,0.5724533715925395,rep1,13,4,"Control,Heat,Drought,HD",0.518672199170125
cluster_annot,Hydathode cells-16,179,0.553072625698324,rep1,8,3,"Control,Drought,HD",0.417101147028154
cluster_annot,Vascular/Phloem parenchyma-11,678,0.5398230088495575,rep1,13,4,"Control,Heat,Drought,HD",1.16800793738287
cluster_annot,Mesophyll-0,5249,0.5345780148599734,rep1,11,4,"Control,Heat,Drought,HD",4.98798076923077
cluster_annot,Mesophyll-5,2564,0.53198127925117,rep1,10,4,"Control,Heat,Drought,HD",0.4681140127423425
cluster_annot,Hydathode cells-15,242,0.5247933884297521,rep2,9,4,"Control,Heat,Drought,HD",1.0120266081075902
cluster_annot,Mesophyll-1,4003,0.5206095428428679,rep1,9,4,"Control,Heat,Drought,HD",13.030303030303
cluster_annot,Guard cells-12,563,0.477797513321492,rep2,13,4,"Control,Heat,Drought,HD",1.03567318757192
cluster_annot,Companion cells-6,2483,0.4635521546516311,rep2,13,4,"Control,Heat,Drought,HD",0.775193798449612
cluster_annot,Unknown-14,365,0.4054794520547945,rep1,12,4,"Control,Heat,Drought,HD",0.11648223645894
leiden_unintegrated,14,1392,0.9331896551724138,rep2,6,2,"Heat,Drought",5.37639421710713
leiden_unintegrated,10,2225,0.927191011235955,rep2,5,1,Drought,4.58248472505092
leiden_unintegrated,4,2836,0.9203102961918195,rep1,3,1,HD,12.16178256389605
leiden_unintegrated,18,2726,0.9112252384446075,rep3,9,3,"Control,Heat,Drought",0.19675475627766698
leiden_unintegrated,19,1760,0.8835227272727273,rep2,4,1,HD,14.356433599636649
leiden_unintegrated,11,2879,0.8447377561653352,rep1,10,3,"Control,Heat,Drought",0.918484500574053
leiden_unintegrated,1,1042,0.8330134357005758,rep1,10,4,"Control,Heat,Drought,HD",0.9181736725983449
leiden_unintegrated,5,969,0.7306501547987616,rep1,6,2,"Heat,HD",1.12201963534362
leiden_unintegrated,17,1443,0.6964656964656964,rep1,9,3,"Control,Heat,Drought",0.242718446601942
leiden_unintegrated,21,767,0.6453715775749674,rep1,2,1,HD,4.3359375
leiden_unintegrated,0,2111,0.6229275225011843,rep1,10,3,"Control,Heat,Drought",0.700280112044818
leiden_unintegrated,8,1865,0.5758713136729222,rep1,5,2,"Heat,HD",1.12359550561798
leiden_unintegrated,15,258,0.5503875968992248,rep2,9,4,"Control,Heat,Drought,HD",0.9639362417728625
leiden_unintegrated,3,617,0.5494327390599676,rep1,13,4,"Control,Heat,Drought,HD",1.00840336134454
leiden_unintegrated,12,633,0.5481832543443917,rep1,13,4,"Control,Heat,Drought,HD",0.363636363636364
leiden_unintegrated,13,875,0.5325714285714286,rep1,10,3,"Control,Heat,Drought",0.260416666666667
leiden_unintegrated,16,2361,0.5260482846251588,rep1,11,3,"Control,Heat,Drought",0.0
leiden_unintegrated,20,193,0.5025906735751295,rep1,8,3,"Control,Drought,HD",0.417101147028154
leiden_unintegrated,6,2499,0.46938775510204084,rep2,13,4,"Control,Heat,Drought,HD",0.72463768115942
leiden_unintegrated,7,445,0.44269662921348313,rep1,12,4,"Control,Heat,Drought,HD",0.190597204574333
leiden_unintegrated,9,524,0.4389312977099237,rep2,13,4,"Control,Heat,Drought,HD",0.920125451496388
leiden_unintegrated,2,47,0.425531914893617,rep1,1,0,-,0.30902348578492
leiden_harmony_repblock,5,778,0.7300771208226221,rep1,11,4,"Control,Heat,Drought,HD",0.6561225807641925
leiden_harmony_repblock,13,1022,0.649706457925636,rep2,11,4,"Control,Heat,Drought,HD",9.67158864632717
leiden_harmony_repblock,6,1903,0.6195480819758277,rep1,11,3,"Control,Heat,Drought",0.205338809034908
leiden_harmony_repblock,0,2068,0.6088007736943907,rep1,11,3,"Control,Heat,Drought",0.724566878609345
leiden_harmony_repblock,12,745,0.5825503355704698,rep1,5,2,"Drought,HD",0.91533180778032
leiden_harmony_repblock,18,3522,0.5732538330494037,rep1,3,1,HD,13.160479784924
leiden_harmony_repblock,1,1440,0.5680555555555555,rep2,6,3,"Heat,Drought,HD",4.18100537098382
leiden_harmony_repblock,8,1690,0.5508875739644971,rep1,7,3,"Heat,Drought,HD",1.601428557859445
leiden_harmony_repblock,16,854,0.5480093676814989,rep1,11,3,"Control,Heat,Drought",0.265786480739752
leiden_harmony_repblock,17,188,0.5478723404255319,rep1,7,3,"Control,Drought,HD",0.3844306510012565
leiden_harmony_repblock,19,1042,0.5470249520153551,rep2,4,1,Heat,10.70436507936505
leiden_harmony_repblock,11,251,0.5418326693227091,rep2,9,4,"Control,Heat,Drought,HD",0.955109837631328
leiden_harmony_repblock,10,1939,0.520371325425477,rep1,10,4,"Control,Heat,Drought,HD",1.04651162790698
leiden_harmony_repblock,2,648,0.5169753086419753,rep1,13,4,"Control,Heat,Drought,HD",1.1292630743726702
leiden_harmony_repblock,9,2567,0.5040903778730035,rep1,12,4,"Control,Heat,Drought,HD",0.0
leiden_harmony_repblock,4,573,0.493891797556719,rep1,13,4,"Control,Heat,Drought,HD",0.474254742547426
leiden_harmony_repblock,3,545,0.47155963302752296,rep2,13,4,"Control,Heat,Drought,HD",0.845070422535211
leiden_harmony_repblock,7,500,0.47,rep1,13,4,"Control,Heat,Drought,HD",0.2316614749054275
leiden_harmony_repblock,15,2493,0.46409947853991174,rep2,13,4,"Control,Heat,Drought,HD",0.720461095100865
leiden_harmony_repblock,14,5699,0.4499034918406738,rep3,12,4,"Control,Heat,Drought,HD",0.349040139616056
leiden_harmony_library,1,1322,0.6770045385779122,rep1,12,4,"Control,Heat,Drought,HD",0.7797706117598825
leiden_harmony_library,7,2176,0.6102941176470589,rep1,13,4,"Control,Heat,Drought,HD",0.500730253384343
leiden_harmony_library,8,1324,0.5498489425981873,rep1,13,4,"Control,Heat,Drought,HD",0.47581314617764703
leiden_harmony_library,0,1294,0.5417310664605873,rep1,8,4,"Control,Heat,Drought,HD",1.56174990321332
leiden_harmony_library,5,729,0.5267489711934157,rep1,13,4,"Control,Heat,Drought,HD",0.498930862437634
leiden_harmony_library,3,3391,0.5258035977587733,rep1,13,4,"Control,Heat,Drought,HD",1.24688279301746
leiden_harmony_library,12,3447,0.5178416013925152,rep1,13,4,"Control,Heat,Drought,HD",0.271186440677966
leiden_harmony_library,2,693,0.5108225108225108,rep1,13,4,"Control,Heat,Drought,HD",1.19118522930316
leiden_harmony_library,10,4910,0.5089613034623218,rep1,13,4,"Control,Heat,Drought,HD",12.31777806111605
leiden_harmony_library,6,550,0.49818181818181817,rep1,12,4,"Control,Heat,Drought,HD",0.231839811948171
leiden_harmony_library,4,592,0.4780405405405405,rep2,13,4,"Control,Heat,Drought,HD",0.948413087800783
leiden_harmony_library,13,2551,0.46609172873382987,rep2,13,4,"Control,Heat,Drought,HD",0.710339384372534
leiden_harmony_library,11,453,0.46578366445916114,rep1,11,4,"Control,Heat,Drought,HD",0.714924039320822
leiden_harmony_library,9,6975,0.41376344086021505,rep1,13,4,"Control,Heat,Drought,HD",0.632911392405063
leiden_harmony_library,14,60,0.36666666666666664,rep1,1,0,-,0.4464067766551325
leiden_combat_repblock,21,1622,0.9716399506781751,rep2,3,1,HD,15.60159533850685
leiden_combat_repblock,16,1033,0.9564375605033882,rep2,3,1,Heat,8.19327731092437
leiden_combat_repblock,9,2906,0.9291121816930489,rep1,3,1,HD,11.899876917431449
leiden_combat_repblock,18,2943,0.9051987767584098,rep3,11,4,"Control,Heat,Drought,HD",0.207253886010363
leiden_combat_repblock,17,2570,0.9,rep1,7,3,"Control,Heat,Drought",0.947888589398023
leiden_combat_repblock,2,1338,0.8602391629297459,rep2,7,3,"Heat,Drought,HD",0.437849858139713
leiden_combat_repblock,8,1259,0.7633042096902304,rep1,12,4,"Control,Heat,Drought,HD",0.886524822695035
