test,grouping,cell_type,comparison,lfc_cut,genes_tested,n_padj_sig,n_sig,n_up,n_down
pseudobulk_corrected,celltype_call,Bundle_sheath,Drought vs Control,0.0,32863,0,0,0,0
pseudobulk_corrected,celltype_call,Bundle_sheath,HD vs Control,0.0,32863,11,11,11,0
pseudobulk_corrected,celltype_call,Bundle_sheath,Heat vs Control,0.0,32863,0,0,0,0
pseudobulk_corrected,celltype_call,Companion_cells,Drought vs Control,0.0,32875,0,0,0,0
pseudobulk_corrected,celltype_call,Companion_cells,HD vs Control,0.0,32875,1,1,1,0
pseudobulk_corrected,celltype_call,Companion_cells,Heat vs Control,0.0,32875,0,0,0,0
pseudobulk_corrected,celltype_call,Epidermal-Pavement,Drought vs Control,0.0,26869,67,67,4,63
pseudobulk_corrected,celltype_call,Epidermal,Drought vs Control,0.0,32637,0,0,0,0
pseudobulk_corrected,celltype_call,Epidermal,HD vs Control,0.0,32637,504,504,478,26
pseudobulk_corrected,celltype_call,Epidermal,Heat vs Control,0.0,32637,0,0,0,0
pseudobulk_corrected,celltype_call,Guard_cells,Drought vs Control,0.0,29755,0,0,0,0
pseudobulk_corrected,celltype_call,Guard_cells,HD vs Control,0.0,29755,1,1,1,0
pseudobulk_corrected,celltype_call,Guard_cells,Heat vs Control,0.0,29755,2,2,2,0
pseudobulk_corrected,celltype_call,Hydathode_cells,Drought vs Control,0.0,28029,13,13,7,6
pseudobulk_corrected,celltype_call,Hydathode_cells,HD vs Control,0.0,28029,106,106,94,12
pseudobulk_corrected,celltype_call,Hydathode_cells,Heat vs Control,0.0,28029,6,6,0,6
pseudobulk_corrected,celltype_call,Mesophyll,Drought vs Control,0.0,34382,0,0,0,0
pseudobulk_corrected,celltype_call,Mesophyll,HD vs Control,0.0,34382,14,14,9,5
pseudobulk_corrected,celltype_call,Mesophyll,Heat vs Control,0.0,34382,0,0,0,0
pseudobulk_corrected,celltype_call,Unknown,Drought vs Control,0.0,28048,25,25,24,1
pseudobulk_corrected,celltype_call,Unknown,HD vs Control,0.0,28048,1,1,1,0
pseudobulk_corrected,celltype_call,Unknown,Heat vs Control,0.0,28048,0,0,0,0
pseudobulk_corrected,celltype_call,Vascular-Phloem_parenchyma,Drought vs Control,0.0,29751,0,0,0,0
pseudobulk_corrected,celltype_call,Vascular-Phloem_parenchyma,HD vs Control,0.0,29751,0,0,0,0
pseudobulk_corrected,celltype_call,Vascular-Phloem_parenchyma,Heat vs Control,0.0,29751,0,0,0,0
pseudobulk_corrected,cluster_annot,Bundle_sheath-10,Drought vs Control,0.0,29506,1,1,1,0
pseudobulk_corrected,cluster_annot,Bundle_sheath-10,HD vs Control,0.0,29506,2,2,2,0
pseudobulk_corrected,cluster_annot,Bundle_sheath-10,Heat vs Control,0.0,29506,2,2,2,0
pseudobulk_corrected,cluster_annot,Bundle_sheath-3,Drought vs Control,0.0,32296,8,8,7,1
pseudobulk_corrected,cluster_annot,Bundle_sheath-3,HD vs Control,0.0,32296,416,416,379,37
pseudobulk_corrected,cluster_annot,Bundle_sheath-3,Heat vs Control,0.0,32296,0,0,0,0
pseudobulk_corrected,cluster_annot,Companion_cells-6,Drought vs Control,0.0,32875,0,0,0,0
pseudobulk_corrected,cluster_annot,Companion_cells-6,HD vs Control,0.0,32875,1,1,1,0
pseudobulk_corrected,cluster_annot,Companion_cells-6,Heat vs Control,0.0,32875,0,0,0,0
pseudobulk_corrected,cluster_annot,Epidermal-4,Drought vs Control,0.0,32637,0,0,0,0
pseudobulk_corrected,cluster_annot,Epidermal-4,HD vs Control,0.0,32637,504,504,478,26
pseudobulk_corrected,cluster_annot,Epidermal-4,Heat vs Control,0.0,32637,0,0,0,0
pseudobulk_corrected,cluster_annot,Epidermal-Pavement-9,Drought vs Control,0.0,26869,67,67,4,63
pseudobulk_corrected,cluster_annot,Guard_cells-12,Drought vs Control,0.0,29755,0,0,0,0
pseudobulk_corrected,cluster_annot,Guard_cells-12,HD vs Control,0.0,29755,1,1,1,0
pseudobulk_corrected,cluster_annot,Guard_cells-12,Heat vs Control,0.0,29755,2,2,2,0
pseudobulk_corrected,cluster_annot,Hydathode_cells-15,Drought vs Control,0.0,26323,1,1,0,1
pseudobulk_corrected,cluster_annot,Hydathode_cells-15,HD vs Control,0.0,26323,74,74,66,8
pseudobulk_corrected,cluster_annot,Hydathode_cells-15,Heat vs Control,0.0,26323,1,1,0,1
pseudobulk_corrected,cluster_annot,Hydathode_cells-16,Drought vs Control,0.0,22164,32,32,32,0
pseudobulk_corrected,cluster_annot,Hydathode_cells-16,HD vs Control,0.0,22164,25,25,23,2
pseudobulk_corrected,cluster_annot,Mesophyll-0,Drought vs Control,0.0,32126,0,0,0,0
pseudobulk_corrected,cluster_annot,Mesophyll-0,HD vs Control,0.0,32126,902,902,822,80
pseudobulk_corrected,cluster_annot,Mesophyll-0,Heat vs Control,0.0,32126,0,0,0,0
pseudobulk_corrected,cluster_annot,Mesophyll-13,Drought vs Control,0.0,25509,14,14,0,14
pseudobulk_corrected,cluster_annot,Mesophyll-1,Drought vs Control,0.0,32059,1,1,1,0
pseudobulk_corrected,cluster_annot,Mesophyll-1,HD vs Control,0.0,32059,711,711,683,28
pseudobulk_corrected,cluster_annot,Mesophyll-1,Heat vs Control,0.0,32059,2,2,1,1
pseudobulk_corrected,cluster_annot,Mesophyll-2,Drought vs Control,0.0,33015,0,0,0,0
pseudobulk_corrected,cluster_annot,Mesophyll-2,HD vs Control,0.0,33015,316,316,306,10
pseudobulk_corrected,cluster_annot,Mesophyll-2,Heat vs Control,0.0,33015,0,0,0,0
pseudobulk_corrected,cluster_annot,Mesophyll-5,Drought vs Control,0.0,32018,22,22,21,1
pseudobulk_corrected,cluster_annot,Mesophyll-5,HD vs Control,0.0,32018,450,450,434,16
pseudobulk_corrected,cluster_annot,Mesophyll-5,Heat vs Control,0.0,32018,0,0,0,0
pseudobulk_corrected,cluster_annot,Mesophyll-7,Drought vs Control,0.0,27267,1,1,0,1
pseudobulk_corrected,cluster_annot,Mesophyll-8,Drought vs Control,0.0,27222,5,5,0,5
pseudobulk_corrected,cluster_annot,Unknown-14,Drought vs Control,0.0,28048,25,25,24,1
pseudobulk_corrected,cluster_annot,Unknown-14,HD vs Control,0.0,28048,1,1,1,0
pseudobulk_corrected,cluster_annot,Unknown-14,Heat vs Control,0.0,28048,0,0,0,0
pseudobulk_corrected,cluster_annot,Vascular-Phloem_parenchyma-11,Drought vs Control,0.0,29751,0,0,0,0
pseudobulk_corrected,cluster_annot,Vascular-Phloem_parenchyma-11,HD vs Control,0.0,29751,0,0,0,0
pseudobulk_corrected,cluster_annot,Vascular-Phloem_parenchyma-11,Heat vs Control,0.0,29751,0,0,0,0
