run_id,library,stage,n_cells_collaborator,n_cells_realigned,n_genes_collaborator,n_genes_realigned,n_cells_shared,n_genes_shared,cell_jaccard,gene_jaccard,total_umis_collaborator,total_umis_realigned,identical,n_differing_entries,frac_entries_differing,max_abs_diff,sum_abs_diff,shared_umis_collaborator,shared_umis_realigned,frac_umis_removed_shared_cells,per_cell_umi_pearson,per_gene_umi_pearson,per_gene_umi_spearman,median_per_cell_ratio,n_cells_cellbender,n_genes_cellbender,total_umis_cellbender,shared_umis_cellbender
Control_1,leaf_control_rep1,cellranger_filtered,6248,6248.0,52996,52996.0,6248,52996,1.0,1.0,7229495.0,7229495.0,True,0,0.0,0.0,0.0,7229495.0,7229495.0,0.0,0.9999999999999999,1.0,0.9999999999999999,1.0,,,,
Control_1,leaf_control_rep1,cellranger_raw,362956,362956.0,52996,52996.0,362956,52996,1.0,1.0,19375260.0,19375260.0,True,0,0.0,0.0,0.0,19375262.0,19375262.0,0.0,1.0,1.0,0.9999999999999999,1.0,,,,
Control_1,leaf_control_rep1,cellranger_vs_cellbender,6248,,52996,,6248,52996,0.6327088607594936,1.0,7229495.0,,False,168543,0.038073721738321124,181.0,1113422.0,7229495.0,,0.15401103396571958,0.9989105615489046,0.9954479538696576,0.9993126357178084,0.8066638027102668,9875.0,52996.0,6804843.0,6116073.0
Control_1A,leaf_control_rep1A,cellranger_filtered,27367,27367.0,52996,52996.0,27367,52996,1.0,1.0,13359183.0,13359183.0,True,0,0.0,0.0,0.0,13359183.0,13359183.0,0.0,1.0,1.0,1.0,1.0,,,,
Control_1A,leaf_control_rep1A,cellranger_raw,501076,501076.0,52996,52996.0,501076,52996,1.0,1.0,18654722.0,18654722.0,True,0,0.0,0.0,0.0,18654730.0,18654730.0,0.0,1.0,1.0,1.0,1.0,,,,
Control_1A,leaf_control_rep1A,cellranger_vs_cellbender,27367,,52996,,9102,52996,0.33259034603719806,1.0,13359183.0,,False,1067538,0.2237903644225607,271.0,2569052.0,7600614.0,,0.33800585057996635,0.9728556364129963,0.9911860100172794,0.9960580916414066,0.6457863155791044,9102.0,52996.0,5031562.0,5031562.0
Control_2,leaf_control_rep2,cellranger_filtered,3310,1615.0,52996,52996.0,1615,52996,0.4879154078549849,1.0,3360861.0,1509668.0,False,332994,0.32713115543234156,1250.0,749380.0,2256654.0,1509668.0,0.33101487159729004,0.9970795300548231,0.9999934151821457,0.9863567813280256,0.6671018004417419,,,,
Control_2,leaf_control_rep2,cellranger_raw,461664,346986.0,52996,52996.0,346945,52996,0.7514430209765977,1.0,22898252.0,14237535.0,False,1911969,0.3778904044718283,1250.0,8652332.0,22881508.0,14237529.0,0.37777137756347656,0.9970402112272608,0.9999993062739674,0.9910092870003524,0.6315789222717285,,,,
Control_2,leaf_control_rep2,cellranger_vs_cellbender,3310,,52996,,3310,52996,0.41287264562804044,1.0,3360861.0,,False,121930,0.08401826861590704,308.0,994460.0,3360861.0,,0.2958944151513555,0.9949645271005102,0.9998406489207295,0.9974216888175794,0.6441079871058293,8017.0,52996.0,3386256.0,2366401.0
Control_3,leaf_control_rep3,cellranger_filtered,2674,2674.0,52996,52996.0,2674,52996,1.0,1.0,2108902.0,2108902.0,True,0,0.0,0.0,0.0,2108902.0,2108902.0,0.0,1.0,1.0,0.9999999999999999,1.0,,,,
Control_3,leaf_control_rep3,cellranger_raw,556327,556327.0,52996,52996.0,556327,52996,1.0,1.0,5533919.0,5533919.0,True,0,0.0,0.0,0.0,5533919.0,5533919.0,0.0,1.0,1.0,1.0,1.0,,,,
Control_3,leaf_control_rep3,cellranger_vs_cellbender,2674,,52996,,2674,52996,0.7012850773669027,1.0,2108902.0,,False,60653,0.034692479111184324,11.0,62687.0,2108902.0,,0.02972494691550387,0.999622526888798,0.9936762443846244,0.9994004109067187,0.9725038828109499,3813.0,52996.0,2181936.0,2046215.0
Heat_1,leaf_Heat_rep1,cellranger_filtered,27618,27618.0,52996,52996.0,27618,52996,1.0,1.0,6868380.0,6868380.0,True,0,0.0,0.0,0.0,6868380.0,6868380.0,0.0,1.0,1.0,1.0,1.0,,,,
Heat_1,leaf_Heat_rep1,cellranger_raw,418330,418330.0,52996,52996.0,418330,52996,1.0,1.0,8946653.0,8946653.0,True,0,0.0,0.0,0.0,8946653.0,8946653.0,0.0,0.9999999999999998,0.9999999999999999,1.0,1.0,,,,
Heat_1,leaf_Heat_rep1,cellranger_vs_cellbender,27618,,52996,,5813,52996,0.21047867332898834,1.0,6868380.0,,False,428580,0.22880504910782687,144.0,980607.0,2960687.0,,0.3312092767658317,0.9741881116426243,0.9968714980946332,0.9948494965365102,0.6519916142557652,5813.0,52996.0,1980080.0,1980080.0
Heat_2,leaf_Heat_rep2,cellranger_filtered,26616,19414.0,52996,52996.0,19414,52996,0.7294108806732792,1.0,10919819.0,6800599.0,False,1771945,0.29432747572470425,1674.0,2651914.0,9440425.0,6800599.0,0.27963000535964966,0.9986893858283169,0.9999905088787299,0.9928804404777901,0.713004469871521,,,,
Heat_2,leaf_Heat_rep2,cellranger_raw,491162,372196.0,52996,52996.0,372159,52996,0.7576542297520964,1.0,18600144.0,12895788.0,False,3526216,0.3277078712541967,1674.0,5705958.0,18583634.0,12895785.0,0.30606764554977417,0.9984484512604018,0.9999976273413284,0.9953033297296741,0.7018633484840393,,,,
Heat_2,leaf_Heat_rep2,cellranger_vs_cellbender,26616,,52996,,10281,52996,0.38627141568981066,1.0,10919819.0,,False,1339309,0.2905686346359911,159.0,2492065.0,6883929.0,,0.36201201377875925,0.9837260212499547,0.9968184171124678,0.9951630249497645,0.5778748180494906,10281.0,52996.0,4391864.0,4391864.0
Heat_3,leaf_Heat_rep3,cellranger_filtered,3919,3919.0,52996,52996.0,3919,52996,1.0,1.0,2780733.0,2780733.0,True,0,0.0,0.0,0.0,2780733.0,2780733.0,0.0,1.0,1.0,1.0,1.0,,,,
Heat_3,leaf_Heat_rep3,cellranger_raw,301699,301699.0,52996,52996.0,301699,52996,1.0,1.0,5745864.0,5745864.0,True,0,0.0,0.0,0.0,5745864.0,5745864.0,0.0,1.0,0.9999999999999998,1.0,1.0,,,,
Heat_3,leaf_Heat_rep3,cellranger_vs_cellbender,3919,,52996,,3918,52996,0.7335704924171503,1.0,2780733.0,,False,75528,0.032566402207657816,14.0,83154.0,2780307.0,,0.02990820797847149,0.999413848497,0.9849823015565558,0.999486856454459,0.972636815920398,5340.0,52996.0,2864467.0,2697153.0
Drought_1,leaf_drought_rep1,cellranger_filtered,22418,22418.0,52996,52996.0,22418,52996,1.0,1.0,9518515.0,9518515.0,True,0,0.0,0.0,0.0,9518515.0,9518515.0,0.0,1.0,1.0,0.9999999999999999,1.0,,,,
Drought_1,leaf_drought_rep1,cellranger_raw,356265,356265.0,52996,52996.0,356265,52996,1.0,1.0,13464621.0,13464621.0,True,0,0.0,0.0,0.0,13464621.0,13464621.0,0.0,1.0,1.0,0.9999999999999999,1.0,,,,
Drought_1,leaf_drought_rep1,cellranger_vs_cellbender,22418,,52996,,6307,52996,0.28133642608618076,1.0,9518515.0,,False,335941,0.15666186339111254,269.0,1688291.0,4798087.0,,0.35186752553673994,0.9790297940035977,0.9998262979057824,0.9975221068369362,0.5995449374288965,6307.0,52996.0,3109796.0,3109796.0
