run_id,replicate,Estimated Number of Cells,Mean Reads per Cell,Median Genes per Cell,Number of Reads,Valid Barcodes,Valid UMI Sequences,Sequencing Saturation,Q30 Bases in Barcode,Q30 Bases in RNA Read,Q30 Bases in UMI,Reads Mapped to Genome,Reads Mapped Confidently to Genome,Reads Mapped Confidently to Intergenic Regions,Reads Mapped Confidently to Intronic Regions,Reads Mapped Confidently to Exonic Regions,Reads Mapped Confidently to Transcriptome,Reads Mapped Antisense to Gene,Fraction Reads in Cells,Total Genes Detected,Median UMI Counts per Cell
Control_1,rep1,6248.0,39876.0,535.0,249144126.0,0.85,0.997,0.74,0.9620000000000001,0.963,0.9740000000000001,0.8420000000000001,0.396,0.059000000000000004,0.043,0.294,0.32,0.017,0.54,39806.0,848.0
Control_1A,rep1A,27367.0,11053.0,133.0,302499115.0,0.758,0.997,0.825,0.9640000000000001,0.9620000000000001,0.975,0.91,0.478,0.077,0.047,0.354,0.37799999999999995,0.023,0.7809999999999999,43191.0,367.0
Control_2,rep2,1742.0,94606.0,335.0,164804135.0,0.8390000000000001,0.9620000000000001,0.46399999999999997,0.9520000000000001,0.9740000000000001,0.9690000000000001,0.606,0.218,0.026000000000000002,0.01,0.182,0.18600000000000003,0.006,0.136,33482.0,706.0
Control_3,rep3,2674.0,124512.0,566.0,332944879.0,0.9109999999999999,0.966,0.963,0.972,0.961,0.977,0.728,0.642,0.126,0.069,0.447,0.479,0.036000000000000004,0.648,35832.0,657.0
Heat_1,rep1,27618.0,13237.0,74.0,365584235.0,0.77,0.997,0.924,0.9540000000000001,0.941,0.9670000000000001,0.8420000000000001,0.46799999999999997,0.096,0.046,0.326,0.34600000000000003,0.025,0.804,42438.0,189.0
Heat_2,rep2,20390.0,7199.0,165.0,146780509.0,0.853,0.9620000000000001,0.64,0.9520000000000001,0.972,0.9690000000000001,0.578,0.355,0.057999999999999996,0.025,0.272,0.28,0.017,0.61,43728.0,252.0
Heat_3,rep3,3919.0,95209.0,493.0,373125842.0,0.888,0.97,0.97,0.972,0.963,0.978,0.868,0.762,0.16,0.086,0.516,0.552,0.049,0.72,36746.0,571.0
Drought_1,rep1,22418.0,12643.0,59.0,283438876.0,0.7240000000000001,0.997,0.826,0.96,0.953,0.972,0.882,0.366,0.051,0.028999999999999998,0.28600000000000003,0.302,0.013999999999999999,0.753,40325.0,329.0
Drought_2,rep2,37925.0,6066.0,67.0,230036274.0,0.7509999999999999,0.966,0.414,0.953,0.971,0.971,0.866,0.316,0.032,0.015,0.27,0.276,0.008,0.7190000000000001,45629.0,461.0
Drought_3,rep3,1813.0,198468.0,523.0,359821662.0,0.902,0.97,0.9790000000000001,0.971,0.963,0.978,0.8590000000000001,0.779,0.16399999999999998,0.08199999999999999,0.5329999999999999,0.569,0.045,0.604,34223.0,593.0
HD_1,rep1,7153.0,24337.0,680.0,174080011.0,0.8759999999999999,0.998,0.6679999999999999,0.9620000000000001,0.9620000000000001,0.9740000000000001,0.682,0.406,0.063,0.04,0.303,0.32799999999999996,0.015,0.607,39710.0,954.0
HD_2,rep2,4283.0,40548.0,621.0,173668836.0,0.8059999999999999,0.966,0.657,0.953,0.9690000000000001,0.971,0.725,0.376,0.049,0.023,0.304,0.31,0.016,0.47700000000000004,37895.0,923.0
HD_3,rep3,1306.0,320229.0,547.0,418219448.0,0.904,0.9690000000000001,0.973,0.971,0.9570000000000001,0.978,0.863,0.792,0.17,0.09,0.532,0.563,0.057,0.304,33351.0,616.0
