,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Glyma.14G162100.Wm82.a4.v1,4.496482605983848,3.2962769288122074,0.1497416061650963,22.01309985401069,2.1572627330852757e-107,4.0906015944763e-103
Glyma.02G250700.Wm82.a4.v1,7.816365901200193,-1.9193186054101714,0.09256131835087568,-20.735644647308696,1.65226395136754e-95,1.5665114522915647e-91
Glyma.03G261800.Wm82.a4.v1,35.760308770488486,-1.2639000905930595,0.06255791968057181,-20.203678399900188,9.086973986769316e-91,5.743573357903992e-87
Glyma.14G066000.Wm82.a4.v1,10.098933237416198,-1.5936603682661088,0.0794407281817565,-20.06099899562718,1.618005828686241e-89,7.670156630887126e-86
Glyma.08G308200.Wm82.a4.v1,4.40359955462393,2.3594057909441664,0.12142192090801104,19.431464873065604,4.182537532125594e-84,1.5861855336833105e-80
Glyma.05G029200.Wm82.a4.v1,2.7269310101548796,4.426608215725505,0.22825874738701607,19.392940101524896,8.852881178459208e-84,2.7978055484323918e-80
Glyma.19G138000.Wm82.a4.v1,3.38433934723575,1.993262206993196,0.10602767395235715,18.799452375884954,7.63000635921143e-79,2.0668597226195303e-75
Glyma.06G021200.Wm82.a4.v1,6.334006134409909,2.2320859838648954,0.12281677812831199,18.174112836056803,8.275618361150715e-74,1.9615284420517483e-70
Glyma.15G070900.Wm82.a4.v1,10.180321405057724,-3.4061951138086015,0.18982145650335464,-17.944204920524385,5.326749055448149e-72,1.1222868398823089e-68
Glyma.14G130700.Wm82.a4.v1,61.65201811650577,0.81395385333758,0.04757913873351022,17.107368376223008,1.307760117297806e-65,2.4212917546041345e-62
Glyma.20G237200.Wm82.a4.v1,3.9446035267413566,3.967828267026827,0.23199324802331023,17.103205808076567,1.404609708925508e-65,2.4212917546041345e-62
Glyma.02G124500.Wm82.a4.v1,6.650340942666052,1.9468573202063926,0.1140305574632075,17.073119377098156,2.352856456275644e-65,3.7179053436582304e-62
