,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Glyma.01G141900.Wm82.a4.v1,6.082015292772787,3.6697862528494447,0.09638466088397063,38.07438049989293,0.0,0.0
Glyma.03G025600.Wm82.a4.v1,13.724713179695351,4.401982076023047,0.09395350471601746,46.85277137163128,0.0,0.0
Glyma.18G034600.Wm82.a4.v1,10.591065911183343,-3.7382660993454238,0.09467981885366797,-39.48324093356248,0.0,0.0
Glyma.16G101000.Wm82.a4.v1,3.8744084682297744,4.362300548166492,0.12123098026296152,35.98338096998183,1.5221273440023356e-283,8.638072677213254e-280
Glyma.07G151800.Wm82.a4.v1,8.477023142846615,6.7653472530977306,0.19095113821438087,35.42972991081244,5.95292136538516e-275,2.7026262998848626e-271
Glyma.02G250700.Wm82.a4.v1,7.816365901200193,-3.1784285161470076,0.09059357189055015,-35.08448171120793,1.1625321546211471e-269,4.3982466516500066e-266
Glyma.01G241400.Wm82.a4.v1,3.8880118635349126,5.052927748311187,0.14439057394226315,34.99485880796955,2.693727734627614e-268,8.735374225149548e-265
Glyma.19G219100.Wm82.a4.v1,8.87088302184941,6.170028485879125,0.17965171145005596,34.34439024308667,1.7079731254001446e-258,4.846373743322911e-255
Glyma.11G037100.Wm82.a4.v1,6.180982239045658,-3.7248060629831423,0.11026705138804181,-33.77986457509544,3.896649908208288e-250,9.828216990703127e-247
Glyma.07G222900.Wm82.a4.v1,3.5852863176243455,2.6160845909856034,0.07818571229460868,33.459880510239934,1.8487619656872796e-245,4.196689662110125e-242
Glyma.03G068100.Wm82.a4.v1,12.071459860721548,4.781693005476791,0.14621308995715304,32.70359040273371,1.388591749623888e-234,2.8655484287692957e-231
Glyma.05G022200.Wm82.a4.v1,5.790225125776316,5.892522999722956,0.1828022154941641,32.23441785863407,5.816900980672354e-228,1.1003637688438537e-224
Glyma.14G066000.Wm82.a4.v1,10.098933237416198,-2.372260714271541,0.07457617204963207,-31.809901863731348,4.7228269090729944e-222,8.246782371996691e-219
Glyma.14G124550.Wm82.a4.v1,6.702488814077413,-2.3125953835018187,0.07295537140463226,-31.698767876534742,1.6156156667533405e-220,2.6196054025214876e-217
Glyma.09G171000.Wm82.a4.v1,4.364764776888913,4.53679913204215,0.14375106824221512,31.560107257066186,1.3030120147865904e-218,1.9718915157103734e-215
Glyma.19G260900.Wm82.a4.v1,25.23605938921629,-1.4660803735377084,0.04696417833160251,-31.21699187806663,6.2660206310236295e-214,8.889916770264775e-211
Glyma.11G232500.Wm82.a4.v1,30.47937823327315,2.299843365227867,0.07369926359248692,31.205784876557694,8.893190717344288e-214,1.1875025251983254e-210
Glyma.20G021900.Wm82.a4.v1,5.29932200731595,2.125290348906107,0.06876099297479665,30.908371984754513,9.219102412800635e-210,1.1626312487254135e-206
Glyma.06G117800.Wm82.a4.v1,6.753021866794529,2.6429510462981405,0.08581330225852345,30.79885025675758,2.714996341323132e-208,3.243706155159742e-205
Glyma.08G106700.Wm82.a4.v1,3.675169331583358,5.650888634220956,0.1856878711392716,30.43219031781896,2.0612259735396522e-203,2.339491479967505e-200
Glyma.18G259700.Wm82.a4.v1,5.869075180192106,6.416954838685584,0.21087319605088706,30.430395891268564,2.177040746087507e-203,2.3532773779136384e-200
Glyma.05G149900.Wm82.a4.v1,7.901586251747463,3.411273250218967,0.1122449923014073,30.391317957943297,7.153789194066997e-203,7.381409759332765e-200
Glyma.01G238600.Wm82.a4.v1,4.277365830969645,5.9854771915701965,0.19775819677477177,30.26664527279797,3.1511559623170273e-201,3.1100539280259353e-198
Glyma.17G072400.Wm82.a4.v1,13.983291199104862,7.985142571788717,0.26522455165475606,30.10710178212691,3.9117780557210846e-199,3.6998900777028595e-196
Glyma.08G062300.Wm82.a4.v1,2.73011262703315,4.3990315767072605,0.14633383320126425,30.061616513912618,1.5392736817533207e-198,1.3976605030320151e-195
Glyma.19G155000.Wm82.a4.v1,4.589099336668063,-2.8654205160886654,0.09543135022439875,-30.025987365272226,4.4948353994517844e-198,3.924337060290597e-195
Glyma.10G180600.Wm82.a4.v1,5.67745008421095,2.6884763417722786,0.08964662318970266,29.98971122518637,1.3365866909762002e-197,1.1237228846355462e-194
Glyma.16G178800.Wm82.a4.v1,8.344429496635218,5.701822366823014,0.19320433730463418,29.51187559434904,2.0271345069858982e-191,1.643426903877853e-188
Glyma.05G180500.Wm82.a4.v1,3.0734320498888144,4.707262359915047,0.15958093897215364,29.497647966192567,3.086035061926897e-191,2.4156205484738124e-188
Glyma.08G242100.Wm82.a4.v1,3.5129653453319305,4.23904283888057,0.14388272815776834,29.46179081503398,8.892066009503694e-191,6.728329947191129e-188
