,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Glyma.01G238600.Wm82.a4.v1,354.9905251353799,7.554937491864995,0.9568950318733757,7.895262531642789,2.89704771776784e-15,3.976632549794025e-11
Glyma.07G151800.Wm82.a4.v1,679.5486466507101,7.774682975205809,0.9769270496614681,7.958304540651166,1.7441264450734107e-15,3.976632549794025e-11
Glyma.14G010900.Wm82.a4.v1,500.1464113830018,-3.027949567279162,0.4028109399388867,-7.517048985160516,5.6026429982090776e-14,5.126978607661127e-10
Glyma.19G222500.Wm82.a4.v1,174.4396794338321,-3.9120513485904493,0.5353445776482754,-7.307538942069366,2.7207948835545156e-13,1.867349548455553e-09
Glyma.18G024000.Wm82.a4.v1,19.440137388143086,-3.408575360957323,0.471910411094339,-7.222928930626875,5.087960834359456e-13,2.793595775713403e-09
Glyma.11G092900.Wm82.a4.v1,111.35121648848634,-2.655350936727081,0.36935960080885805,-7.189067052574636,6.523553300809143e-13,2.9848518127852235e-09
Glyma.15G011200.Wm82.a4.v1,372.6744322611288,-5.130011026787107,0.7364416092947793,-6.965944023314537,3.2620883910671035e-12,1.2793444657137883e-08
Glyma.18G259700.Wm82.a4.v1,456.31692638766526,7.636500173258425,1.1006676435417209,6.938061837346056,3.9751572496879015e-12,1.3641248996960245e-08
Glyma.07G228400.Wm82.a4.v1,197.39041715032639,5.405119477979298,0.7853371108497206,6.882546874845957,5.879180970169193e-12,1.7933461686006095e-08
Glyma.15G077700.Wm82.a4.v1,135.97288512539572,6.384876562027172,0.949098074421623,6.727309573268381,1.7282879019041438e-11,4.744668777097446e-08
Glyma.06G127300.Wm82.a4.v1,30.08307018446286,-3.9435712804483174,0.5899426175470845,-6.684669259605698,2.3144675837517977e-11,5.776279870612554e-08
Glyma.13G279500.Wm82.a4.v1,25.203549525196628,-3.05428994727172,0.4633045381368008,-6.592402395958993,4.3276569585259256e-11,9.900597206867686e-08
Glyma.10G058200.Wm82.a4.v1,40.40118922963426,-2.570754046080446,0.39258976162365683,-6.548194317264988,5.823691345534857e-11,1.2298292192997573e-07
Glyma.20G231000.Wm82.a4.v1,63.59875009916839,-3.8472628746458724,0.5914549505661107,-6.504743718796279,7.782594476786385e-11,1.4444287228151347e-07
Glyma.03G145500.Wm82.a4.v1,28.758863457430078,-3.3742190384217516,0.5188997759324069,-6.50264115523782,7.892190595646021e-11,1.4444287228151347e-07
Glyma.06G088300.Wm82.a4.v1,242.31348624114187,-2.52940844336561,0.39032854018161456,-6.4802036822332045,9.159887920373066e-11,1.4792141357529518e-07
Glyma.13G196500.Wm82.a4.v1,74.9640261136573,-4.324548952513948,0.6664847275785691,-6.4885942221446395,8.664096626667308e-11,1.4792141357529518e-07
Glyma.06G144100.Wm82.a4.v1,99.72603949316824,3.0594949666501674,0.4749204310208233,6.442121178223265,1.1781515226821397e-10,1.7968774306773768e-07
Glyma.01G241400.Wm82.a4.v1,324.7731624558132,5.411004261950314,0.8425979818078541,6.421810138140395,1.3466331764572704e-10,1.945743189120076e-07
Glyma.14G113900.Wm82.a4.v1,466.85650641335127,5.623098468152728,0.8841070795654343,6.360200702065018,2.0149030083977057e-10,2.721360566755459e-07
Glyma.19G131200.Wm82.a4.v1,83.25270915029917,2.0655437347104026,0.3250168195567937,6.355190286850578,2.0816876808314083e-10,2.721360566755459e-07
Glyma.07G182300.Wm82.a4.v1,34.52590106860049,-2.720531463996422,0.43082366023063623,-6.314721578986675,2.70648287043704e-10,3.2592571287678637e-07
