,highly_variable,in_integrated
Glyma.01G161700.Wm82.a4.v1,False,False
Glyma.04G126700.Wm82.a4.v1,True,False
Glyma.20G213700.Wm82.a4.v1,True,False
Glyma.03G158766.Wm82.a4.v1,False,False
Glyma.03G058100.Wm82.a4.v1,False,False
Glyma.09G060300.Wm82.a4.v1,False,False
Glyma.08G294100.Wm82.a4.v1,False,False
Glyma.09G210700.Wm82.a4.v1,False,False
Glyma.15G176300.Wm82.a4.v1,False,False
Glyma.01G202400.Wm82.a4.v1,False,False
Glyma.10G263800.Wm82.a4.v1,False,True
Glyma.18G138300.Wm82.a4.v1,False,False
Glyma.19G112800.Wm82.a4.v1,False,True
Glyma.08G025900.Wm82.a4.v1,False,False
Glyma.07G101300.Wm82.a4.v1,False,False
Glyma.04G257402.Wm82.a4.v1,False,False
Glyma.12G209200.Wm82.a4.v1,False,False
Glyma.09G075551.Wm82.a4.v1,False,True
Glyma.18G138600.Wm82.a4.v1,False,False
Glyma.03G149800.Wm82.a4.v1,False,False
Glyma.15G203100.Wm82.a4.v1,False,False
Glyma.17G142700.Wm82.a4.v1,False,False
Glyma.05G223900.Wm82.a4.v1,False,False
Glyma.15G248500.Wm82.a4.v1,False,False
Glyma.07G081400.Wm82.a4.v1,False,False
Glyma.03G194000.Wm82.a4.v1,True,True
Glyma.05G000300.Wm82.a4.v1,False,False
Glyma.07G041400.Wm82.a4.v1,False,False
Glyma.12G159000.Wm82.a4.v1,False,False
Glyma.20G166100.Wm82.a4.v1,False,False
Glyma.07G205900.Wm82.a4.v1,False,False
Glyma.17G059100.Wm82.a4.v1,False,False
Glyma.15G013700.Wm82.a4.v1,False,False
Glyma.14G001500.Wm82.a4.v1,False,False
Glyma.05G216800.Wm82.a4.v1,False,False
Glyma.02G250200.Wm82.a4.v1,False,False
Glyma.17G138600.Wm82.a4.v1,False,False
Glyma.19G142100.Wm82.a4.v1,False,False
Glyma.09G110700.Wm82.a4.v1,False,False
Glyma.10G195800.Wm82.a4.v1,False,False
Glyma.13G086000.Wm82.a4.v1,False,False
Glyma.11G187800.Wm82.a4.v1,False,False
Glyma.11G088900.Wm82.a4.v1,False,False
Glyma.19G239500.Wm82.a4.v1,False,False
Glyma.04G255100.Wm82.a4.v1,False,False
Glyma.05G131800.Wm82.a4.v1,False,False
Glyma.03G119900.Wm82.a4.v1,False,False
Glyma.19G000900.Wm82.a4.v1,False,False
Glyma.11G126200.Wm82.a4.v1,False,False
Glyma.10G234500.Wm82.a4.v1,False,False
Glyma.09G168800.Wm82.a4.v1,False,True
Glyma.10G295900.Wm82.a4.v1,False,False
Glyma.03G228500.Wm82.a4.v1,False,False
Glyma.19G243200.Wm82.a4.v1,False,False
Glyma.13G338500.Wm82.a4.v1,False,False
Glyma.09G225400.Wm82.a4.v1,False,True
Glyma.16G173500.Wm82.a4.v1,False,False
Glyma.05G164400.Wm82.a4.v1,False,False
Glyma.19G090000.Wm82.a4.v1,False,False
Glyma.05G061000.Wm82.a4.v1,False,False
Glyma.02G004600.Wm82.a4.v1,False,False
Glyma.18G059600.Wm82.a4.v1,True,True
Glyma.11G002000.Wm82.a4.v1,False,False
Glyma.13G281800.Wm82.a4.v1,False,False
Glyma.03G164100.Wm82.a4.v1,False,False
Glyma.07G057300.Wm82.a4.v1,False,False
Glyma.06G309200.Wm82.a4.v1,False,False
Glyma.09G015600.Wm82.a4.v1,False,False
Glyma.08G043000.Wm82.a4.v1,False,False
Glyma.03G172300.Wm82.a4.v1,False,False
Glyma.07G230600.Wm82.a4.v1,False,False
Glyma.06G162100.Wm82.a4.v1,False,False
Glyma.13G185500.Wm82.a4.v1,False,False
Glyma.20G240500.Wm82.a4.v1,False,False
Glyma.18G171900.Wm82.a4.v1,False,False
Glyma.20G013600.Wm82.a4.v1,False,False
Glyma.09G107433.Wm82.a4.v1,False,False
Glyma.14G178400.Wm82.a4.v1,False,False
Glyma.06G117700.Wm82.a4.v1,False,False
Glyma.11G069300.Wm82.a4.v1,False,False
Glyma.13G302166.Wm82.a4.v1,False,False
Glyma.15G023800.Wm82.a4.v1,False,False
Glyma.01G190800.Wm82.a4.v1,False,False
Glyma.11G116600.Wm82.a4.v1,False,False
Glyma.16G170200.Wm82.a4.v1,False,False
Glyma.01G240500.Wm82.a4.v1,False,False
Glyma.02G051600.Wm82.a4.v1,False,False
Glyma.08G025500.Wm82.a4.v1,False,False
Glyma.03G214100.Wm82.a4.v1,False,False
Glyma.10G017700.Wm82.a4.v1,False,False
Glyma.16G201000.Wm82.a4.v1,False,False
Glyma.13G137700.Wm82.a4.v1,False,False
Glyma.06G079000.Wm82.a4.v1,False,False
Glyma.04G065000.Wm82.a4.v1,False,False
Glyma.09G197900.Wm82.a4.v1,False,False
Glyma.17G230700.Wm82.a4.v1,True,True
Glyma.08G102900.Wm82.a4.v1,False,False
Glyma.09G186700.Wm82.a4.v1,False,False
Glyma.04G012700.Wm82.a4.v1,True,True
Glyma.03G118000.Wm82.a4.v1,False,False
Glyma.02G103500.Wm82.a4.v1,True,True
Glyma.13G333900.Wm82.a4.v1,False,False
Glyma.10G278500.Wm82.a4.v1,False,False
Glyma.03G037100.Wm82.a4.v1,False,False
Glyma.15G129900.Wm82.a4.v1,False,False
Glyma.02G099200.Wm82.a4.v1,False,False
Glyma.13G097000.Wm82.a4.v1,False,False
Glyma.02G141800.Wm82.a4.v1,False,False
Glyma.08G362600.Wm82.a4.v1,False,False
Glyma.01G205800.Wm82.a4.v1,False,False
Glyma.01G241000.Wm82.a4.v1,False,False
Glyma.06G134300.Wm82.a4.v1,False,False
Glyma.18G295300.Wm82.a4.v1,False,False
Glyma.11G134300.Wm82.a4.v1,False,False
Glyma.03G159000.Wm82.a4.v1,True,True
Glyma.19G124900.Wm82.a4.v1,False,False
Glyma.15G046400.Wm82.a4.v1,True,True
Glyma.14G218900.Wm82.a4.v1,False,False
Glyma.05G239900.Wm82.a4.v1,False,False
Glyma.18G010300.Wm82.a4.v1,False,False
Glyma.14G052600.Wm82.a4.v1,False,False
Glyma.08G021200.Wm82.a4.v1,False,False
Glyma.14G202200.Wm82.a4.v1,False,False
Glyma.20G231600.Wm82.a4.v1,False,False
Glyma.04G061200.Wm82.a4.v1,False,False
Glyma.10G258000.Wm82.a4.v1,False,False
Glyma.13G172500.Wm82.a4.v1,False,False
Glyma.13G046700.Wm82.a4.v1,False,False
Glyma.20G092100.Wm82.a4.v1,False,False
Glyma.08G129400.Wm82.a4.v1,False,False
Glyma.08G059200.Wm82.a4.v1,False,False
Glyma.17G194600.Wm82.a4.v1,False,False
Glyma.02G034000.Wm82.a4.v1,False,False
Glyma.19G180000.Wm82.a4.v1,False,False
Glyma.03G257700.Wm82.a4.v1,False,False
Glyma.14G131100.Wm82.a4.v1,False,False
Glyma.10G234400.Wm82.a4.v1,False,False
Glyma.16G081700.Wm82.a4.v1,False,False
Glyma.15G011400.Wm82.a4.v1,False,False
Glyma.20G208000.Wm82.a4.v1,False,False
Glyma.11G231200.Wm82.a4.v1,False,False
Glyma.16G088000.Wm82.a4.v1,False,False
Glyma.01G029100.Wm82.a4.v1,False,False
Glyma.16G017100.Wm82.a4.v1,False,False
Glyma.18G239400.Wm82.a4.v1,False,False
Glyma.09G059800.Wm82.a4.v1,False,False
Glyma.01G010600.Wm82.a4.v1,False,False
Glyma.11G176307.Wm82.a4.v1,False,False
Glyma.09G042800.Wm82.a4.v1,False,False
Glyma.09G065300.Wm82.a4.v1,False,True
Glyma.06G143200.Wm82.a4.v1,False,False
Glyma.17G188600.Wm82.a4.v1,False,False
Glyma.12G016400.Wm82.a4.v1,False,False
Glyma.08G292600.Wm82.a4.v1,False,False
Glyma.16G163500.Wm82.a4.v1,False,False
Glyma.08G283700.Wm82.a4.v1,False,False
Glyma.01G185300.Wm82.a4.v1,False,False
Glyma.02G088200.Wm82.a4.v1,False,False
Glyma.06G052900.Wm82.a4.v1,False,False
Glyma.11G020900.Wm82.a4.v1,False,False
Glyma.15G260000.Wm82.a4.v1,False,False
Glyma.20G176500.Wm82.a4.v1,False,False
Glyma.03G013000.Wm82.a4.v1,False,False
Glyma.03G027100.Wm82.a4.v1,False,False
Glyma.14G199500.Wm82.a4.v1,False,False
Glyma.12G012800.Wm82.a4.v1,False,False
Glyma.13G205500.Wm82.a4.v1,False,False
Glyma.02G263400.Wm82.a4.v1,False,False
Glyma.09G239800.Wm82.a4.v1,False,False
Glyma.17G041700.Wm82.a4.v1,False,False
Glyma.18G174600.Wm82.a4.v1,False,False
Glyma.15G166200.Wm82.a4.v1,False,False
Glyma.20G095700.Wm82.a4.v1,False,False
Glyma.09G221800.Wm82.a4.v1,False,False
Glyma.01G030500.Wm82.a4.v1,False,False
Glyma.U031914.Wm82.a4.v1,False,True
Glyma.20G130300.Wm82.a4.v1,False,False
Glyma.08G234900.Wm82.a4.v1,False,False
Glyma.03G156800.Wm82.a4.v1,True,True
Glyma.20G149800.Wm82.a4.v1,False,True
Glyma.U031106.Wm82.a4.v1,False,False
Glyma.18G294800.Wm82.a4.v1,False,False
Glyma.08G059300.Wm82.a4.v1,False,False
Glyma.09G286300.Wm82.a4.v1,False,False
Glyma.07G183900.Wm82.a4.v1,False,False
Glyma.08G087500.Wm82.a4.v1,False,False
Glyma.13G289100.Wm82.a4.v1,False,False
Glyma.02G211500.Wm82.a4.v1,False,False
Glyma.14G127500.Wm82.a4.v1,False,False
Glyma.02G215100.Wm82.a4.v1,False,False
Glyma.02G271600.Wm82.a4.v1,False,False
Glyma.03G237900.Wm82.a4.v1,False,False
Glyma.16G098200.Wm82.a4.v1,False,False
Glyma.02G010200.Wm82.a4.v1,False,False
Glyma.14G178800.Wm82.a4.v1,False,False
Glyma.19G209000.Wm82.a4.v1,False,False
Glyma.16G077200.Wm82.a4.v1,False,False
Glyma.19G184100.Wm82.a4.v1,False,False
Glyma.01G061700.Wm82.a4.v1,False,False
Glyma.06G055900.Wm82.a4.v1,False,False
Glyma.07G034600.Wm82.a4.v1,False,False
Glyma.07G130400.Wm82.a4.v1,False,False
Glyma.04G036300.Wm82.a4.v1,False,False
Glyma.06G088300.Wm82.a4.v1,True,True
Glyma.13G357900.Wm82.a4.v1,False,False
Glyma.07G265400.Wm82.a4.v1,False,False
Glyma.06G054600.Wm82.a4.v1,False,False
Glyma.11G085700.Wm82.a4.v1,False,False
Glyma.08G086700.Wm82.a4.v1,False,False
Glyma.13G030100.Wm82.a4.v1,False,False
Glyma.11G043300.Wm82.a4.v1,False,False
Glyma.07G190300.Wm82.a4.v1,False,False
Glyma.17G054900.Wm82.a4.v1,False,False
