celltype_call,replicate,treatment,n_cells,total_umis,cp_total,cp_median_gene,cp_median_gene_per_cell,cp_pct_reads,ct_total,ct_median_gene,ct_median_gene_per_cell,ct_pct_reads,cr_total,cr_median_gene,cr_median_gene_per_cell,cr_pct_reads,organelle_total,organelle_median_gene,organelle_median_gene_per_cell,organelle_pct_reads
Bundle sheath,rep1,Control,630,756646,8349,39.5,0.0627,1.1034,948,0.0,0.0,0.1253,128682,0.0,0.0,17.0069,137979,11.5,0.0183,18.2356
Bundle sheath,rep1,Drought,283,323196,4538,13.0,0.0459,1.4041,521,0.0,0.0,0.1612,80472,3.5,0.0124,24.8988,85531,5.0,0.0177,26.4641
Bundle sheath,rep1,HD,800,783340,5379,19.0,0.0238,0.6867,899,0.0,0.0,0.1148,72940,0.0,0.0,9.3114,79218,5.0,0.0062,10.1129
Bundle sheath,rep1,Heat,184,170671,1954,9.0,0.0489,1.1449,145,0.0,0.0,0.085,25383,0.5,0.0027,14.8725,27482,2.0,0.0109,16.1023
Bundle sheath,rep1A,Control,676,749184,12218,46.5,0.0688,1.6308,1028,0.0,0.0,0.1372,114404,0.5,0.0007,15.2705,127650,8.5,0.0126,17.0385
Bundle sheath,rep2,Control,123,149023,1219,4.0,0.0325,0.818,53,0.0,0.0,0.0356,40643,0.5,0.0041,27.273,41915,1.0,0.0081,28.1265
Bundle sheath,rep2,Drought,245,473710,8365,22.0,0.0898,1.7658,709,0.0,0.0,0.1497,207464,2.5,0.0102,43.7956,216538,5.5,0.0224,45.7111
Bundle sheath,rep2,HD,391,484934,4321,11.0,0.0281,0.891,413,0.0,0.0,0.0852,77305,1.0,0.0026,15.9413,82039,3.0,0.0077,16.9176
Bundle sheath,rep2,Heat,308,290965,1398,4.0,0.013,0.4805,117,0.0,0.0,0.0402,38880,0.0,0.0,13.3624,40395,1.0,0.0032,13.8831
Bundle sheath,rep3,Control,32,37203,172,1.0,0.0312,0.4623,18,0.0,0.0,0.0484,22,0.0,0.0,0.0591,212,0.0,0.0,0.5698
Bundle sheath,rep3,Drought,36,44020,175,1.0,0.0278,0.3975,17,0.0,0.0,0.0386,50,0.0,0.0,0.1136,242,0.0,0.0,0.5498
Bundle sheath,rep3,HD,22,28439,91,0.0,0.0,0.32,10,0.0,0.0,0.0352,32,0.0,0.0,0.1125,133,0.0,0.0,0.4677
Bundle sheath,rep3,Heat,142,135905,616,2.5,0.0176,0.4533,67,0.0,0.0,0.0493,257,0.0,0.0,0.1891,940,1.0,0.007,0.6917
Companion cells,rep1,Control,264,470058,5212,26.0,0.0985,1.1088,507,0.0,0.0,0.1079,58054,0.0,0.0,12.3504,63773,6.0,0.0227,13.567
Companion cells,rep1,Drought,129,164937,2086,7.0,0.0543,1.2647,253,0.0,0.0,0.1534,38154,1.0,0.0078,23.1325,40493,2.0,0.0155,24.5506
Companion cells,rep1,HD,296,440641,4188,16.0,0.0541,0.9504,654,0.0,0.0,0.1484,39917,0.0,0.0,9.0588,44759,2.0,0.0068,10.1577
Companion cells,rep1,Heat,98,93702,828,2.5,0.0255,0.8837,89,0.0,0.0,0.095,9517,0.0,0.0,10.1567,10434,0.5,0.0051,11.1353
Companion cells,rep1A,Control,241,319244,4540,16.0,0.0664,1.4221,406,0.0,0.0,0.1272,36898,0.5,0.0021,11.5579,41844,3.0,0.0124,13.1072
Companion cells,rep2,Control,132,172858,1317,2.5,0.0189,0.7619,81,0.0,0.0,0.0469,40480,0.0,0.0,23.4181,41878,1.0,0.0076,24.2268
Companion cells,rep2,Drought,406,1110347,14837,35.5,0.0874,1.3362,1377,0.5,0.0012,0.124,379739,5.5,0.0135,34.2,395953,11.5,0.0283,35.6603
Companion cells,rep2,HD,381,753331,5167,13.5,0.0354,0.6859,494,0.0,0.0,0.0656,95255,0.0,0.0,12.6445,100916,4.0,0.0105,13.396
Companion cells,rep2,Heat,232,267007,1290,3.0,0.0129,0.4831,101,0.0,0.0,0.0378,34004,0.0,0.0,12.7352,35395,1.0,0.0043,13.2562
Companion cells,rep3,Control,100,117548,545,2.0,0.02,0.4636,59,0.0,0.0,0.0502,85,0.0,0.0,0.0723,689,0.5,0.005,0.5861
Companion cells,rep3,Drought,55,65482,239,1.0,0.0182,0.365,32,0.0,0.0,0.0489,51,0.0,0.0,0.0779,322,0.0,0.0,0.4917
Companion cells,rep3,HD,34,41010,197,1.0,0.0294,0.4804,20,0.0,0.0,0.0488,34,0.0,0.0,0.0829,251,0.0,0.0,0.612
Companion cells,rep3,Heat,115,142444,703,3.0,0.0261,0.4935,53,0.0,0.0,0.0372,248,0.0,0.0,0.1741,1004,1.0,0.0087,0.7048
Epidermal,rep1,Control,603,786652,11253,54.0,0.0896,1.4305,1264,0.0,0.0,0.1607,146466,1.0,0.0017,18.6189,158983,13.5,0.0224,20.2101
Epidermal,rep1,Drought,118,141124,2959,12.0,0.1017,2.0967,328,0.0,0.0,0.2324,45190,2.0,0.0169,32.0215,48477,3.0,0.0254,34.3506
Epidermal,rep1,HD,497,687465,7635,30.5,0.0614,1.1106,1250,0.0,0.0,0.1818,87317,0.0,0.0,12.7013,96202,7.0,0.0141,13.9937
Epidermal,rep1,Heat,99,90734,1173,4.5,0.0455,1.2928,99,0.0,0.0,0.1091,15570,0.0,0.0,17.1601,16842,1.0,0.0101,18.562
Epidermal,rep1A,Control,309,372036,7282,31.0,0.1003,1.9573,644,0.0,0.0,0.1731,71475,1.0,0.0032,19.2119,79401,5.0,0.0162,21.3423
Epidermal,rep2,Control,51,63284,612,1.5,0.0294,0.9671,38,0.0,0.0,0.06,20296,0.0,0.0,32.0713,20946,0.0,0.0,33.0984
Epidermal,rep2,Drought,407,956040,16244,39.5,0.0971,1.6991,1520,0.5,0.0012,0.159,391256,6.0,0.0147,40.9246,409020,11.0,0.027,42.7827
Epidermal,rep2,HD,238,504160,3883,10.0,0.042,0.7702,376,0.0,0.0,0.0746,72035,0.5,0.0021,14.2881,76294,3.0,0.0126,15.1329
Epidermal,rep2,Heat,114,116273,661,2.0,0.0175,0.5685,67,0.0,0.0,0.0576,16796,0.0,0.0,14.4453,17524,0.0,0.0,15.0714
Epidermal,rep3,Control,1,598,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Epidermal,rep3,Drought,14,11734,58,0.0,0.0,0.4943,8,0.0,0.0,0.0682,17,0.0,0.0,0.1449,83,0.0,0.0,0.7073
Epidermal,rep3,HD,1,849,2,0.0,0.0,0.2356,0,0.0,0.0,0.0,3,0.0,0.0,0.3534,5,0.0,0.0,0.5889
Epidermal,rep3,Heat,113,98293,509,2.0,0.0177,0.5178,61,0.0,0.0,0.0621,261,0.0,0.0,0.2655,831,0.0,0.0,0.8454
Epidermal/Pavement,rep1,Control,4,3592,33,0.0,0.0,0.9187,4,0.0,0.0,0.1114,610,0.0,0.0,16.9822,647,0.0,0.0,18.0122
Epidermal/Pavement,rep1,Drought,19,20882,371,1.0,0.0526,1.7766,50,0.0,0.0,0.2394,5708,0.0,0.0,27.3345,6129,0.0,0.0,29.3506
Epidermal/Pavement,rep1,Heat,2,1645,20,0.0,0.0,1.2158,1,0.0,0.0,0.0608,342,0.0,0.0,20.7903,363,0.0,0.0,22.0669
