celltype_call,replicate,treatment,metric,value,organelle_set,n_cells,total_umis
Bundle sheath,rep1,Control,total,8349.0,cp,630,756646
Bundle sheath,rep1,Control,median_gene,39.5,cp,630,756646
Bundle sheath,rep1,Control,median_gene_per_cell,0.0627,cp,630,756646
Bundle sheath,rep1,Control,pct_reads,1.1034,cp,630,756646
Bundle sheath,rep1,Control,total,948.0,ct,630,756646
Bundle sheath,rep1,Control,median_gene,0.0,ct,630,756646
Bundle sheath,rep1,Control,median_gene_per_cell,0.0,ct,630,756646
Bundle sheath,rep1,Control,pct_reads,0.1253,ct,630,756646
Bundle sheath,rep1,Control,total,128682.0,cr,630,756646
Bundle sheath,rep1,Control,median_gene,0.0,cr,630,756646
Bundle sheath,rep1,Control,median_gene_per_cell,0.0,cr,630,756646
Bundle sheath,rep1,Control,pct_reads,17.0069,cr,630,756646
Bundle sheath,rep1,Control,total,137979.0,organelle,630,756646
Bundle sheath,rep1,Control,median_gene,11.5,organelle,630,756646
Bundle sheath,rep1,Control,median_gene_per_cell,0.0183,organelle,630,756646
Bundle sheath,rep1,Control,pct_reads,18.2356,organelle,630,756646
Bundle sheath,rep1,Drought,total,4538.0,cp,283,323196
Bundle sheath,rep1,Drought,median_gene,13.0,cp,283,323196
Bundle sheath,rep1,Drought,median_gene_per_cell,0.0459,cp,283,323196
Bundle sheath,rep1,Drought,pct_reads,1.4041,cp,283,323196
Bundle sheath,rep1,Drought,total,521.0,ct,283,323196
Bundle sheath,rep1,Drought,median_gene,0.0,ct,283,323196
Bundle sheath,rep1,Drought,median_gene_per_cell,0.0,ct,283,323196
Bundle sheath,rep1,Drought,pct_reads,0.1612,ct,283,323196
Bundle sheath,rep1,Drought,total,80472.0,cr,283,323196
Bundle sheath,rep1,Drought,median_gene,3.5,cr,283,323196
Bundle sheath,rep1,Drought,median_gene_per_cell,0.0124,cr,283,323196
Bundle sheath,rep1,Drought,pct_reads,24.8988,cr,283,323196
Bundle sheath,rep1,Drought,total,85531.0,organelle,283,323196
Bundle sheath,rep1,Drought,median_gene,5.0,organelle,283,323196
Bundle sheath,rep1,Drought,median_gene_per_cell,0.0177,organelle,283,323196
Bundle sheath,rep1,Drought,pct_reads,26.4641,organelle,283,323196
Bundle sheath,rep1,HD,total,5379.0,cp,800,783340
Bundle sheath,rep1,HD,median_gene,19.0,cp,800,783340
Bundle sheath,rep1,HD,median_gene_per_cell,0.0238,cp,800,783340
Bundle sheath,rep1,HD,pct_reads,0.6867,cp,800,783340
Bundle sheath,rep1,HD,total,899.0,ct,800,783340
Bundle sheath,rep1,HD,median_gene,0.0,ct,800,783340
Bundle sheath,rep1,HD,median_gene_per_cell,0.0,ct,800,783340
Bundle sheath,rep1,HD,pct_reads,0.1148,ct,800,783340
Bundle sheath,rep1,HD,total,72940.0,cr,800,783340
Bundle sheath,rep1,HD,median_gene,0.0,cr,800,783340
Bundle sheath,rep1,HD,median_gene_per_cell,0.0,cr,800,783340
Bundle sheath,rep1,HD,pct_reads,9.3114,cr,800,783340
Bundle sheath,rep1,HD,total,79218.0,organelle,800,783340
Bundle sheath,rep1,HD,median_gene,5.0,organelle,800,783340
Bundle sheath,rep1,HD,median_gene_per_cell,0.0062,organelle,800,783340
