resolution,split_by,replicate,group,median,cv,mad_over_median,fano,detection,n_units
cell,celltype_call,rep1,Bundle sheath,0.0,3.1517,1.0,14.2426,0.1131,1897.0
cell,celltype_call,rep1,Companion cells,0.0,3.1163,1.0,10.9479,0.1258,787.0
cell,celltype_call,rep1,Epidermal,0.0,3.0666,1.0,13.0054,0.1272,1317.0
cell,celltype_call,rep1,Epidermal/Pavement,0.0,3.4627,1.0,13.3647,0.08,25.0
cell,celltype_call,rep1,Guard cells,0.0,2.8768,1.0,11.5442,0.1479,169.0
cell,celltype_call,rep1,Hydathode cells,0.0,3.0787,1.0,10.6975,0.1226,155.0
cell,celltype_call,rep1,Mesophyll,0.0,3.016,1.0,13.2287,0.1325,6925.0
cell,celltype_call,rep1,Unknown,0.0,3.1948,1.0,10.1751,0.1111,99.0
cell,celltype_call,rep1,Vascular/Phloem parenchyma,0.0,3.1593,1.0,13.1508,0.1155,277.0
cell,celltype_call,rep1A,Bundle sheath,0.0,3.078,1.0,12.9037,0.1109,676.0
cell,celltype_call,rep1A,Companion cells,0.0,3.182,1.0,10.7893,0.1079,241.0
cell,celltype_call,rep1A,Epidermal,0.0,3.0399,1.0,12.5853,0.1133,309.0
cell,celltype_call,rep1A,Epidermal/Pavement,0.0,3.0683,1.0,11.5631,0.1111,135.0
cell,celltype_call,rep1A,Guard cells,0.0,2.8556,1.0,11.7185,0.122,41.0
cell,celltype_call,rep1A,Hydathode cells,0.0,3.1298,1.0,10.9838,0.1064,47.0
cell,celltype_call,rep1A,Mesophyll,0.0,3.0628,1.0,13.9821,0.1134,1865.0
cell,celltype_call,rep1A,Unknown,0.0,3.2532,1.0,10.1353,0.0816,49.0
cell,celltype_call,rep1A,Vascular/Phloem parenchyma,0.0,3.1205,1.0,12.1322,0.1124,89.0
cell,celltype_call,rep2,Bundle sheath,0.0,3.07,1.0,13.4143,0.12,1067.0
cell,celltype_call,rep2,Companion cells,0.0,2.8001,1.0,9.8345,0.1581,1151.0
cell,celltype_call,rep2,Epidermal,0.0,2.7801,1.0,10.9408,0.1617,810.0
