,conservation_score
Glyma.07G185500.Wm82.a4.v1,1.0002521491041703
Glyma.15G221300.Wm82.a4.v1,1.0002241325370402
Glyma.09G155500.Wm82.a4.v1,1.000107396840665
Glyma.16G211700.Wm82.a4.v1,1.00010272741281
Glyma.14G063700.Wm82.a4.v1,1.000004669427855
Glyma.16G033700.Wm82.a4.v1,0.99996264457716
Glyma.08G181000.Wm82.a4.v1,0.99996264457716
Glyma.18G106300.Wm82.a4.v1,0.9998879337314799
Glyma.09G135700.Wm82.a4.v1,0.9998832643036248
Glyma.08G350800.Wm82.a4.v1,0.9997992146022348
Glyma.14G063800.Wm82.a4.v1,0.9997431814679747
Glyma.02G104600.Wm82.a4.v1,0.9997104954729897
Glyma.10G032200.Wm82.a4.v1,0.9996638011944396
Glyma.09G072100.Wm82.a4.v1,0.9996124374880346
Glyma.08G238100.Wm82.a4.v1,0.999544730784137
Glyma.08G063700.Wm82.a4.v1,0.9995377266423545
Glyma.02G205600.Wm82.a4.v1,0.9995003712195145
Glyma.02G270200.Wm82.a4.v1,0.9994957017916595
Glyma.11G053400.Wm82.a4.v1,0.9994723546523845
Glyma.15G186400.Wm82.a4.v1,0.9994536769409644
Glyma.09G089600.Wm82.a4.v1,0.9993369412445893
Glyma.15G052400.Wm82.a4.v1,0.9993229329610243
Glyma.06G324300.Wm82.a4.v1,0.9992809081103292
Glyma.16G175000.Wm82.a4.v1,0.9992528915431992
Glyma.18G143700.Wm82.a4.v1,0.9992202055482142
Glyma.15G253700.Wm82.a4.v1,0.9992132014064317
Glyma.17G253500.Wm82.a4.v1,0.9991688418418091
Glyma.19G211700.Wm82.a4.v1,0.9991454947025341
Glyma.06G020400.Wm82.a4.v1,0.9991361558468241
Glyma.07G001300.Wm82.a4.v1,0.999089461568274
Glyma.07G019700.Wm82.a4.v1,0.9990217548643765
Glyma.08G304200.Wm82.a4.v1,0.998996073011174
Glyma.16G158100.Wm82.a4.v1,0.9989587175883339
Glyma.06G150300.Wm82.a4.v1,0.9989283663072763
Glyma.19G123800.Wm82.a4.v1,0.9988466513198138
Glyma.16G150600.Wm82.a4.v1,0.9988419818919588
Glyma.20G144700.Wm82.a4.v1,0.9988022917551912
Glyma.08G320900.Wm82.a4.v1,0.9987952876134087
Glyma.02G309500.Wm82.a4.v1,0.9987415891930762
Glyma.18G103500.Wm82.a4.v1,0.9987299156234387
Glyma.16G091100.Wm82.a4.v1,0.9986925602005986
Glyma.14G099900.Wm82.a4.v1,0.9986692130613236
Glyma.02G252800.Wm82.a4.v1,0.9986668783473961
Glyma.01G180800.Wm82.a4.v1,0.9986645436334686
Glyma.11G093900.Wm82.a4.v1,0.9986411964941936
Glyma.08G212000.Wm82.a4.v1,0.9986388617802661
Glyma.06G242900.Wm82.a4.v1,0.9986318576384836
Glyma.02G064700.Wm82.a4.v1,0.9986178493549186
Glyma.14G050900.Wm82.a4.v1,0.9986131799270636
Glyma.08G068800.Wm82.a4.v1,0.9985991716434985
Glyma.02G282500.Wm82.a4.v1,0.9985804939320785
Glyma.18G114900.Wm82.a4.v1,0.998559481506731
Glyma.07G258700.Wm82.a4.v1,0.9985571467928035
Glyma.01G106800.Wm82.a4.v1,0.9985361343674559
Glyma.01G010200.Wm82.a4.v1,0.9985221260838909
Glyma.10G042000.Wm82.a4.v1,0.9984941095167609
Glyma.01G198100.Wm82.a4.v1,0.9984917748028334
Glyma.16G205200.Wm82.a4.v1,0.9984707623774859
Glyma.11G226900.Wm82.a4.v1,0.9984660929496308
Glyma.07G200500.Wm82.a4.v1,0.9984497499521383
Glyma.10G177200.Wm82.a4.v1,0.9984450805242834
Glyma.09G250800.Wm82.a4.v1,0.9984404110964283
Glyma.10G163300.Wm82.a4.v1,0.9983983862457333
Glyma.15G148500.Wm82.a4.v1,0.9983890473900233
Glyma.16G028500.Wm82.a4.v1,0.9983470225393283
Glyma.18G193600.Wm82.a4.v1,0.9983330142557633
Glyma.11G111400.Wm82.a4.v1,0.9982653075518657
Glyma.20G115500.Wm82.a4.v1,0.9982629728379382
Glyma.14G138200.Wm82.a4.v1,0.9982536339822281
Glyma.20G231600.Wm82.a4.v1,0.9982489645543732
Glyma.13G311600.Wm82.a4.v1,0.9981929314201131
Glyma.03G239000.Wm82.a4.v1,0.9981509065694181
Glyma.05G050100.Wm82.a4.v1,0.9981509065694181
Glyma.17G127000.Wm82.a4.v1,0.9981368982858531
Glyma.15G101800.Wm82.a4.v1,0.9981368982858531
Glyma.01G145200.Wm82.a4.v1,0.998132228857998
Glyma.13G204800.Wm82.a4.v1,0.998099542863013
Glyma.03G190100.Wm82.a4.v1,0.998099542863013
Glyma.03G236200.Wm82.a4.v1,0.9980295014451879
Glyma.07G200300.Wm82.a4.v1,0.9980108237337679
Glyma.03G121600.Wm82.a4.v1,0.9980014848780578
