,conservation_score
Glyma.15G221300.Wm82.a4.v1,1.0002250158978623
Glyma.08G181000.Wm82.a4.v1,1.00016631609842
Glyma.02G104600.Wm82.a4.v1,1.0000048916499535
Glyma.18G106300.Wm82.a4.v1,0.99991684195079
Glyma.14G063700.Wm82.a4.v1,0.9999143961258132
Glyma.16G211700.Wm82.a4.v1,0.9998923837010224
Glyma.07G185500.Wm82.a4.v1,0.9998190089517194
Glyma.16G033700.Wm82.a4.v1,0.9998092256518124
Glyma.08G350800.Wm82.a4.v1,0.9998043340018589
Glyma.09G135700.Wm82.a4.v1,0.99975052585237
Glyma.14G063800.Wm82.a4.v1,0.9997382967274862
Glyma.09G155500.Wm82.a4.v1,0.9996918260529276
Glyma.11G053400.Wm82.a4.v1,0.9996624761532065
Glyma.08G238100.Wm82.a4.v1,0.9996429095533924
Glyma.06G324300.Wm82.a4.v1,0.9995401849043682
Glyma.02G205600.Wm82.a4.v1,0.9993420730812503
Glyma.13G311600.Wm82.a4.v1,0.9993249523064129
Glyma.18G103500.Wm82.a4.v1,0.9993102773565523
Glyma.16G158100.Wm82.a4.v1,0.9993053857065989
Glyma.07G200500.Wm82.a4.v1,0.9992809274568312
Glyma.15G186400.Wm82.a4.v1,0.9992662525069707
Glyma.10G032200.Wm82.a4.v1,0.99925157755711
Glyma.16G202500.Wm82.a4.v1,0.9992222276573889
Glyma.07G001300.Wm82.a4.v1,0.9991733111578536
Glyma.01G145200.Wm82.a4.v1,0.9991341779582253
Glyma.08G063700.Wm82.a4.v1,0.9991292863082718
Glyma.15G052400.Wm82.a4.v1,0.9990461282590618
Glyma.18G143700.Wm82.a4.v1,0.9989972117595265
Glyma.15G253700.Wm82.a4.v1,0.9989360661351073
Glyma.02G270200.Wm82.a4.v1,0.9989336203101306
Glyma.08G212000.Wm82.a4.v1,0.9989164995352933
Glyma.03G236200.Wm82.a4.v1,0.9988944871105023
Glyma.12G154300.Wm82.a4.v1,0.9988651372107812
Glyma.01G106800.Wm82.a4.v1,0.9988602455608276
Glyma.02G252800.Wm82.a4.v1,0.9988431247859904
Glyma.10G176400.Wm82.a4.v1,0.998784424986548
Glyma.06G020400.Wm82.a4.v1,0.9987575209118036
Glyma.18G114900.Wm82.a4.v1,0.9986230005380815
Glyma.02G064700.Wm82.a4.v1,0.9986205547131047
Glyma.07G019700.Wm82.a4.v1,0.9986107714131977
Glyma.06G242900.Wm82.a4.v1,0.99858631316343
Glyma.14G099900.Wm82.a4.v1,0.9985716382135694
Glyma.01G198100.Wm82.a4.v1,0.9985716382135694
Glyma.15G148500.Wm82.a4.v1,0.9985520716137554
Glyma.07G019500.Wm82.a4.v1,0.9985422883138483
Glyma.13G204800.Wm82.a4.v1,0.9985373966638947
Glyma.07G258700.Wm82.a4.v1,0.9985373966638947
Glyma.08G304200.Wm82.a4.v1,0.9985276133639877
