GO,AUC,AVG_NODE_DEGREE,DEGREE_NULL_AUC,P_Value,n_genes,namespace,term_name,is_obsolete
GO:0009522,0.9793630003953316,3473.312334550439,0.030721443427058855,5.00599218798698e-14,21,cellular_component,photosystem I,False
GO:0009765,0.9659349504891811,3651.711747648211,0.07961751937132494,1.401260368882727e-19,31,biological_process,"photosynthesis, light harvesting",False
GO:0015979,0.9543185106721777,3594.8851028503914,0.06252333428063547,4.6706755558968935e-46,82,biological_process,photosynthesis,False
GO:0009523,0.9476718932966088,3605.1790204081913,0.0664021013503262,4.989970907338608e-27,48,cellular_component,photosystem II,False
GO:0009654,0.9469069595858963,3638.43939056463,0.07629950412339442,9.785072416933542e-20,34,cellular_component,photosystem II oxygen evolving complex,False
GO:0019898,0.9446222005045536,3655.142401465378,0.08177379059732001,1.781648961088842e-17,30,cellular_component,extrinsic component of membrane,False
GO:0042254,0.9032552133675728,4607.320687531618,0.6244875723527409,4.300094766781924e-12,25,biological_process,ribosome biogenesis,False
GO:0006412,0.8950476385960883,4223.994051966101,0.33931923881191994,1.508725600276216e-172,425,biological_process,translation,False
GO:0005840,0.8946422985853119,4225.692192438635,0.34071651916580586,1.3469709846560455e-165,408,cellular_component,ribosome,False
GO:0015986,0.8530127820787223,3972.1273185247624,0.2172012257405516,8.863182471412267e-10,25,biological_process,proton motive force-driven ATP synthesis,False
GO:0000786,0.8519105113636364,3917.762573298522,0.21036931818181817,3.9654265689487767e-13,36,cellular_component,nucleosome,False
GO:0006364,0.8269983887630946,4508.964708832133,0.5382201529260353,2.4369016185745914e-10,30,biological_process,rRNA processing,False
GO:0051603,0.826719661431626,4258.963588261684,0.3475579073806548,1.0540313692152752e-11,35,biological_process,obsolete proteolysis involved in protein catabolic process,True
GO:0005839,0.8229015027106152,4258.963588261684,0.3475579073806548,3.3469022173670446e-11,35,cellular_component,proteasome core complex,False
GO:0019773,0.815900251195203,4309.8567844571635,0.37797585284822943,3.3554361227003916e-07,21,cellular_component,"proteasome core complex, alpha-subunit complex",False
GO:0005622,0.8103874575743424,4293.361955785633,0.39505415788034987,1.3887310070096487e-98,388,cellular_component,intracellular anatomical structure,False
GO:0048544,0.8068299405181859,4585.334406493927,0.6111446941803594,2.3363286612639388e-09,31,biological_process,recognition of pollen,False
GO:0005874,0.8018241450670818,4612.828502522073,0.6205852026897025,2.8122838580286045e-07,23,cellular_component,microtubule,False
GO:0006811,0.7838954838756179,4731.71937685267,0.7131427033799607,1.379014329103101e-07,27,biological_process,monoatomic ion transport,False
GO:0007017,0.7773004253341332,4433.727475834783,0.5084144818976281,7.394933208507178e-07,25,biological_process,microtubule-based process,False
GO:0030117,0.7764640370226202,4673.765390307523,0.6688643441027637,2.951250689344222e-07,28,cellular_component,membrane coat,False
GO:0008033,0.7757817841851455,4409.058030402591,0.47854114618820504,6.519891266962362e-08,30,biological_process,tRNA processing,False
GO:0016192,0.7713058516950156,4641.576295598138,0.6452124008820223,1.3872585064319917e-19,94,biological_process,vesicle-mediated transport,False
GO:0006413,0.7648271228487259,4245.449686753035,0.371954686005075,1.7065798622692671e-09,41,biological_process,translational initiation,False
GO:0006418,0.7597931973633382,4346.446240127027,0.4243004006584465,1.3142501178224224e-11,55,biological_process,tRNA aminoacylation for protein translation,False
GO:0007018,0.7583724436871387,4678.944553924477,0.6747101835920247,8.018902109239242e-12,57,biological_process,microtubule-based movement,False
GO:0005871,0.7583724436871387,4678.944553924477,0.6747101835920247,8.018902109239184e-12,57,cellular_component,kinesin complex,False
GO:0005618,0.7460287991261443,4728.145014802105,0.7003063308373043,5.65036665141703e-05,22,cellular_component,cell wall,False
GO:0005739,0.7378908904471277,4200.724577919914,0.33998289158881,6.466267193990729e-07,34,cellular_component,mitochondrion,False
GO:0005783,0.7364903378047796,4594.043708904211,0.6054561121136743,2.556436777015842e-08,49,cellular_component,endoplasmic reticulum,False
GO:0007165,0.7269750261156886,4503.620498108928,0.5519631792495361,4.6465765450200105e-24,165,biological_process,signal transduction,False
GO:0006886,0.7218086483030005,4646.523507313127,0.6472227015902235,3.0123538940798246e-20,144,biological_process,intracellular protein transport,False
GO:0009451,0.7202436348503763,4462.135374107121,0.5168266939053456,5.5022121194443596e-05,25,biological_process,RNA modification,False
GO:0006662,0.7152144630012177,4094.7156266769284,0.31083105750265516,2.1109889010645425e-07,48,biological_process,obsolete glycerol ether metabolic process,True
GO:0009725,0.7107891198676182,4716.0609685419095,0.6913216599891181,6.567336270298266e-07,46,biological_process,response to hormone,False
GO:0000160,0.710613965894976,4569.980960123758,0.590624957757467,1.0176592245692018e-08,59,biological_process,phosphorelay signal transduction system,False
GO:0006486,0.709116077863944,4696.345632426606,0.684942737764276,2.45570506786364e-07,49,biological_process,obsolete protein glycosylation,True
GO:0001522,0.7070040358178837,4494.083155814184,0.535401204924474,9.748400834868483e-05,26,biological_process,pseudouridine synthesis,False
GO:0006950,0.7033516694575987,4332.322347948202,0.4504691731217331,5.795988109672995e-09,67,biological_process,response to stress,False
GO:0006979,0.7025956241910292,4050.020986270738,0.30210445393589325,5.315466194790913e-07,49,biological_process,response to oxidative stress,False
GO:0006260,0.6996566662338646,4475.609002662785,0.5248673429835465,9.580833544674475e-05,34,biological_process,DNA replication,False
GO:0006457,0.699600546333881,4167.7468848941835,0.3260781069596372,4.6931168004375327e-17,145,biological_process,protein folding,False
GO:0006468,0.6951525177693324,4572.927259311095,0.6046697204282474,1.2321854739749123e-82,832,biological_process,protein phosphorylation,False
GO:0019538,0.6883351612333913,4048.5755838809655,0.2680858964044805,0.0007514025881397081,22,biological_process,protein metabolic process,False
GO:0006633,0.6847850163950607,4466.833492677504,0.5203467138474523,6.802535171713281e-05,35,biological_process,fatty acid biosynthetic process,False
GO:0006511,0.6720946993941642,4417.581941350884,0.467676491718018,8.302445111460848e-08,79,biological_process,ubiquitin-dependent protein catabolic process,False
