GO,AUC,AVG_NODE_DEGREE,DEGREE_NULL_AUC,P_Value,n_genes,namespace,term_name,is_obsolete
GO:0009522,0.981824437781614,5455.223756652925,0.024157303370786518,5.644904347715827e-14,20,cellular_component,photosystem I,False
GO:0009538,0.981102164461396,5452.47578948034,0.023476805720060414,1.3465132110015412e-09,13,cellular_component,photosystem I reaction center,False
GO:0010287,0.9727608911135331,5625.379610905792,0.044607704624658566,2.3715518802662635e-10,15,cellular_component,plastoglobule,False
GO:0009768,0.97259520760546,5675.838949208432,0.04961060999383844,3.620992671692205e-18,28,biological_process,"photosynthesis, light harvesting in photosystem I",False
GO:0009765,0.9694848515081977,5762.964012691492,0.0621978540266478,2.0670276952949856e-22,36,biological_process,,False
GO:0009521,0.9664184023324228,5629.730436892521,0.046561446618152036,8.374430061563739e-38,63,cellular_component,,False
GO:0042542,0.9636701797985845,5994.2046775571525,0.09356994065165271,5.072506269707502e-22,36,biological_process,response to hydrogen peroxide,False
GO:0009773,0.9597348779166962,5587.690324298193,0.04330517966881603,1.346844333241235e-09,14,biological_process,photosynthetic electron transport in photosystem I,False
GO:0009654,0.9585525230384878,5693.719467253222,0.05635296613165523,2.3568239857338218e-17,28,cellular_component,photosystem II oxygen evolving complex,False
GO:0009523,0.9575532630237825,5710.8963346783785,0.058282743817324664,1.9036378712593762e-25,43,cellular_component,photosystem II,False
GO:0019684,0.9511493819710082,5849.013946647977,0.0821211568338005,8.459465002823767e-43,77,biological_process,,False
GO:0015979,0.9483121689129786,5771.371085649663,0.0756972898976313,1.0653443790476502e-73,137,biological_process,photosynthesis,False
GO:0009767,0.9478845888486145,5724.672770774778,0.0663105005814738,1.778274609228376e-13,22,biological_process,photosynthetic electron transport chain,False
GO:0051259,0.9473449701590618,6080.778113028364,0.11504365753092408,6.107485915494048e-20,35,biological_process,protein complex oligomerization,False
GO:0022625,0.9457129062010976,6984.191372444578,0.40631432951310315,1.4332978703837502e-108,206,cellular_component,cytosolic large ribosomal subunit,False
GO:0022626,0.9418183725068724,6945.282181456768,0.3885888241198014,6.498234399792119e-167,326,cellular_component,cytosolic ribosome,False
GO:0042548,0.9381283699465518,5924.547622062127,0.0956820956820957,7.388141454388154e-09,14,biological_process,"regulation of photosynthesis, light reaction",False
GO:0010109,0.938057891142043,5881.144849105236,0.08539610761754476,6.112253983826248e-11,18,biological_process,,False
GO:0043467,0.9374494753282633,5924.547622062127,0.0956820956820957,9.288200366814595e-09,14,biological_process,,False
GO:0010207,0.9352590170771989,6108.679443306583,0.13225663225663226,2.403391957162835e-08,14,biological_process,photosystem II assembly,False
GO:0022627,0.923875835508583,6898.15065730389,0.3670523333578571,3.3815747719343785e-57,118,cellular_component,cytosolic small ribosomal subunit,False
GO:0005854,0.9206335193163359,7196.173500941029,0.5229418273418556,4.4656210646006506e-07,12,cellular_component,nascent polypeptide-associated complex,False
GO:0044391,0.9199287115808441,6915.323633012951,0.38409529229860184,7.319162867815918e-179,387,cellular_component,,False
GO:0015934,0.9174332503155719,6951.630510059035,0.40163255827146316,4.7607932904039975e-112,243,cellular_component,large ribosomal subunit,False
GO:0046490,0.9134432415525713,7003.165773423835,0.4880347011323775,2.968791213106775e-05,12,biological_process,,False
