GO,AUC,AVG_NODE_DEGREE,DEGREE_NULL_AUC,P_Value,n_genes,namespace,term_name,is_obsolete
GO:0009522,0.9743379340770152,3473.312334550439,0.030721443427058855,1.1743809783981711e-13,21,cellular_component,photosystem I,False
GO:0009765,0.9642978335312237,3651.711747648211,0.07961751937132494,1.7437777290425164e-19,31,biological_process,"photosynthesis, light harvesting",False
GO:0009579,0.9615480109234169,3554.6968706400608,0.051024616672373777,1.4189887916938329e-43,75,cellular_component,thylakoid,False
GO:0034357,0.959763756870994,3558.594410815602,0.052292522440286024,1.6742105065270117e-40,72,cellular_component,photosynthetic membrane,False
GO:0009521,0.9590041679364062,3562.736817148979,0.053428832176265435,1.608106574342448e-40,70,cellular_component,photosystem,False
GO:0015979,0.9555646714383857,3621.603709792776,0.06785639574173136,3.0885034197676935e-66,119,biological_process,photosynthesis,False
GO:0042651,0.953538453765804,3618.2318351848608,0.07063013906255922,1.518919238663649e-22,39,cellular_component,thylakoid membrane,False
GO:0009523,0.9504223646894275,3605.1790204081913,0.0664021013503262,2.860235839848879e-27,48,cellular_component,photosystem II,False
GO:0009654,0.9495698335848303,3638.43939056463,0.07629950412339442,2.432808816404799e-19,34,cellular_component,photosystem II oxygen evolving complex,False
GO:1990204,0.9436321491235037,3669.7720286059507,0.09476520525264986,1.8196031354104173e-19,35,cellular_component,oxidoreductase complex,False
GO:0019684,0.9418432918859297,3703.3267719490614,0.09373396747043082,6.118921277877149e-23,41,biological_process,"photosynthesis, light reaction",False
GO:0005840,0.8968490716606873,4226.591747892892,0.341375476970225,4.609265128373934e-170,415,cellular_component,ribosome,False
GO:0030118,0.8641500083076941,4717.252304272482,0.7080625557086135,9.977676962299223e-09,21,cellular_component,clathrin coat,False
GO:0044391,0.8640704182739581,4273.1311943928995,0.3759721104853848,1.1877260626002454e-09,22,cellular_component,ribosomal subunit,False
GO:0006412,0.8567545547474777,4235.013879937176,0.34648090698143663,3.1371917802555687e-189,576,biological_process,translation,False
GO:0160307,0.8559925346870294,4235.013879937176,0.34648090698143663,1.8637572690796302e-188,576,biological_process,protein biosynthetic process,False
GO:0042254,0.854806425856658,4527.080514866245,0.5594976359772642,2.1800982164788673e-22,62,biological_process,ribosome biogenesis,False
GO:0019898,0.8539708383689181,3805.8924848428796,0.16744201145973672,1.4023028056940556e-13,35,cellular_component,extrinsic component of membrane,False
GO:0016072,0.8510394734926251,4507.488962333207,0.5367697972193218,1.7410785708468526e-11,31,biological_process,rRNA metabolic process,False
GO:0005618,0.8493913903205939,4728.145014802105,0.7003063308373043,2.3631889859889834e-07,22,cellular_component,cell wall,False
GO:0006754,0.8441766807756137,4008.339389152521,0.23740871078820905,2.658850835486331e-10,27,biological_process,ATP biosynthetic process,False
GO:0005730,0.8413297070358897,4685.353571014562,0.6780973989141885,1.1433036499463175e-07,21,cellular_component,nucleolus,False
GO:0015986,0.839789990964659,3972.1273185247624,0.2172012257405516,1.8111420811048372e-09,25,biological_process,proton motive force-driven ATP synthesis,False
GO:0006364,0.8391936399772857,4507.488962333207,0.5367697972193218,2.8162544456392235e-11,31,biological_process,rRNA processing,False
GO:0030312,0.8356165765220571,4687.217911485255,0.6743348511832816,6.090071648926547e-07,23,cellular_component,external encapsulating structure,False
GO:0005839,0.8344388747638378,4258.963588261684,0.3475579073806548,5.81240368240401e-12,35,cellular_component,proteasome core complex,False
GO:0006414,0.8304417716252507,4227.5340697562615,0.36755978075866186,5.8812415655426704e-08,23,biological_process,translational elongation,False
GO:0051603,0.8302753868485034,4258.963588261684,0.3475579073806548,8.10952344092631e-12,35,biological_process,obsolete proteolysis involved in protein catabolic process,True
GO:0000786,0.8295749158249158,3917.762573298522,0.21036931818181817,3.890352586946281e-12,36,cellular_component,nucleosome,False
GO:0032993,0.8295749158249158,3917.762573298522,0.21036931818181817,3.890352586946281e-12,36,cellular_component,protein-DNA complex,False
GO:0019773,0.8231087582193651,4309.8567844571635,0.37797585284822943,1.8407172226774492e-07,21,cellular_component,"proteasome core complex, alpha-subunit complex",False
GO:0022613,0.8171484673790829,4514.347367016386,0.5498559504494223,1.3364167975006553e-21,74,biological_process,ribonucleoprotein complex biogenesis,False
GO:0048475,0.8134302195947982,4705.685250579229,0.6964082329970712,4.2041362155006233e-16,56,cellular_component,coated membrane,False
GO:0030120,0.8084843322492384,4707.631951278055,0.6966972577897456,2.0356878984852575e-09,31,cellular_component,vesicle coat,False
GO:0097708,0.8084843322492384,4707.631951278055,0.6966972577897456,2.0356878984852575e-09,31,cellular_component,intracellular vesicle,False
GO:0007015,0.8072804328906044,4797.640726699602,0.753833411115736,2.988550900105526e-08,27,biological_process,actin filament organization,False
GO:0030133,0.8069013582287918,4733.387071112354,0.7176702353693505,4.061268032575823e-07,22,cellular_component,transport vesicle,False
GO:0030658,0.8069013582287918,4733.387071112354,0.7176702353693505,4.061268032575823e-07,22,cellular_component,transport vesicle membrane,False
