GO,AUC,AVG_NODE_DEGREE,DEGREE_NULL_AUC,P_Value,n_genes,namespace,term_name,is_obsolete
GO:0042542,0.9736443042404113,6265.326621970359,0.05033079510978943,4.0653769882495855e-23,36,biological_process,response to hydrogen peroxide,False
GO:0051259,0.9641820966797315,6257.5742973543,0.05023135081847309,4.051443974115545e-21,34,biological_process,protein complex oligomerization,False
GO:0009538,0.9631831507599103,6567.453831533711,0.13086110865988052,8.574131023097973e-09,13,cellular_component,photosystem I reaction center,False
GO:0009654,0.9603511925760794,6741.771655039849,0.18863138180284983,5.4264530409057533e-17,29,cellular_component,photosystem II oxygen evolving complex,False
GO:0009522,0.9594526627535943,6570.25816026594,0.13449364715059328,6.98002072332802e-12,18,cellular_component,photosystem I,False
GO:0009523,0.9584054775236218,6761.817002513121,0.20058984586262846,1.6508875779112084e-23,40,cellular_component,photosystem II,False
GO:0009768,0.9573041567097228,6834.492437450632,0.2118032771065735,3.821769057205132e-17,28,biological_process,"photosynthesis, light harvesting in photosystem I",False
GO:0010287,0.9564807048103262,6791.014991715007,0.19640503025803693,1.8025611199742598e-09,15,cellular_component,plastoglobule,False
GO:0009773,0.9563683807981285,6662.452506265314,0.16157954611187167,4.215031590359067e-09,14,biological_process,photosynthetic electron transport in photosystem I,False
GO:0022625,0.9536658148868287,7210.4166256137905,0.38932869855198404,1.505547822407986e-115,213,cellular_component,cytosolic large ribosomal subunit,False
GO:0010207,0.9401446993552257,6942.271102323214,0.2775416104363473,6.955294321668775e-08,12,biological_process,photosystem II assembly,False
GO:0015979,0.9390008071081096,6703.206335009948,0.18364429906903829,1.291055466939442e-36,70,biological_process,photosynthesis,False
GO:0009543,0.9317353754807368,7115.4423551749505,0.3656850537627813,4.776824436564474e-07,11,cellular_component,chloroplast thylakoid lumen,False
GO:0022627,0.9296707516794047,7132.507144184811,0.36015497553017944,1.7831330378423401e-59,120,cellular_component,cytosolic small ribosomal subunit,False
GO:0030261,0.9252011306805827,6302.885006324044,0.10267484051140167,7.693927863129158e-07,13,biological_process,chromosome condensation,False
GO:0042254,0.9171670724010458,7703.836715096306,0.635506061425726,5.2251936436531e-22,44,biological_process,ribosome biogenesis,False
GO:0009368,0.9170304121198486,6718.997118881272,0.18422505012804988,4.616713492197731e-09,17,cellular_component,endopeptidase Clp complex,False
GO:0016554,0.9139518668466038,7312.766010650375,0.4605600539811066,5.886806732566184e-07,12,biological_process,cytidine to uridine editing,False
GO:0005770,0.9131499227666051,7538.832626355869,0.5646848427588068,4.742887688769166e-08,14,cellular_component,late endosome,False
GO:0000028,0.9110006544489124,7288.281950364292,0.43511950079335154,2.9780230776507627e-18,38,biological_process,ribosomal small subunit assembly,False
GO:0005840,0.9066859949823897,7144.396738955308,0.36508744488132766,2.436593380966953e-192,446,cellular_component,ribosome,False
GO:0009651,0.9036611467838234,6403.134384162696,0.10985084442333513,1.7103706258672892e-17,37,biological_process,response to salt stress,False
GO:0015995,0.9017494018017206,7176.975061845148,0.37795393093548696,1.1448888256650489e-09,19,biological_process,chlorophyll biosynthetic process,False
GO:0009579,0.9005734452470427,6633.633906884295,0.17400789491449545,1.3753815386201638e-09,19,cellular_component,thylakoid,False
GO:0031428,0.8975907679848832,8022.327459386516,0.785502188458053,1.264556657170016e-07,14,cellular_component,box C/D methylation guide snoRNP complex,False
GO:0009408,0.8950983209897657,6445.988461326045,0.12267578301290731,1.5211299306605524e-26,60,biological_process,response to heat,False
GO:0000027,0.8939470627697176,7518.392206541418,0.542933901054339,1.5153126132021218e-16,36,biological_process,ribosomal large subunit assembly,False
GO:0000302,0.8932496840391577,6611.405274061057,0.16527215474583898,1.811710726684388e-06,12,biological_process,response to reactive oxygen species,False
GO:0002181,0.8919641898186842,7154.752027993749,0.3589841164945095,3.9359562055838113e-31,73,biological_process,cytoplasmic translation,False
GO:0006412,0.88944236891441,7144.891512164027,0.36979199158883086,1.9879754755821043e-165,417,biological_process,translation,False
GO:0005978,0.8883993102414155,7309.309022700174,0.44361223571749886,6.177926489297669e-06,12,biological_process,glycogen biosynthetic process,False
GO:0080156,0.8881728726054656,7625.532909910638,0.6094291287524828,3.25915725352106e-09,19,biological_process,mitochondrial mRNA modification,False
GO:0005854,0.8879892037786775,7519.023782620604,0.5484817813765183,1.6192334928465582e-06,12,cellular_component,nascent polypeptide-associated complex,False
GO:0006414,0.8876144033756036,6996.874597616342,0.3094496556892665,3.812246177343712e-15,33,biological_process,translational elongation,False
GO:0032040,0.8874289612441272,7934.370883199645,0.7386758250158342,2.2085867574220925e-26,62,cellular_component,small-subunit processome,False
GO:0000470,0.8838648343142195,7726.893299510824,0.6412233767679256,4.23781884977469e-15,34,biological_process,maturation of LSU-rRNA,False
GO:0009535,0.8823367897004553,6949.340069858452,0.27998069454186475,4.6281591752525747e-66,168,cellular_component,chloroplast thylakoid membrane,False
GO:0005687,0.8820062609276972,7164.669911178331,0.37391586798056153,5.900733244250825e-08,16,cellular_component,U4 snRNP,False
GO:0000786,0.8816179694126546,6336.125856428406,0.13038464308015396,8.895231618661328e-26,63,cellular_component,nucleosome,False
GO:0000463,0.8794158815605723,7740.073795291716,0.6534599722082836,7.751016725076977e-12,28,biological_process,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",False
GO:0098542,0.8793318450367563,7424.870377362215,0.5031362467866324,6.723321525460653e-21,50,biological_process,defense response to other organism,False
GO:0048471,0.8753143062771294,6321.4461931596015,0.12374333715673706,1.6135706961459026e-05,11,cellular_component,perinuclear region of cytoplasm,False
GO:0015935,0.8736441620384655,6972.646748270332,0.28760714767818574,1.1031716597451479e-07,16,cellular_component,small ribosomal subunit,False
GO:0018216,0.8727384701068911,7819.090684600582,0.7132816014394963,1.302340875925566e-05,12,biological_process,peptidyl-arginine methylation,False
GO:0090110,0.8723039546497503,7320.016936538429,0.4298488325010123,2.1405010987893357e-06,14,biological_process,COPII-coated vesicle cargo loading,False
GO:0005694,0.8689120667281743,7472.597905057384,0.5391921036642778,4.805920930661638e-08,19,cellular_component,chromosome,False
GO:1901259,0.8688264117906757,7231.0445982754645,0.40235553371054794,5.875743785720982e-12,29,biological_process,chloroplast rRNA processing,False
GO:0034715,0.866608175294144,7145.559450728136,0.36001439787631323,4.3812732457979707e-07,15,cellular_component,pICln-Sm protein complex,False
GO:0031167,0.8634866546708652,7799.638120077419,0.6803081421502474,7.562431445328084e-06,12,biological_process,rRNA methylation,False
GO:0010008,0.859645926125883,7089.205049878502,0.3446580413782465,2.777595739612168e-06,14,cellular_component,endosome membrane,False
GO:0000054,0.8595114924062291,7836.160525330636,0.6848459289248763,2.5355385279964457e-05,12,biological_process,ribosomal subunit export from nucleus,False
GO:0016117,0.8577905784241864,6817.634373719348,0.26340467188765865,1.5646032500904107e-08,20,biological_process,carotenoid biosynthetic process,False
GO:0007010,0.8577001594588687,7721.171611685047,0.6546448825276803,1.7853583053605398e-08,20,biological_process,cytoskeleton organization,False
GO:0030126,0.8567612293144208,7445.364045860275,0.5180757251679238,2.9482618393417206e-10,27,cellular_component,COPI vesicle coat,False
GO:0072657,0.8550397789865789,7294.770306269265,0.4364704293815825,1.7717007222752848e-08,20,biological_process,protein localization to membrane,False
GO:0045332,0.8528845906613185,7619.204353323626,0.5935770450863931,8.432822200933626e-07,16,biological_process,phospholipid translocation,False
GO:0018107,0.8493377850067468,7494.606554237469,0.5265702113616249,1.4659024459716056e-07,18,biological_process,peptidyl-threonine phosphorylation,False
GO:0022900,0.8447465860622335,6727.016687411379,0.20241363274980126,4.4985307297128076e-07,18,biological_process,electron transport chain,False
GO:0042273,0.8405217366113676,7492.091135833132,0.5386411987790214,2.0405451552478206e-13,38,biological_process,ribosomal large subunit biogenesis,False
GO:0034599,0.8394689411512598,6644.158190044329,0.18322214497276776,4.692240417712553e-11,31,biological_process,cellular response to oxidative stress,False
GO:0005832,0.8379251560394841,7434.6386585481,0.5091853951542148,4.0439361841850025e-06,15,cellular_component,chaperonin-containing T-complex,False
GO:0048544,0.8369271368916711,7582.252527003406,0.5830178878000032,3.442557323005452e-10,29,biological_process,recognition of pollen,False
GO:0030686,0.8362405582620359,7739.469088237625,0.6313189039786364,1.3928952304454596e-09,26,cellular_component,90S preribosome,False
GO:0030490,0.8360805407392403,7486.36473018098,0.5393738887763599,1.3167943276289002e-07,21,biological_process,maturation of SSU-rRNA,False
GO:0018401,0.8351479431922136,7575.331259666576,0.5979262672811061,7.515756434281379e-06,14,biological_process,peptidyl-proline hydroxylation to 4-hydroxy-L-proline,False
GO:0009691,0.8346434997750788,7311.108675287374,0.455414979757085,7.450051163829345e-05,12,biological_process,cytokinin biosynthetic process,False
GO:0005839,0.8331507577122946,6958.409059992222,0.27031329788831815,5.764355933549616e-12,36,cellular_component,proteasome core complex,False
GO:0001682,0.832898140026539,7939.813814958287,0.7723991142788794,6.406355975862011e-05,11,biological_process,tRNA 5'-leader removal,False
GO:0030688,0.8325763710802176,7740.903954252966,0.6555829782311088,7.943269420624216e-06,14,cellular_component,"preribosome, small subunit precursor",False
GO:0009785,0.8324609012239756,6742.089862293404,0.280575352847436,0.00018892478779769555,13,biological_process,blue light signaling pathway,False
GO:0048193,0.8311011402739356,7614.615609756057,0.599450411271476,0.00021753275747559987,11,biological_process,Golgi vesicle transport,False
GO:0000462,0.8304276624674164,7634.082222374581,0.5870890505267705,1.6298077654793215e-13,41,biological_process,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",False
GO:0097526,0.8293310688202037,7222.549292728387,0.39986117270501126,9.60383595565083e-06,14,cellular_component,spliceosomal tri-snRNP complex,False
GO:0006364,0.8266122801208144,7760.467782397023,0.6657648971265558,1.1491217353146274e-20,68,biological_process,rRNA processing,False
GO:0010158,0.8250653342758606,7424.120730574544,0.5071862348178138,0.00010211421625365976,12,biological_process,abaxial cell fate specification,False
GO:0042026,0.823102976925731,6810.861130004171,0.2621042176913197,2.6559959202208e-12,39,biological_process,protein refolding,False
GO:0010498,0.8226212535442162,6898.920524378518,0.23623047220373533,1.9985739249743842e-07,21,biological_process,proteasomal protein catabolic process,False
GO:0006891,0.8211216555587754,7461.03383512347,0.5263578994816317,6.093613407377474e-13,42,biological_process,intra-Golgi vesicle-mediated transport,False
GO:0045454,0.8204278974039818,6790.299873684719,0.22007161194433184,4.5827982064092e-10,30,biological_process,cell redox homeostasis,False
GO:0045910,0.8196619270458364,6477.192947869309,0.1677662661987041,4.8966531310581806e-06,16,biological_process,negative regulation of DNA recombination,False
GO:0005742,0.8168345965559379,7805.19339339905,0.661230072808239,0.00013119569801273138,11,cellular_component,mitochondrial outer membrane translocase complex,False
GO:0042274,0.8162736450504777,7356.173359466529,0.46557310652085865,2.356077356908964e-06,18,biological_process,ribosomal small subunit biogenesis,False
GO:0006301,0.816145599040336,6792.786175122589,0.2251855600539811,7.883450392425493e-05,12,biological_process,DNA damage tolerance,False
GO:0042742,0.815444684490053,7656.939948229895,0.5991628409397786,1.6979269135453304e-06,20,biological_process,defense response to bacterium,False
GO:0030488,0.8135480383842867,7783.687002753728,0.6790054226718769,2.597782294826301e-07,23,biological_process,tRNA methylation,False
GO:0005764,0.8135206683465322,7278.1230665190815,0.45072472327213825,6.728239395415884e-06,16,cellular_component,lysosome,False
GO:0030388,0.8131287220797144,6787.709315926652,0.1999009945547005,2.7714304605003544e-06,18,biological_process,"fructose 1,6-bisphosphate metabolic process",False
GO:0042147,0.813116856468657,7380.173130400203,0.47783388655082154,7.545585752223843e-10,31,biological_process,"retrograde transport, endosome to Golgi",False
GO:0034605,0.8130605271994141,6773.118925836308,0.24350908201727559,5.136781315607505e-13,43,biological_process,cellular response to heat,False
GO:0006900,0.8125876208905775,7033.707155239054,0.32456160088804886,2.32876657271172e-06,18,biological_process,vesicle budding from membrane,False
GO:0006121,0.8123795815247133,7165.311413875932,0.4022915887162564,0.00011032898717065436,11,biological_process,"mitochondrial electron transport, succinate to ubiquinone",False
GO:0006120,0.8120985155195681,6838.082997887696,0.21344466936572198,0.0001022596906234619,12,biological_process,"mitochondrial electron transport, NADH to ubiquinone",False
GO:0006896,0.8119751253851518,7395.989559926497,0.48736129938477957,0.0002593821409120578,11,biological_process,Golgi to vacuole transport,False
GO:0070475,0.811178342413577,7918.640633833905,0.7456472970558456,5.142246989896378e-06,17,biological_process,rRNA base methylation,False
GO:0009640,0.8103573518254182,7191.469345440203,0.3970868214960842,1.158196227879513e-06,20,biological_process,photomorphogenesis,False
GO:0010494,0.8099977507872245,7043.449828282864,0.3052350427350427,9.986978362184656e-05,12,cellular_component,cytoplasmic stress granule,False
GO:0045037,0.8095689635778722,7227.504658927702,0.4132145508537491,1.7366807715758812e-05,15,biological_process,protein import into chloroplast stroma,False
GO:0000815,0.8090770293942754,7086.4743051136575,0.3561692243552838,9.579352149390253e-06,17,cellular_component,ESCRT III complex,False
GO:0005682,0.8085814463558099,7155.863781328692,0.3587060174241912,5.550932295369254e-08,25,cellular_component,U5 snRNP,False
GO:0016272,0.8066147028388896,6844.1655455964055,0.26337176792703854,3.2405059061645825e-05,14,cellular_component,prefoldin complex,False
GO:0055028,0.8059792144688892,7682.626498430176,0.6429294487399494,8.143767164488375e-05,14,cellular_component,cortical microtubule,False
GO:0007019,0.8052432687765707,7800.81990938151,0.6790087569492388,0.00010761988105217111,13,biological_process,microtubule depolymerization,False
