GO,AUC,AVG_NODE_DEGREE,DEGREE_NULL_AUC,P_Value,n_genes,namespace,term_name,is_obsolete
GO:0042542,0.9742428146904464,6265.326621970359,0.05033079510978943,2.1924681152038787e-22,36,biological_process,response to hydrogen peroxide,False
GO:0009522,0.9655589562016784,6554.7150298205,0.1283553875236295,4.4048942308188417e-13,20,cellular_component,photosystem I,False
GO:0009538,0.9646531104962848,6567.453831533711,0.13086110865988052,5.333209977509059e-09,13,cellular_component,photosystem I reaction center,False
GO:0009521,0.9627963796076887,6686.584132151299,0.17303036971830985,1.0583060886123862e-37,64,cellular_component,,False
GO:0009768,0.960225328985958,6834.492437450632,0.2118032771065735,3.804431928904693e-16,28,biological_process,"photosynthesis, light harvesting in photosystem I",False
GO:0009654,0.9594758069560475,6741.771655039849,0.18863138180284983,7.04616964433483e-18,29,cellular_component,photosystem II oxygen evolving complex,False
GO:0009523,0.9592289270299891,6746.524633210753,0.1942545552905304,4.707836558429668e-26,44,cellular_component,photosystem II,False
GO:0009765,0.9581060147474249,6907.371404006728,0.24371827220570125,8.13476692630905e-20,36,biological_process,,False
GO:0009773,0.9566237009043056,6662.452506265314,0.16157954611187167,1.7453816580796013e-09,14,biological_process,photosynthetic electron transport in photosystem I,False
GO:0010287,0.9541129558390137,6791.014991715007,0.19640503025803693,2.013643797027222e-09,15,cellular_component,plastoglobule,False
GO:0022625,0.9535726008360431,7210.4166256137905,0.38932869855198404,8.173667577008281e-116,213,cellular_component,cytosolic large ribosomal subunit,False
GO:0031978,0.9514247801542856,7115.4423551749505,0.3656850537627813,6.570840465436115e-07,11,cellular_component,,False
GO:0031977,0.9514247801542856,7115.4423551749505,0.3656850537627813,6.570840465436115e-07,11,cellular_component,,False
GO:0022626,0.9474033743029482,7177.518385052612,0.3755535628060978,1.4544191099539776e-175,335,cellular_component,cytosolic ribosome,False
GO:0010207,0.9471926035902282,7046.032264465811,0.32959913618572007,1.8163830398094208e-08,14,biological_process,photosystem II assembly,False
GO:0019684,0.9449898564375995,6887.624505953475,0.24871482049196567,1.4988323696134827e-41,78,biological_process,,False
GO:0015979,0.9435971183215859,6790.100580534389,0.21183150768429587,4.684662479808314e-72,138,biological_process,photosynthesis,False
GO:0043467,0.9402490964442644,6916.4452685445385,0.2782378574320807,7.972883242392206e-09,14,biological_process,,False
GO:0046490,0.9402402908981857,7393.605110151482,0.5199730094466937,1.8349638697750456e-06,12,biological_process,,False
GO:0042548,0.9398310613218158,6916.4452685445385,0.2782378574320807,6.401623000695609e-09,14,biological_process,"regulation of photosynthesis, light reaction",False
GO:0009767,0.936864969500529,6734.783082391473,0.19439412578132567,3.371219876866689e-13,23,biological_process,photosynthetic electron transport chain,False
GO:0010109,0.934848630960417,6885.937491812581,0.2603093170124357,8.801606719948945e-11,18,biological_process,,False
GO:0051259,0.9340720609911429,6322.218935470837,0.07514042834399688,3.0077703703844486e-19,36,biological_process,protein complex oligomerization,False
GO:0009543,0.9296531198224741,7115.4423551749505,0.3656850537627813,4.0174202115339303e-07,11,cellular_component,chloroplast thylakoid lumen,False
GO:0022627,0.9281783074537288,7132.507144184811,0.36015497553017944,1.8823403381245068e-59,120,cellular_component,cytosolic small ribosomal subunit,False
GO:0044391,0.921250872516903,7191.345543738154,0.3844023108273643,8.981286697530447e-187,403,cellular_component,,False
GO:0016554,0.9170704539125593,7312.766010650375,0.4605600539811066,1.0329830572393103e-06,12,biological_process,cytidine to uridine editing,False
GO:0015934,0.9164295786750598,7226.665944170156,0.4010235532032757,9.205795960412848e-118,257,cellular_component,large ribosomal subunit,False
GO:0009368,0.9153839148439217,6718.997118881272,0.18422505012804988,2.338002974734315e-09,17,cellular_component,endopeptidase Clp complex,False
GO:0015935,0.9124372530950224,7129.171962155812,0.35941134880111336,4.884478902370282e-67,146,cellular_component,small ribosomal subunit,False
GO:0005978,0.9101913437439754,7309.309022700174,0.44361223571749886,2.640273897614585e-06,12,biological_process,glycogen biosynthetic process,False
GO:0005854,0.9035897435897436,7519.023782620604,0.5484817813765183,7.365994899256577e-07,12,cellular_component,nascent polypeptide-associated complex,False
GO:0034357,0.9007214652834005,6891.21926384198,0.2554842580979977,2.476635623627305e-97,228,cellular_component,,False
GO:0045165,0.8977441804655628,7441.849487311079,0.5131403550215983,1.266762111824578e-07,16,biological_process,cell fate commitment,False
GO:0015995,0.894815364882198,7176.975061845148,0.37795393093548696,1.7541120911940555e-09,19,biological_process,chlorophyll biosynthetic process,False
GO:0080156,0.894374953788982,7625.532909910638,0.6094291287524828,2.5783825540523817e-08,19,biological_process,mitochondrial mRNA modification,False
GO:1900864,0.894374953788982,7625.532909910638,0.6094291287524828,2.5783825540523817e-08,19,biological_process,,False
GO:0042651,0.8942497272917561,6915.442049081001,0.2653389843881501,3.6082171939010706e-86,208,cellular_component,thylakoid membrane,False
GO:0090110,0.892047959688667,7320.016936538429,0.4298488325010123,1.5240173674797389e-07,14,biological_process,COPII-coated vesicle cargo loading,False
GO:0035459,0.892047959688667,7320.016936538429,0.4298488325010123,1.5240173674797389e-07,14,biological_process,,False
GO:0005905,0.8916416121899274,7115.675874748782,0.35984874063069755,7.639846300087991e-11,23,cellular_component,clathrin-coated pit,False
GO:0000028,0.88924112776533,7236.090512628817,0.4156858436992969,9.187413898752332e-18,40,biological_process,ribosomal small subunit assembly,False
GO:0000027,0.8889097864557572,7567.753289001511,0.5629292861005949,2.033579269226608e-17,40,biological_process,ribosomal large subunit assembly,False
GO:0005687,0.8883301835853131,7164.669911178331,0.37391586798056153,4.4675279876564136e-08,16,cellular_component,U4 snRNP,False
GO:0009579,0.8878280065142571,6917.208495192308,0.2693811589536156,3.8604713958678034e-113,285,cellular_component,thylakoid,False
GO:0030132,0.8875632633780955,7264.97117249349,0.419923486999538,9.400433525941351e-07,13,cellular_component,clathrin coat of coated pit,False
GO:0031428,0.8852221772318952,8022.327459386516,0.785502188458053,8.718014520107177e-07,14,cellular_component,box C/D methylation guide snoRNP complex,False
GO:0055035,0.884529511632838,6936.956863417874,0.27457968373115693,1.7773971228746432e-68,173,cellular_component,,False
GO:0032040,0.8836077114039199,7934.370883199645,0.7386758250158342,1.3820768823427968e-25,62,cellular_component,small-subunit processome,False
GO:0009535,0.8827132423549419,6936.956863417874,0.27457968373115693,4.0238455434512765e-68,173,cellular_component,chloroplast thylakoid membrane,False
GO:0000786,0.8826895345793626,6336.125856428406,0.13038464308015396,7.367322253977106e-26,63,cellular_component,nucleosome,False
GO:0005832,0.8823959715941898,7434.6386585481,0.5091853951542148,1.154854140790188e-07,15,cellular_component,chaperonin-containing T-complex,False
GO:0042255,0.8797932245857388,7410.021607048003,0.4916962106242009,1.0152095047235073e-33,84,biological_process,,False
GO:0000463,0.8795246780149508,7740.073795291716,0.6534599722082836,4.420888436898332e-11,28,biological_process,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",False
GO:0018195,0.8794371710082333,7883.311506147787,0.7409376626882364,4.82402497902323e-07,14,biological_process,,False
GO:0018216,0.8794371710082332,7883.311506147787,0.7409376626882364,4.824024979023248e-07,14,biological_process,peptidyl-arginine methylation,False
GO:0030686,0.8781841476246456,7902.0173906798855,0.7200645768083297,8.920226475042591e-21,51,cellular_component,90S preribosome,False
GO:0000470,0.8781380795108874,7722.3390393721775,0.6414314840071492,3.762228986102959e-25,63,biological_process,maturation of LSU-rRNA,False
GO:0018107,0.8762985089179905,7494.606554237469,0.5265702113616249,2.179391422577275e-08,18,biological_process,peptidyl-threonine phosphorylation,False
GO:0034715,0.8762513779217566,7145.559450728136,0.36001439787631323,3.169102283848025e-07,15,cellular_component,pICln-Sm protein complex,False
GO:0005732,0.8757111051038874,8021.112830377796,0.7971963428880372,1.1195069660747397e-14,35,cellular_component,sno(s)RNA-containing ribonucleoprotein complex,False
GO:0031976,0.8748456515392279,6977.845902211851,0.2940941559767046,4.955552648211293e-83,223,cellular_component,,False
GO:0042273,0.8740765769536606,7598.6173847430255,0.5838640754549821,2.675452484451367e-50,133,biological_process,ribosomal large subunit biogenesis,False
GO:0009534,0.8723433788406005,6977.845902211851,0.2940941559767046,1.9182201433444117e-82,223,cellular_component,chloroplast thylakoid,False
GO:0016116,0.871937242317622,6845.406788140453,0.2657993901894161,6.77471733503251e-13,31,biological_process,carotenoid metabolic process,False
GO:0016109,0.8704611123050839,6798.107992342846,0.24543510075424968,2.604272995187896e-11,27,biological_process,,False
GO:0016117,0.8704611123050839,6798.107992342846,0.24543510075424968,2.604272995187896e-11,27,biological_process,carotenoid biosynthetic process,False
GO:0005795,0.8690680761733395,7698.204441328914,0.6548301844354476,2.0977264070011086e-05,12,cellular_component,Golgi stack,False
GO:0012510,0.8683180837969257,7266.792345887129,0.4225011810757913,4.835371431862412e-07,15,cellular_component,,False
