GO,AUC,AVG_NODE_DEGREE,DEGREE_NULL_AUC,P_Value,n_genes,namespace,term_name,is_obsolete
GO:0042542,0.986191818258133,5063.18944746922,0.014516456138979903,6.784968790351484e-26,39,biological_process,response to hydrogen peroxide,False
GO:0051259,0.9859638169272529,5026.066098298842,0.01003377506932353,7.857671942403255e-24,36,biological_process,protein complex oligomerization,False
GO:0009538,0.957135844366959,5598.183881103576,0.07523496999849574,1.3715788675529136e-08,13,cellular_component,photosystem I reaction center,False
GO:0009522,0.9521558872305141,5656.599638794223,0.08839298652369222,1.204542821165313e-10,18,cellular_component,photosystem I,False
GO:0010287,0.9352831099843052,5913.214021195804,0.14263914040806472,4.587940123662813e-09,15,cellular_component,plastoglobule,False
GO:0009651,0.9325258066196677,5215.011780132765,0.06964624278317044,3.7982790065776696e-21,39,biological_process,response to salt stress,False
GO:0009768,0.9293958655581336,6049.72410532161,0.175772186774942,4.775205097528985e-15,28,biological_process,"photosynthesis, light harvesting in photosystem I",False
GO:0030388,0.9286129969229071,5869.312475310944,0.13919425528832222,2.3776475018639804e-09,16,biological_process,"fructose 1,6-bisphosphate metabolic process",False
GO:0015979,0.9237179004061412,5852.548539322911,0.14305362772035551,1.7157987417574124e-34,69,biological_process,photosynthesis,False
GO:0009408,0.9140895701714071,5421.756619080441,0.09497465404292635,2.8824696946785397e-29,62,biological_process,response to heat,False
GO:0009523,0.9132409498158163,5957.2621074463395,0.17032927162816142,3.068416199488487e-19,39,cellular_component,photosystem II,False
GO:0009654,0.9078117519242808,5994.35533320887,0.1751610664567451,6.114489219818431e-14,28,cellular_component,photosystem II oxygen evolving complex,False
GO:0000302,0.9059764065919919,5830.262272396251,0.15147016222479723,8.289094100167779e-07,12,biological_process,response to reactive oxygen species,False
GO:0005978,0.9021147161066048,6423.60742087394,0.3104963306295867,1.3737011446864726e-06,12,biological_process,glycogen biosynthetic process,False
GO:0010207,0.8991864619544225,6220.959236144565,0.24997585940517572,8.386187124547247e-07,12,biological_process,photosystem II assembly,False
GO:0031428,0.8974334524269345,7382.1788443586365,0.6825330726149091,1.1976022543058103e-06,12,cellular_component,box C/D methylation guide snoRNP complex,False
GO:0022625,0.8913927141038709,6874.753869798848,0.44986959668563437,3.0654116512416632e-86,212,cellular_component,cytosolic large ribosomal subunit,False
GO:0030261,0.8894179702587871,5675.608642471947,0.1248974024719969,2.462243065857141e-06,12,biological_process,chromosome condensation,False
GO:0010411,0.8884754213144044,7518.168812941923,0.7148030876844437,8.930728945463442e-07,14,biological_process,xyloglucan metabolic process,False
GO:0009579,0.888471006433473,5844.668022435033,0.1406114736155656,4.7953813637020335e-09,19,cellular_component,thylakoid,False
GO:0022627,0.8771502534304153,6740.725021060538,0.3976744751757523,3.654073714228496e-45,117,cellular_component,cytosolic small ribosomal subunit,False
GO:0031167,0.8717853090979314,7598.620440835313,0.7709728174642361,1.2503703843837514e-05,11,biological_process,rRNA methylation,False
