GO,AUC,AVG_NODE_DEGREE,DEGREE_NULL_AUC,P_Value,n_genes,namespace,term_name,is_obsolete
GO:0042542,0.9859750099210225,5063.18944746922,0.014516456138979903,3.90602696542301e-26,39,biological_process,response to hydrogen peroxide,False
GO:0051259,0.9688500605421226,5122.947855480425,0.03152471950446425,1.8917622860396423e-23,38,biological_process,protein complex oligomerization,False
GO:0009538,0.9549222214174775,5598.183881103576,0.07523496999849574,9.90861417142466e-09,13,cellular_component,photosystem I reaction center,False
GO:0009522,0.9512963250517599,5648.248589400689,0.08606159420289856,1.6721967334530603e-12,20,cellular_component,photosystem I,False
GO:0010287,0.9365825586542718,5913.214021195804,0.14263914040806472,2.5047669316665365e-09,15,cellular_component,plastoglobule,False
GO:0000302,0.9304731179322356,5444.821280515308,0.0847647858510495,1.2259856301712689e-30,61,biological_process,response to reactive oxygen species,False
GO:0009521,0.9300463605560457,5845.053954347715,0.13869418281717474,2.344452281262811e-32,63,cellular_component,,False
GO:0009768,0.9224005327833634,6049.72410532161,0.175772186774942,4.721287879701753e-15,28,biological_process,"photosynthesis, light harvesting in photosystem I",False
GO:0031428,0.9220202459121927,7382.1788443586365,0.6825330726149091,1.2671115215726467e-06,12,cellular_component,box C/D methylation guide snoRNP complex,False
GO:0009651,0.9166230883268337,5343.319941239299,0.09505056455737657,2.6868249415190514e-21,43,biological_process,response to salt stress,False
GO:0009523,0.9163612834223271,5936.591333392843,0.16426433675269367,1.947678417529667e-21,43,cellular_component,photosystem II,False
GO:0015979,0.9120492999214006,6024.292587145973,0.19047131316978658,8.135263930459313e-63,137,biological_process,photosynthesis,False
GO:0010109,0.9103789880923631,6032.496136382834,0.19285852291938368,7.474845552247255e-10,18,biological_process,,False
GO:0009765,0.908981453108702,6215.444347713493,0.23136124008512285,1.024941880231008e-17,36,biological_process,,False
GO:0030388,0.9087782526803826,5869.312475310944,0.13919425528832222,1.1645750110389837e-08,16,biological_process,"fructose 1,6-bisphosphate metabolic process",False
GO:0009654,0.9037562032740397,5994.35533320887,0.1751610664567451,1.2479587934510097e-13,28,cellular_component,photosystem II oxygen evolving complex,False
GO:0019684,0.9023207467793427,6204.438582663561,0.2432284298689014,2.126411916121053e-34,77,biological_process,,False
GO:0006970,0.9016349267614348,5404.145243989384,0.10648114539221618,5.972845828540936e-21,45,biological_process,response to osmotic stress,False
GO:0005978,0.9010597721127849,6423.60742087394,0.3104963306295867,1.9539807592332403e-06,12,biological_process,glycogen biosynthetic process,False
GO:0170049,0.9003886635766706,7382.1788443586365,0.6825330726149091,8.932589316103513e-07,12,cellular_component,,False
GO:0042548,0.8981596453347866,6164.8629231106615,0.22860660996254217,1.494454541589388e-07,14,biological_process,"regulation of photosynthesis, light reaction",False
GO:0016554,0.8953440187961154,6681.735907671365,0.4240580912316737,3.3527022093583186e-06,11,biological_process,cytidine to uridine editing,False
GO:0010207,0.8932493118933796,6431.66910819835,0.3323813662796714,1.6283958470631202e-07,14,biological_process,photosystem II assembly,False
GO:0022625,0.8905665240318862,6874.753869798848,0.44986959668563437,3.286847713417594e-86,212,cellular_component,cytosolic large ribosomal subunit,False
GO:0022626,0.8888146539725589,6815.3501024563375,0.42778708129416854,1.427558039708906e-131,331,cellular_component,cytosolic ribosome,False
GO:0043467,0.8880800618088753,6164.8629231106615,0.22860660996254217,3.682496291224197e-07,14,biological_process,,False
GO:0009767,0.87777697256645,5956.483088500657,0.18843670521328323,8.904422773393495e-10,21,biological_process,photosynthetic electron transport chain,False
GO:0022627,0.877289553382471,6740.725021060538,0.3976744751757523,2.7860483479230946e-45,117,cellular_component,cytosolic small ribosomal subunit,False
GO:0005732,0.8742174280879865,7463.006942706251,0.716814116509548,1.1885988681078758e-12,30,cellular_component,sno(s)RNA-containing ribonucleoprotein complex,False
GO:0032040,0.8714178954466857,7441.589068386182,0.7055071686653402,7.547329130297789e-23,58,cellular_component,small-subunit processome,False
GO:0044391,0.870223932474791,6796.7367863818,0.42346553651266766,5.0817803925595574e-144,400,cellular_component,,False
GO:0015935,0.8689274255169676,6706.237842579085,0.39036146046602316,9.156502025147529e-53,144,cellular_component,small ribosomal subunit,False
GO:0000470,0.8687647925590904,7291.26732117038,0.6288343747190229,1.4348127943548958e-22,59,biological_process,maturation of LSU-rRNA,False
GO:0034357,0.8657955931475353,6166.708921420593,0.22799784131729123,2.700763500769858e-80,226,cellular_component,,False
GO:0015934,0.8647033229475726,6847.642442270824,0.4438653674248009,1.7573764302537613e-90,256,cellular_component,large ribosomal subunit,False
GO:0045037,0.8624238974836583,6604.579137938652,0.3620717131474103,8.940038314071008e-07,15,biological_process,protein import into chloroplast stroma,False
GO:0015986,0.8594389840024448,6165.709036159179,0.2332671257702066,4.515095746067305e-08,25,biological_process,proton motive force-driven ATP synthesis,False
GO:0042651,0.8583133513643442,6208.035120919851,0.23893343659653613,2.3510701804912708e-70,206,cellular_component,thylakoid membrane,False
GO:0009579,0.8555940583847331,6198.772025016095,0.23854162270521206,4.613206517948156e-94,280,cellular_component,thylakoid,False
GO:0055035,0.853408499687109,6225.142288412596,0.2442409996183102,4.212857594551077e-58,172,cellular_component,,False
GO:0000786,0.8525353464162365,5796.883191215514,0.1630864387639873,1.2538425745330113e-23,68,cellular_component,nucleosome,False
GO:0009535,0.852397546072345,6225.142288412596,0.2442409996183102,8.782964602132196e-58,172,cellular_component,chloroplast thylakoid membrane,False
GO:0000463,0.8512467736836937,7399.022570466199,0.6771679234338747,1.0936189244838304e-10,28,biological_process,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",False
GO:0015995,0.8497832439743033,6273.0952352524055,0.25699979069056017,1.2368319009410016e-07,18,biological_process,chlorophyll biosynthetic process,False
GO:0000028,0.8488969906567672,6833.041540897736,0.4393896907863388,1.4688215535267204e-13,37,biological_process,ribosomal small subunit assembly,False
GO:0031976,0.8480677654132385,6276.9745989867315,0.26066274337201234,1.6810261533144468e-70,219,cellular_component,,False
GO:0009368,0.8474228629846975,5955.554880814448,0.1727075529190159,3.6235606118233123e-07,17,cellular_component,endopeptidase Clp complex,False
GO:0009534,0.8446170897020099,6276.9745989867315,0.26066274337201234,8.674137009537982e-70,219,cellular_component,chloroplast thylakoid,False
GO:0046113,0.8428436921230432,7288.992222690411,0.6256191118217626,1.4180891407221354e-05,13,biological_process,,False
GO:0000154,0.842685610341849,7478.112720611879,0.7142017957127738,7.696924952155887e-15,43,biological_process,,False
GO:0042273,0.8425470808464105,7165.173947300843,0.574697121800719,1.5794564116393011e-41,129,biological_process,ribosomal large subunit biogenesis,False
GO:0048471,0.8424336785188404,5555.682856145905,0.13542551300535224,2.9359435131506105e-05,11,cellular_component,perinuclear region of cytoplasm,False
GO:0072598,0.8411673067169044,6507.437570498817,0.3223641307456744,1.930423615445015e-07,19,biological_process,protein localization to chloroplast,False
GO:0045165,0.8383126916298496,7034.485925117368,0.5360324473093359,4.344139974549842e-05,13,biological_process,cell fate commitment,False
GO:0006826,0.8364472445506553,5706.9951852982085,0.125069947794258,6.77608473695681e-05,11,biological_process,iron ion transport,False
GO:0030684,0.835855763748737,7429.882474584354,0.6988412181163246,4.360655306491048e-37,119,cellular_component,,False
GO:0051056,0.8357396944967567,6878.538663747696,0.43324331036195446,0.00012643314746474694,14,biological_process,,False
GO:0070534,0.8357029034995138,6471.658944059587,0.2959065416692535,2.344985915676749e-05,14,biological_process,protein K63-linked ubiquitination,False
GO:0030686,0.8355291094345767,7432.76890425844,0.6989901611385828,6.869775574618036e-16,47,cellular_component,90S preribosome,False
GO:0009408,0.8348489334721076,5728.468028026667,0.1626487661011297,1.1436031846518272e-34,112,biological_process,response to heat,False
GO:0030091,0.8328319773383871,6540.301859101341,0.3535887593249801,1.7331773797600296e-05,13,biological_process,protein repair,False
GO:0006121,0.8325548555290029,6849.1908165316745,0.4630642729708556,7.303294616424254e-05,11,biological_process,"mitochondrial electron transport, succinate to ubiquinone",False
GO:0045454,0.8315543884579416,6146.049223056527,0.2156175972927242,1.521318006422591e-10,30,biological_process,cell redox homeostasis,False
GO:0015994,0.8311146189110078,6393.673250034507,0.29941066012566914,6.46450727116345e-10,29,biological_process,chlorophyll metabolic process,False
GO:0051053,0.8277576547860522,5966.394070825738,0.2021922993335265,2.1817887197677844e-06,16,biological_process,,False
GO:0042255,0.826892503016957,6966.810743908323,0.49468522561863176,2.1620109451331445e-24,80,biological_process,,False
GO:0045910,0.8260141987829615,5966.394070825738,0.2021922993335265,2.439990698123734e-06,16,biological_process,negative regulation of DNA recombination,False
GO:0046184,0.8259618302709265,6365.128590873132,0.2820888856701429,9.51842745592855e-05,12,biological_process,,False
GO:0034715,0.8245865024749488,6770.317798083873,0.39561511529639015,8.078066217898487e-06,15,cellular_component,pICln-Sm protein complex,False
GO:0005687,0.8231982448151675,6477.400297517954,0.2860629165459287,9.328240280002368e-06,16,cellular_component,U4 snRNP,False
GO:0005854,0.8214504129191268,7154.642245824386,0.567678157589803,0.00013078818668843038,12,cellular_component,nascent polypeptide-associated complex,False
GO:0006979,0.8209574006596121,5900.839293008576,0.19618760576269045,4.929800764143423e-34,119,biological_process,response to oxidative stress,False
GO:0000027,0.8201335977876142,7078.008395158905,0.5421622858673871,2.357370864396035e-12,39,biological_process,ribosomal large subunit assembly,False
GO:0031167,0.8154002744677823,7427.89908291262,0.68933512360635,1.7491759446343843e-09,29,biological_process,rRNA methylation,False
GO:0046470,0.8151885545930319,7050.342366914239,0.5357914519861412,1.2067856144810821e-05,17,biological_process,phosphatidylcholine metabolic process,False
GO:0034599,0.8147941513252857,6175.713113744193,0.2265961457785708,1.403041665603808e-12,41,biological_process,cellular response to oxidative stress,False
GO:0008250,0.8143895797282252,7311.396045112579,0.6462972353012194,9.954744059644193e-05,15,cellular_component,oligosaccharyltransferase complex,False
GO:0016109,0.8142575107774848,6082.756247697423,0.20696757077529934,1.788019170122741e-08,27,biological_process,,False
GO:0016117,0.8142575107774848,6082.756247697423,0.20696757077529934,1.788019170122741e-08,27,biological_process,carotenoid biosynthetic process,False
GO:0005744,0.8122226937434878,6866.402346184754,0.45513935178476544,2.2164410513442833e-06,18,cellular_component,TIM23 mitochondrial import inner membrane translocase complex,False
GO:0006656,0.8116650976416347,7148.404532920889,0.5883712203503644,0.0002317071635048116,11,biological_process,phosphatidylcholine biosynthetic process,False
GO:0070475,0.8106835218268343,7323.569364182085,0.6391183242364231,2.875745056129974e-06,18,biological_process,rRNA base methylation,False
GO:0042170,0.8094300970045177,6367.169743732762,0.29379988776204574,7.883055267125628e-62,242,cellular_component,,False
GO:1901259,0.808809685468376,6396.100852607785,0.28875653537164414,1.6303787860143523e-09,29,biological_process,chloroplast rRNA processing,False
GO:0005839,0.8074966609372444,6530.482376137608,0.3025045140904108,1.2238348824407824e-10,36,cellular_component,proteasome core complex,False
GO:0009266,0.8074437068567312,5834.539173655152,0.18735879186503132,4.753878964096881e-33,127,biological_process,,False
GO:0062197,0.8072005286244345,6175.713113744193,0.2265961457785708,7.171487661801524e-12,41,biological_process,,False
GO:0006611,0.8066651144340388,7225.476760081943,0.6033949052275746,3.5940825542279344e-05,15,biological_process,protein export from nucleus,False
GO:0006754,0.8064875894379337,6165.709036159179,0.2332671257702066,4.048552377118383e-08,25,biological_process,,False
GO:0006801,0.8062842620483371,6307.985713988959,0.2644125711714254,3.2963454078682356e-06,19,biological_process,superoxide metabolic process,False
GO:1900864,0.8059014911572513,7162.975726533673,0.6074280700059573,3.6306408456354486e-06,18,biological_process,,False
GO:0080156,0.8059014911572512,7162.975726533673,0.6074280700059573,3.6306408456354486e-06,18,biological_process,mitochondrial mRNA modification,False
