,conservation_score
Glyma.07G185500.Wm82.a4.v1,1.0002308912401872
Glyma.14G099900.Wm82.a4.v1,1.000200774991467
Glyma.15G221300.Wm82.a4.v1,1.0000351356235067
Glyma.19G211700.Wm82.a4.v1,0.999859457505973
Glyma.18G103500.Wm82.a4.v1,0.9997791475093862
Glyma.02G104600.Wm82.a4.v1,0.9997440118858795
Glyma.18G106300.Wm82.a4.v1,0.9994930431465456
Glyma.09G155500.Wm82.a4.v1,0.9993826169012388
Glyma.10G177200.Wm82.a4.v1,0.9993801072138454
Glyma.15G186400.Wm82.a4.v1,0.9993725781516655
Glyma.07G019700.Wm82.a4.v1,0.9993575200273054
Glyma.06G324300.Wm82.a4.v1,0.9993424619029454
Glyma.08G180000.Wm82.a4.v1,0.9991768225349851
Glyma.09G135700.Wm82.a4.v1,0.999146706286265
Glyma.16G044900.Wm82.a4.v1,0.9990689059770715
Glyma.15G264600.Wm82.a4.v1,0.9990312606661714
Glyma.16G033700.Wm82.a4.v1,0.9990262412913847
Glyma.02G270200.Wm82.a4.v1,0.9990011444174514
Glyma.07G200500.Wm82.a4.v1,0.9989810669183047
Glyma.16G012000.Wm82.a4.v1,0.9989509506695846
Glyma.07G258700.Wm82.a4.v1,0.9989208344208645
Glyma.13G175700.Wm82.a4.v1,0.9989032666091112
Glyma.10G178400.Wm82.a4.v1,0.9988756600477845
Glyma.08G215300.Wm82.a4.v1,0.9988606019234244
Glyma.07G112000.Wm82.a4.v1,0.9988380147368844
Glyma.10G176400.Wm82.a4.v1,0.9987878209890176
Glyma.14G100000.Wm82.a4.v1,0.9987150400546108
Glyma.20G015900.Wm82.a4.v1,0.9987150400546108
Glyma.01G180800.Wm82.a4.v1,0.998657317244564
Glyma.06G150300.Wm82.a4.v1,0.998657317244564
Glyma.07G061500.Wm82.a4.v1,0.9985744975605838
Glyma.15G052400.Wm82.a4.v1,0.9984038388178369
Glyma.07G001300.Wm82.a4.v1,0.9983988194430502
Glyma.01G214300.Wm82.a4.v1,0.9983887806934768
Glyma.18G143700.Wm82.a4.v1,0.9983837613186901
Glyma.15G253700.Wm82.a4.v1,0.9983561547573634
Glyma.10G032200.Wm82.a4.v1,0.9982683156985965
Glyma.13G204800.Wm82.a4.v1,0.9982206316381231
Glyma.08G212000.Wm82.a4.v1,0.9981930250767964
Glyma.19G011400.Wm82.a4.v1,0.9981880057020097
Glyma.08G063700.Wm82.a4.v1,0.9981779669524364
Glyma.03G114600.Wm82.a4.v1,0.9981428313289297
Glyma.15G107900.Wm82.a4.v1,0.9981252635171763
Glyma.13G347700.Wm82.a4.v1,0.9981076957054229
Glyma.20G231600.Wm82.a4.v1,0.9980775794567028
Glyma.04G161600.Wm82.a4.v1,0.9979922500853293
Glyma.02G309500.Wm82.a4.v1,0.997982211335756
Glyma.06G020400.Wm82.a4.v1,0.9979169594635292
Glyma.11G111400.Wm82.a4.v1,0.9979169594635292
Glyma.16G211700.Wm82.a4.v1,0.9978968819643825
Glyma.10G157100.Wm82.a4.v1,0.9978441785291224
Glyma.12G199400.Wm82.a4.v1,0.9978140622804024
Glyma.02G061100.Wm82.a4.v1,0.9976961069729154
Glyma.09G154700.Wm82.a4.v1,0.997686068223342
Glyma.08G126800.Wm82.a4.v1,0.9976735197863754
Glyma.14G003400.Wm82.a4.v1,0.997640893850262
Glyma.05G172300.Wm82.a4.v1,0.997625835725902
Glyma.20G008600.Wm82.a4.v1,0.9975630935410685
Glyma.13G286000.Wm82.a4.v1,0.9975154094805951
Glyma.03G172500.Wm82.a4.v1,0.997500351356235
Glyma.13G176500.Wm82.a4.v1,0.9974953319814484
Glyma.10G163300.Wm82.a4.v1,0.9974802738570884
Glyma.08G068800.Wm82.a4.v1,0.997432589796615
Glyma.14G008000.Wm82.a4.v1,0.9974100026100748
Glyma.15G275700.Wm82.a4.v1,0.9973372216756681
Glyma.08G069000.Wm82.a4.v1,0.9971891501194611
Glyma.04G054400.Wm82.a4.v1,0.997128917622021
Glyma.07G200200.Wm82.a4.v1,0.9970937819985143
Glyma.12G092000.Wm82.a4.v1,0.9970686851245809
Glyma.12G215500.Wm82.a4.v1,0.9970636657497942
Glyma.18G241700.Wm82.a4.v1,0.9970159816893208
Glyma.15G090300.Wm82.a4.v1,0.9969933945027807
Glyma.10G249000.Wm82.a4.v1,0.9969331620053407
Glyma.03G262300.Wm82.a4.v1,0.9969231232557673
Glyma.16G206200.Wm82.a4.v1,0.9968779488826872
Glyma.02G282500.Wm82.a4.v1,0.9968377938843938
Glyma.17G100700.Wm82.a4.v1,0.9968327745096071
Glyma.05G128000.Wm82.a4.v1,0.9967574838878069
