GeneID,Means-CK,Means-DH_24,"log2Ratio (DH_24/CK)","Up-Down-Regulation (DH_24/CK)",Probability
GLYMA11G21190,10.48333333,47.45666667,2.178513254,Up,0.827492892
GLYMA13G39450,0.15,4.816666667,5.005000681,Up,0.813039205
GLYMA14G12194,61.19333333,17.14333333,-1.835726835,Down,0.804089011
GLYMA16G04190,117.46,2725.426667,4.536240654,Up,0.953016742
GLYMA07G39960,1.713333333,15.57333333,3.18420001,Up,0.848875083
GLYMA03G31420,20.05666667,70.88333333,1.821364593,Up,0.804590923
GLYMA07G07360,1.01,29.32666667,4.859785902,Up,0.933782598
GLYMA02G07990,65.27,15.58,-2.066724806,Down,0.826471517
GLYMA15G00885,5.473333333,25.17,2.20121359,Up,0.811386052
GLYMA11G15870,0.063333333,40.24,9.311449577,Up,0.978937208
GLYMA08G04920,11.39333333,1.696666667,-2.747414836,Down,0.80467867
GLYMA02G45810,1.69,26.21,3.955022202,Up,0.901102102
GLYMA04G35320,1.76,20.59666667,3.548763539,Up,0.875929241
GLYMA14G02970,0.363333333,17.38333333,5.580267213,Up,0.929949809
GLYMA13G35550,24.82333333,421.06,4.084257066,Up,0.935218139
GLYMA12G06950,0.77,8.406666667,3.448603519,Up,0.815148643
GLYMA12G08010,77.19666667,3.973333333,-4.280116819,Down,0.935302376
GLYMA18G12660,0.513333333,9.11,4.149483204,Up,0.850580885
GLYMA15G02010,4.636666667,37.15,3.002202292,Up,0.872759819
GLYMA10G38710,3.323333333,65.09,4.291733005,Up,0.933242076
GLYMA11G37920,149.1133333,30.32333333,-2.297909008,Down,0.847123653
GLYMA12G22880,2.743333333,103.8,5.241732704,Up,0.963521814
GLYMA04G35270,1.24,15.22,3.617556333,Up,0.865838335
GLYMA07G15640,50.45,9.463333333,-2.414433921,Down,0.845386262
GLYMA08G01470,0.02,5.046666667,7.979186989,Up,0.851665438
GLYMA18G04940,66.97,12.12,-2.466125269,Down,0.852595556
GLYMA10G35521,46.62333333,442.3,3.245901184,Up,0.903773121
GLYMA16G04050,37.25,8.283333333,-2.168957075,Down,0.821568215
GLYMA06G14810,68.23,5.23,-3.705523365,Down,0.914292233
GLYMA05G00570,2.28,13.55666667,2.571896761,Up,0.804081991
GLYMA14G34590,19.43,165.66,3.091867488,Up,0.893619038
GLYMA09G31110,9.6,0.613333333,-3.96829114,Down,0.848141518
GLYMA03G05460,1.036666667,8.75,3.077330937,Up,0.80293426
GLYMA07G12741,0.24,9.81,5.353146825,Up,0.89061458
GLYMA06G20960,1086.123333,295.34,-1.878739267,Down,0.820111614
GLYMA02G34670,18.29,0.566666667,-5.012410924,Down,0.920111614
GLYMA05G24730,0.663333333,29.93333333,5.495875109,Up,0.948313503
GLYMA08G06340,1.913333333,20.29333333,3.406845717,Up,0.86948861
GLYMA02G10740,0.2,6.233333333,4.961931959,Up,0.841479766
GLYMA05G31800,10.31333333,0.3,-5.103404385,Down,0.888926328
GLYMA17G35650,293.2666667,34.24333333,-3.098318051,Down,0.895809203
GLYMA06G41370,99.17,5.493333333,-4.174150014,Down,0.934877681
GLYMA20G21301,612.5133333,183.16,-1.741636779,Down,0.807641009
GLYMA19G22560,5.833333333,38.07333333,2.706388463,Up,0.856280931
GLYMA06G41360,37.57666667,2.46,-3.933106874,Down,0.910754273
GLYMA01G28396,233.2,49.70333333,-2.230153275,Down,0.845210768
GLYMA08G15960,83.67333333,6.27,-3.738230561,Down,0.916938682
GLYMA02G10940,9.58,57.10333333,2.575477402,Up,0.860148819
GLYMA02G00730,0.47,10.15333333,4.433148874,Up,0.868853322
GLYMA02G37520,3.276666667,16.98,2.373535638,Up,0.808058685
GLYMA02G29100,15.85,0.826666667,-4.261033315,Down,0.891765821
GLYMA13G11700,5.34,41.11,2.944577725,Up,0.869232389
GLYMA08G45320,23.29,0.45,-5.693641828,Down,0.943715559
GLYMA06G41392,97.63666667,12.29666667,-2.989155754,Down,0.88327191
GLYMA03G32830,3.03,24.13666667,2.993836751,Up,0.855217437
GLYMA03G40730,134.2833333,27.91666667,-2.26608166,Down,0.844986136
GLYMA15G35435,182.96,45.56,-2.005688619,Down,0.830897476
GLYMA02G12400,3.1,18.26333333,2.558609982,Up,0.819922081
GLYMA05G15191,10.55333333,1.006666667,-3.390040801,Down,0.832073286
GLYMA14G05980,269.7866667,82.34666667,-1.712036893,Down,0.803485311
GLYMA03G33840,1.78,23.78666667,3.740203968,Up,0.890242533
GLYMA17G00670,23.24333333,2.33,-3.318415121,Down,0.873363518
GLYMA10G36140,0.493333333,6.47,3.713131037,Up,0.804180267
GLYMA03G06420,546.24,29.52333333,-4.20960744,Down,0.941585062
GLYMA10G39150,0.01,11.24,10.13442632,Up,0.927801762
GLYMA02G05350,995.91,303.3366667,-1.715095474,Down,0.806184409
GLYMA20G10840,38.46333333,7.353333333,-2.387013506,Down,0.838794707
GLYMA02G03301,43.19666667,0.916666667,-5.558378966,Down,0.958499175
GLYMA16G00291,24.64333333,4.07,-2.598096713,Down,0.839486154
GLYMA03G34780,0.05,10.39666667,7.699977242,Up,0.918963883
GLYMA17G04220,13.09333333,63.15333333,2.270026455,Up,0.837657506
GLYMA17G07720,2.256666667,52.37666667,4.536659009,Up,0.937997964
GLYMA07G32110,0.053333333,5.98,6.808964175,Up,0.865669861
GLYMA07G35520,0.496666667,7.393333333,3.89587513,Up,0.822715945
GLYMA15G10400,33.11333333,7.053333333,-2.231035119,Down,0.821670001
GLYMA13G29760,24.27666667,5.22,-2.217448633,Down,0.811207048
GLYMA13G31895,455.0133333,61.50333333,-2.887172313,Down,0.887150328
GLYMA16G29750,6.83,30.78666667,2.172348189,Up,0.816510477
GLYMA15G14040,18.59666667,121.4866667,2.707682029,Up,0.872766839
GLYMA13G34066,11.81666667,1.18,-3.323964362,Down,0.838914043
GLYMA01G24360,23.27,295,3.664171839,Up,0.919827314
GLYMA08G11240,0.506666667,6.763333333,3.738625636,Up,0.808964234
GLYMA18G52080,0.043333333,17.92666667,8.692414322,Up,0.952465691
GLYMA03G00970,2.786666667,18.70666667,2.746940162,Up,0.833305254
GLYMA03G36450,12.27333333,1.033333333,-3.570149506,Down,0.849113755
GLYMA20G27990,2.383333333,70.99,4.896563168,Up,0.951861992
GLYMA20G25990,12.69,61.18333333,2.269446639,Up,0.837116984
GLYMA15G42680,49.85666667,2.943333333,-4.082263588,Down,0.920497701
GLYMA09G05090,30.65666667,1.996666667,-3.940535432,Down,0.90557369
GLYMA20G26140,5.77,42.61333333,2.884661684,Up,0.868368959
GLYMA16G23140,3.303333333,27.49666667,3.057262274,Up,0.865852374
