GeneID,Means-CK,Means-H_24,log2Ratio (H_24/CK),Up-Down-Regulation (H_24/CK),Probability
GLYMA08G22530,0.01,111.2933333,13.44207955,Up,0.992296492
GLYMA19G01050.13,0.01,92.97333333,13.18260127,Up,0.990567491
GLYMA0405S00330,0.01,38.66333333,11.91675031,Up,0.975552476
GLYMA13G11830,0.01,35.04,11.77478706,Up,0.972857473
GLYMA17G15710,0.01,30.44666667,11.57206857,Up,0.968765969
GLYMA12G16571,0.01,26.94666667,11.39589111,Up,0.964600965
GLYMA13G20170,0.026666667,56.61666667,11.0519736,Up,0.983682984
GLYMA15G11710,0.01,17.59666667,10.78108645,Up,0.946050946
GLYMA18G53170,0.023333333,27.03333333,10.17813128,Up,0.964415464
GLYMA19G02171,0.01,11.35666667,10.14932373,Up,0.919051919
GLYMA11G18570,0.166666667,167.1266667,9.969760638,Up,0.994707995
GLYMA06G26610,0.106666667,104.9866667,9.942880997,Up,0.991330491
GLYMA09G00870,0.01,9.573333333,9.902877533,Up,0.905398405
GLYMA02G02500,0.01,9.33,9.865733271,Up,0.903368403
GLYMA10G05800,0.01,8.516666667,9.734145075,Up,0.895405895
GLYMA13G17090,0.01,8.196666667,9.678893519,Up,0.891744892
GLYMA10G06710,0.01,7.426666667,9.536571017,Up,0.882399882
GLYMA19G22570,0.01,6.756666667,9.400167873,Up,0.872795873
GLYMA04G38620,0.01,6.556666667,9.356818742,Up,0.86953387
GLYMA09G00860,0.01,6.48,9.339850003,Up,0.868280868
GLYMA16G26430,0.01,5.536666667,9.112873857,Up,0.85031885
GLYMA06G41610,0.04,21.20333333,9.05007537,Up,0.953729954
GLYMA07G32030,0.01,5.123333333,9.000938949,Up,0.840714841
GLYMA11G05275,0.01,5.053333333,8.981091537,Up,0.838905339
GLYMA20G22255,0.01,4.69,8.873444113,Up,0.829444829
GLYMA11G05820,0.01,4.5,8.813781191,Up,0.823967324
GLYMA14G06910,0.04,17.41666667,8.766252821,Up,0.944104944
GLYMA04G09090,0.01,4.283333333,8.742590143,Up,0.817068817
GLYMA11G02350,0.01,4.02,8.651051691,Up,0.808679309
GLYMA15G01420,0.056666667,22.52,8.634490772,Up,0.955896456
GLYMA08G45520,0.486666667,191.8,8.622453042,Up,0.993979994
GLYMA01G02580,0.28,109.7733333,8.614885088,Up,0.99033649
GLYMA07G32110,0.053333333,19.06666667,8.481799432,Up,0.948108948
GLYMA18G40825,0.013333333,4.723333333,8.468624043,Up,0.82968283
GLYMA03G39870,0.07,24.74666667,8.465663572,Up,0.95952246
GLYMA08G07340,0.186666667,61.31333333,8.359592703,Up,0.982979483
GLYMA18G46560,1.993333333,654.6566667,8.359411693,Up,0.996790497
GLYMA03G15800,0.643333333,208.7033333,8.341671486,Up,0.993864494
GLYMA10G43165,0.043333333,13.46,8.278985477,Up,0.928603429
GLYMA19G03060,0.036666667,10.90333333,8.216084425,Up,0.913714414
GLYMA14G11430,0.05,14.67,8.196725061,Up,0.933608434
GLYMA08G07330,0.106666667,31.09333333,8.187352073,Up,0.966833967
GLYMA14G22690,0.33,86.2,8.029078035,Up,0.986741987
GLYMA16G33790,0.35,81.80666667,7.868719685,Up,0.985653486
GLYMA06G04000,0.123333333,26.2,7.730860232,Up,0.95965896
GLYMA15G25060,0.266666667,53.60666667,7.65123112,Up,0.978618479
GLYMA07G32090,0.263333333,52.84333333,7.648687511,Up,0.978341978
GLYMA13G31590,0.026666667,5.026666667,7.558420713,Up,0.835027335
GLYMA14G36470,0.036666667,6.82,7.539158811,Up,0.86987337
GLYMA19G01440,0.193333333,35.64333333,7.526398053,Up,0.968825469
GLYMA17G34220,0.13,23.36333333,7.48959069,Up,0.954496454
GLYMA02G06870,0.156666667,27.09666667,7.434273321,Up,0.95984446
GLYMA10G36760,0.093333333,13.88666667,7.217092202,Up,0.927017927
GLYMA13G05660,0.093333333,13.74,7.201773867,Up,0.926321426
GLYMA08G22540,0.283333333,41.39333333,7.19075428,Up,0.971170471
GLYMA18G46550,1.776666667,255.4233333,7.167573481,Up,0.990700491
GLYMA02G43470,0.143333333,18.79666667,7.034958873,Up,0.942473942
GLYMA20G29000,0.053333333,6.803333333,6.995060467,Up,0.866982367
GLYMA14G06900,0.046666667,5.533333333,6.889612604,Up,0.843269843
GLYMA04G03900,0.123333333,13.88,6.814300988,Up,0.924427924
GLYMA16G26940,0.1,11.12666667,6.797877644,Up,0.909108409
GLYMA13G17580,0.436666667,48.45666667,6.794018949,Up,0.972094472
GLYMA16G27950,0.123333333,13.59666667,6.784546426,Up,0.922782923
GLYMA15G30088,0.206666667,21.95666667,6.731209524,Up,0.947373947
GLYMA03G31691,0.236666667,25.09666667,6.728495424,Up,0.952826953
GLYMA13G38890,0.053333333,5.523333333,6.694357887,Up,0.841334341
GLYMA05G25681,0.05,5.156666667,6.688366886,Up,0.833186333
GLYMA06G15341,0.06,6.183333333,6.68727847,Up,0.854441854
GLYMA13G38490,0.043333333,4.44,6.678938649,Up,0.813946814
GLYMA12G36330,3.376666667,341.1733333,6.658761309,Up,0.988029988
GLYMA10G42530,0.046666667,4.65,6.638694485,Up,0.81962382
GLYMA10G06170,0.043333333,4.316666667,6.638296664,Up,0.80959981
GLYMA02G36700,0.063333333,6.09,6.587333405,Up,0.852033852
GLYMA03G32520,0.076666667,7.203333333,6.553921401,Up,0.869208369
GLYMA12G10780,0.78,70.07333333,6.489247592,Up,0.975807976
GLYMA09G05400,0.296666667,26.64666667,6.488968426,Up,0.952900453
GLYMA14G22575,1.093333333,95.88666667,6.454524999,Up,0.979052479
GLYMA11G36200,0.24,21,6.451211112,Up,0.942704943
GLYMA06G36520,0.203333333,17.44666667,6.422960871,Up,0.933653934
GLYMA05G25690,0.233333333,19.86333333,6.411571515,Up,0.93987344
GLYMA18G52320,0.066666667,5.54,6.376776572,Up,0.838642839
GLYMA01G00840,0.863333333,71.20666667,6.365950816,Up,0.974747475
GLYMA16G33130,0.07,5.566666667,6.313314965,Up,0.838621839
GLYMA04G03740,1.02,78.50333333,6.266112856,Up,0.975041475
GLYMA18G52230,1.596666667,120.3966667,6.236588484,Up,0.978768979
GLYMA01G39780,0.076666667,5.556666667,6.179476433,Up,0.836728337
GLYMA20G34810,0.246666667,17.70333333,6.165314448,Up,0.931739432
GLYMA12G31490,0.06,4.276666667,6.155380454,Up,0.803415303
GLYMA02G47870,0.213333333,14.80666667,6.116993678,Up,0.921267421
GLYMA08G45510,0.54,36.25666667,6.069143076,Up,0.957968458
GLYMA14G36660,0.15,9.806666667,6.030728435,Up,0.891307391
GLYMA04G40790,0.16,10.32,6.011227255,Up,0.895216895
GLYMA05G17470,0.833333333,50.32666667,5.916285546,Up,0.963806464
GLYMA02G07940,0.423333333,25.49,5.911993472,Up,0.944843445
GLYMA20G30835,0.21,12.48,5.893084796,Up,0.907862408
GLYMA16G01440,0.12,7.05,5.876516947,Up,0.85958686
GLYMA15G40220,0.23,13.02333333,5.823321083,Up,0.909458409
GLYMA07G05960,0.16,9.033333333,5.819114636,Up,0.881570382
GLYMA07G01660,0.106666667,5.996666667,5.812979471,Up,0.841344841
GLYMA07G18200,0.623333333,35.00333333,5.811344641,Up,0.953603954
GLYMA08G16640,0.293333333,16.37333333,5.802663227,Up,0.922751423
GLYMA12G32230,0.41,22.72,5.792195115,Up,0.938375438
GLYMA19G43135,0.083333333,4.583333333,5.781359714,Up,0.807821808
GLYMA03G40395,0.436666667,23.44333333,5.7465015,Up,0.939180439
GLYMA01G34400,0.293333333,15.69,5.741160519,Up,0.919461419
GLYMA13G24510,0.336666667,17.98666667,5.73946315,Up,0.926744927
GLYMA01G04250,1.036666667,54.13,5.706404403,Up,0.961832462
GLYMA10G07831,0.58,30.15,5.699961292,Up,0.947366947
GLYMA13G24461,1.676666667,85.72,5.675964046,Up,0.967950468
GLYMA17G37590,0.35,17.81333333,5.669458775,Up,0.925124425
GLYMA09G03690,0.53,26.64666667,5.651818902,Up,0.942032942
GLYMA01G08650,0.113333333,5.523333333,5.606895046,Up,0.828121828
GLYMA18G50080,0.13,6.33,5.605621971,Up,0.843721344
GLYMA01G26570,0.313333333,15.09666667,5.590387972,Up,0.914498414
GLYMA13G10010,0.106666667,5.133333333,5.588714636,Up,0.818612319
GLYMA09G05460,0.53,24.99333333,5.559407155,Up,0.938025438
GLYMA13G16950,2.363333333,110.4933333,5.54699239,Up,0.968121968
GLYMA13G39890,0.22,10.21666667,5.537277239,Up,0.886498386
GLYMA14G22700,2.356666667,109.3333333,5.53584179,Up,0.967470967
GLYMA11G31330,4.34,194.36,5.484892485,Up,0.96990347
GLYMA12G31990,0.11,4.886666667,5.473275269,Up,0.80990781
GLYMA11G09250,0.793333333,35.05666667,5.465617847,Up,0.947174447
GLYMA18G52250,8.943333333,392.47,5.455625921,Up,0.972185472
GLYMA14G35650,0.16,6.976666667,5.446394096,Up,0.85026285
GLYMA17G06321,0.15,6.36,5.40599236,Up,0.83975584
