GeneID,Means-CK,Means-D_24,log2Ratio (D_24/CK),Up-Down-Regulation (D_24/CK),Probability
GLYMA12G01770,6.326666667,31.87,2.332681527,Up,0.828554259
GLYMA16G04190,117.46,865.5866667,2.881508733,Up,0.887451396
GLYMA07G07360,1.01,13.52,3.742667954,Up,0.863054083
GLYMA09G00670,33.53333333,142.66,2.088913074,Up,0.831820431
GLYMA10G38710,3.323333333,20.03333333,2.591699581,Up,0.829268293
GLYMA04G35270,1.24,9.763333333,2.977033667,Up,0.801223047
GLYMA10G35521,46.62333333,228.6233333,2.293848594,Up,0.846528809
GLYMA06G44870,2.7,14.87333333,2.4616967,Up,0.802212796
GLYMA04G33033,10.21666667,43.85333333,2.101761934,Up,0.817497349
GLYMA19G22560,5.833333333,33.53,2.523060062,Up,0.83903853
GLYMA17G14800,0.46,8.826666667,4.26216295,Up,0.85038176
GLYMA08G11570,0.856666667,8.413333333,3.295871646,Up,0.804938141
GLYMA17G07720,2.256666667,15.24666667,2.756228627,Up,0.821314952
GLYMA07G35520,0.496666667,7.3,3.877546634,Up,0.81718275
GLYMA16G29750,6.83,80.09666667,3.551784721,Up,0.908748674
GLYMA01G24360,23.27,208.0366667,3.160294711,Up,0.89650053
GLYMA04G42680,2.186666667,20.56333333,3.233268926,Up,0.862583952
GLYMA03G37490,11.86333333,83.19,2.809900685,Up,0.876818664
GLYMA04G38240,1.123333333,9.106666667,3.019136987,Up,0.800809473
GLYMA12G01580,57.98333333,258.2033333,2.154797447,Up,0.838388123
GLYMA08G07340,0.186666667,60.75,8.346276272,Up,0.985595617
GLYMA19G31674,0.073333333,5.436666667,6.212109448,Up,0.842979852
GLYMA06G07151,2.323333333,13.82333333,2.572837486,Up,0.802591022
GLYMA10G11100,2.136666667,12.94,2.598403856,Up,0.805139625
GLYMA02G15571,0.723333333,8.676666667,3.584408364,Up,0.823591375
GLYMA09G09430,5.3,25.25,2.252219123,Up,0.811311417
GLYMA14G05650,2.29,159.2133333,6.119469751,Up,0.981721456
GLYMA09G39890,6.96,61.01,3.131886519,Up,0.885468363
GLYMA08G08970,3.106666667,26.9,3.114166814,Up,0.865995051
GLYMA08G14670,10.64333333,74.56666667,2.808580798,Up,0.875507246
GLYMA14G34920,0.01,8.92,9.8008999,Up,0.907606928
GLYMA01G07100,17.46333333,67.94,1.959932257,Up,0.810385295
GLYMA13G01250,1.36,15.69,3.528166796,Up,0.862552139
GLYMA20G22700,3.12,36.04666667,3.530247921,Up,0.894057971
GLYMA18G12670,1.563333333,19.47333333,3.63880253,Up,0.877893248
GLYMA19G44200,7.513333333,41.76333333,2.47471185,Up,0.842209261
GLYMA06G02591,6.55,30.33,2.211178686,Up,0.815273948
GLYMA01G08056,0.373333333,12.25333333,5.036566129,Up,0.89824673
GLYMA10G01610,23.56333333,146.7566667,2.638810495,Up,0.871078119
GLYMA03G00790,5.126666667,28.71333333,2.48562782,Up,0.833078826
GLYMA18G04580,0.286666667,5.593333333,4.286262246,Up,0.803259102
GLYMA12G14420,25.58,91.70333333,1.841957911,Up,0.803672676
GLYMA11G27760,0.01,7.08,9.46760555,Up,0.88630258
GLYMA05G33850,0.653333333,10.08,3.94753258,Up,0.849544008
GLYMA13G24461,1.676666667,12.82666667,2.935478494,Up,0.821010958
GLYMA01G35570,12.26,51.19333333,2.061996968,Up,0.817649346
GLYMA04G17600,3.39,19.07333333,2.492199818,Up,0.816811594
GLYMA20G28320,54.24,188.69,1.798588883,Up,0.804779074
GLYMA10G28680,15.24666667,61.68333333,2.016386865,Up,0.817826087
GLYMA06G14170,8.93,100.18,3.487790531,Up,0.910063627
GLYMA05G04290,15.77,116.1466667,2.880693185,Up,0.882007777
GLYMA02G36410,27.44,107.2333333,1.966401049,Up,0.816496995
GLYMA08G45580,0.646666667,9.55,3.884406581,Up,0.84165783
GLYMA01G42950,3.8,49.52666667,3.704134202,Up,0.909593496
GLYMA18G45420,3.976666667,19.11666667,2.265199443,Up,0.800894309
GLYMA13G38240,0.92,60.21333333,6.032305314,Up,0.971855779
GLYMA13G29350,6.66,43.01333333,2.691189855,Up,0.857352421
GLYMA11G14950,96.30333333,424.0433333,2.138554063,Up,0.838858254
GLYMA12G09660,20.56,96.35666667,2.228544222,Up,0.837917992
GLYMA08G40670,3.09,22.02,2.833135726,Up,0.846260163
GLYMA06G17790,21.68333333,84.69333333,1.965661856,Up,0.814213503
GLYMA11G33922,45.59333333,155.3866667,1.768967921,Up,0.801035702
GLYMA12G32470,1.403333333,13.43333333,3.2588877,Up,0.840830682
GLYMA18G48950,0.336666667,6,4.155569708,Up,0.806012725
GLYMA16G27148,7.39,70.59666667,3.255953796,Up,0.894708378
GLYMA03G40880.12,0.046666667,4.36,6.545791903,Up,0.817744786
GLYMA06G04353,20.6,80.29666667,1.962695761,Up,0.812636974
GLYMA08G15650,2.703333333,19.73666667,2.868067034,Up,0.843064687
GLYMA12G28750,114.6933333,408.47,1.832448588,Up,0.809932838
GLYMA08G05370,2.68,15.59,2.540316022,Up,0.808670908
GLYMA17G31610,0.01,4.81,8.909893084,Up,0.840533758
GLYMA10G13810,0.01,9.073333333,9.825488851,Up,0.909070343
GLYMA13G22281,10.31666667,41.82333333,2.019331141,Up,0.810551432
GLYMA04G05500,0.153333333,28.69666667,7.548067996,Up,0.967059031
GLYMA11G06790,2.426666667,23.34333333,3.265962732,Up,0.868557794
GLYMA17G32731,0.01,36.58666667,11.83710227,Up,0.977843761
GLYMA08G17100,0.163333333,6.886666667,5.397914695,Up,0.856967126
GLYMA20G29451,0.183333333,5.586666667,4.92944672,Up,0.822234005
GLYMA20G29840,5.93,38.06666667,2.682424235,Up,0.854185224
GLYMA19G40680,2.27,15.27,2.74993586,Up,0.82116649
GLYMA03G04470,1.66,15.74333333,3.245485888,Up,0.850017674
GLYMA13G42340,2.966666667,50.13666667,4.078951341,Up,0.921375044
GLYMA18G08220,49.06666667,173.48,1.821954178,Up,0.806443973
GLYMA05G33340,0.223333333,15.91,6.154591431,Up,0.933276776
GLYMA18G03930,8.346666667,81.99,3.296175899,Up,0.897384235
GLYMA17G08020,1.213333333,22.14666667,4.190041718,Up,0.904294804
GLYMA12G01450,1.733333333,49.9,4.847418788,Up,0.945535525
GLYMA03G30516,0.043333333,3.97,6.51751798,Up,0.804708378
GLYMA18G03580,0.78,7.783333333,3.318842115,Up,0.801968894
GLYMA06G45620,1.92,15.17333333,2.982359841,Up,0.832877342
GLYMA15G30088,0.206666667,14.33333333,6.115924634,Up,0.927196889
GLYMA05G23090,0.01,7.893333333,9.624490865,Up,0.89669848
GLYMA16G28410,0.446666667,6.626666667,3.891012851,Up,0.807310004
GLYMA15G39876,1.196666667,10.95333333,3.194276731,Up,0.824786144
GLYMA01G26570,0.313333333,5.643333333,4.170777406,Up,0.801003888
GLYMA05G00540,3.37,20.58333333,2.610656139,Up,0.831162955
GLYMA13G11570,10.58666667,91.44666667,3.110682171,Up,0.890339343
GLYMA18G01720,5.663333333,72.53333333,3.678920799,Up,0.91223754
GLYMA12G32230,0.41,35.47333333,6.434967183,Up,0.965659244
GLYMA15G25060,0.266666667,10.44333333,5.291400959,Up,0.89223754
GLYMA18G07970,1.553333333,19.05333333,3.616604056,Up,0.876719689
GLYMA13G40470,12.45333333,75.58333333,2.601536191,Up,0.863626723
GLYMA19G39240,47.56666667,172.98,1.862582409,Up,0.809985861
GLYMA12G26693,4.03,23.82,2.563321669,Up,0.829575822
GLYMA10G00430,28.15,112.95,2.004477443,Up,0.823368682
GLYMA06G15990,0.583333333,10.07666667,4.110554152,Up,0.855853659
GLYMA08G45590,4.773333333,45.01333333,3.237283411,Up,0.886599505
GLYMA04G04170,11.13,46.60333333,2.065979556,Up,0.81661011
GLYMA08G41450,3.213333333,29.42333333,3.194818146,Up,0.87484977
GLYMA09G26080,2.386666667,25.82666667,3.435792461,Up,0.879278897
GLYMA04G39801,16.71,75.82666667,2.18199357,Up,0.831905267
GLYMA09G11235,2.05,13.42,2.710688857,Up,0.811703782
