,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Glyma.14G162100.Wm82.a4.v1,8.079538606979739,2.713093424228401,0.1359578253325575,19.955404682239376,1.3452948170390756e-88,3.387855937749504e-84
Glyma.03G025600.Wm82.a4.v1,27.7873449976352,2.1768281613266747,0.11103576514908252,19.604747699121535,1.4084904122998456e-85,1.7735007026473507e-81
Glyma.01G141900.Wm82.a4.v1,12.175188040468214,2.1729259159548193,0.11349216220647884,19.146043865139923,1.0442486211275911e-81,8.765771008618709e-78
Glyma.01G099800.Wm82.a4.v1,3.667103582214419,4.211212352350072,0.2245859334300602,18.751006743979868,1.899607538581637e-78,1.1959454161025341e-74
Glyma.16G101000.Wm82.a4.v1,7.87568986655626,2.655500467005637,0.14226888230063506,18.665363950735017,9.472762686975494e-78,4.771051654922078e-74
Glyma.07G156100.Wm82.a4.v1,4.839842627827128,-2.2652596682682535,0.12283756439311866,-18.441098856524977,6.147903712167859e-76,2.58037765305872e-72
Glyma.14G066000.Wm82.a4.v1,12.061495149813073,-1.2031059913703839,0.06593299700330484,-18.24740336481412,2.169804105585923e-74,7.8060252558529e-71
Glyma.05G029200.Wm82.a4.v1,5.413435179038691,4.207350036205998,0.2307272282512406,18.235169156648404,2.714129562148063e-74,8.543740595446833e-71
Glyma.19G219100.Wm82.a4.v1,18.394545481773022,3.3213805416609556,0.18648750717893395,17.810203975079713,5.889480536985448e-71,1.6479420929211616e-67
Glyma.08G308200.Wm82.a4.v1,8.715321326775355,2.436928683011414,0.13939603119676588,17.48205212221245,1.9630538280164795e-68,4.943558455093901e-65
Glyma.19G138000.Wm82.a4.v1,5.987917175342728,2.0187803048713633,0.1166676335168189,17.30368778398453,4.412195405150851e-67,1.010111971708308e-63
GlmaCt002,20.439417568229718,1.7707098916925468,0.10249590073583603,17.275909367889938,7.143848751309135e-67,1.4991961925351496e-63
Glyma.08G062300.Wm82.a4.v1,5.3959660811863435,2.8118730706722617,0.16388882409447977,17.157198400857727,5.552841458719648e-66,1.07567081888413e-62
Glyma.14G130700.Wm82.a4.v1,108.8003916231451,0.9718896238474379,0.057464888120290596,16.912755869514484,3.6235889884395444e-64,6.518060106848075e-61
Glyma.01G241400.Wm82.a4.v1,7.968157477925709,2.654734672885911,0.15746093689128482,16.859639763980383,8.913062379956111e-64,1.4963843327628982e-60
GlmaCp046,29.38980427792396,1.6560846931583817,0.09829768265091998,16.847647355427075,1.0917208444015444e-63,1.7183003765352557e-60
Glyma.02G124500.Wm82.a4.v1,11.782934885077221,1.8246998579920182,0.1098224727559407,16.614995202731066,5.4279189694213455e-62,8.040663729819866e-59
Glyma.08G179400.Wm82.a4.v1,16.63928830255561,1.0291574113258137,0.06260234405642882,16.439598657809785,9.957617258561002e-61,1.3931259745685652e-57
Glyma.12G232100.Wm82.a4.v1,9.446730507140062,1.812388212872357,0.11058814176980895,16.388630678367605,2.305804127028208e-60,3.056161333207967e-57
Glyma.17G042100.Wm82.a4.v1,26.04325812069535,1.3600703835787853,0.08356080295704812,16.276415920487118,1.4512345623824947e-59,1.8273219992239183e-56
Glyma.06G021200.Wm82.a4.v1,11.469331007576478,2.1359044004296543,0.13238758706736656,16.133721051527143,1.478383780726194e-58,1.772863750001321e-55
Glyma.01G068000.Wm82.a4.v1,12.280710119068361,1.2229565923336618,0.07594566248676951,16.10304726154325,2.4284423358003393e-58,2.779793788293634e-55
Glyma.04G238200.Wm82.a4.v1,6.453806337363278,1.7892049026250196,0.11155191340855944,16.039213026064804,6.801071357921835e-58,7.446581739415025e-55
Glyma.20G237200.Wm82.a4.v1,7.826926312119512,3.9125010718170015,0.2454063716483695,15.942948202759087,3.1894463566917894e-57,3.346659483357056e-54
Glyma.03G260200.Wm82.a4.v1,2.070361834970344,2.6201200685189745,0.16507172871356143,15.872615431716378,9.806767788288883e-57,9.878553328499157e-54
Glyma.05G074900.Wm82.a4.v1,11.168806051510234,1.5969195798534201,0.100731684112101,15.853200449585064,1.3360000366379648e-56,1.2940188047174564e-53
Glyma.15G077700.Wm82.a4.v1,3.2767736330498183,3.3898620395688517,0.2141006272537053,15.83303179935072,1.8413103156688399e-56,1.7173969510921628e-53
Glyma.03G069400.Wm82.a4.v1,1.8101531622067875,3.814182426414055,0.24166023593622316,15.783243824278399,4.0578668089495964e-56,3.649616423206346e-53
Glyma.08G242100.Wm82.a4.v1,7.141823115120019,2.408343370262141,0.15300396237476668,15.740398698715815,7.993841729099586e-56,6.941686767721202e-53
Glyma.04G017700.Wm82.a4.v1,4.284001083560039,2.1768280478467594,0.13947831627691998,15.60692805844379,6.530659583144996e-55,5.482053342744681e-52
Glyma.20G196900.Wm82.a4.v1,6.4171839083087185,-1.7569353900295175,0.11476410758616323,-15.309101660642774,6.647574273365068e-53,5.400189126650081e-50
Glyma.20G021900.Wm82.a4.v1,9.629832725101167,1.3803279361725218,0.09048735196616371,15.254374298506084,1.5396380081186586e-52,1.1749304229833994e-49
Glyma.03G261800.Wm82.a4.v1,47.36308460106479,-0.7778483747877595,0.05098587688834619,-15.256153708823469,1.4982328208141943e-52,1.1749304229833994e-49
Glyma.19G212800.Wm82.a4.v1,3.826353281205569,3.0539096386830704,0.20288649546944182,15.052306126225348,3.3340620081941196e-51,2.4694612809515444e-48
Glyma.18G197100.Wm82.a4.v1,8.78223236641947,1.7297368458807263,0.11509456063886683,15.028832260006935,4.753108822064566e-51,3.419929699030056e-48
GlmaCp015,42.37110897607897,1.3970258913271454,0.09302686598172136,15.017445515165951,5.644123507591545e-51,3.948221174768831e-48
Glyma.17G237100.Wm82.a4.v1,5.302615928871708,3.1807873953166097,0.2123972459390618,14.975652726821131,1.0592276454736992e-50,7.209332377287613e-48
Glyma.01G019800.Wm82.a4.v1,2.5967993119968815,-2.310167243777863,0.1546731432913964,-14.935800712510412,1.9274486746272298e-50,1.2773405256088822e-47
Glyma.02G179100.Wm82.a4.v1,3.1255133719870054,2.9629575003759907,0.19871238020250362,14.910784609174843,2.804377012852332e-50,1.8108365721707764e-47
GlmaCp010,10.437889878588924,1.5794886045808405,0.10616338667105278,14.877903334742753,4.586488021853294e-50,2.887538196358288e-47
Glyma.10G142600.Wm82.a4.v1,2.6584703533970324,2.4786176778994347,0.16678907578489824,14.86079148910218,5.922136052580332e-50,3.6374915173690365e-47
Glyma.08G220500.Wm82.a4.v1,1.9245185203643507,2.7411020817686205,0.1849999470507185,14.816772250303057,1.1413869455669935e-49,6.84370177386038e-47
Glyma.09G171000.Wm82.a4.v1,8.906952526242264,2.4359566439303033,0.16463929435319777,14.795718443159071,1.5610852373384718e-49,9.142513844626683e-47
GlmaCr002,9067.9421863042,1.3559070710377805,0.09215406088997222,14.713481510670185,5.281857735952128e-49,3.023023258283692e-46
GlmaCp020,11.104020506727842,1.508077962802913,0.10270474968089573,14.683624345402917,8.208317100113816e-49,4.493696728960135e-46
Glyma.11G248400.Wm82.a4.v1,4.82027202309811,1.6097800272506324,0.10962842423205636,14.683965755478933,8.167082003657954e-49,4.493696728960135e-46
GlmaCr007,18.80310403340667,1.6476568708906363,0.11235750860519284,14.664412653365709,1.0895588578633268e-48,5.837949088845141e-46
Glyma.15G055500.Wm82.a4.v1,8.647703366634213,1.2026304606455227,0.08283022019529404,14.519223271530668,9.154162721250523e-48,4.802693329359415e-45
Glyma.11G168100.Wm82.a4.v1,3.257151893028678,2.1963028191527845,0.15347424241418522,14.310563027413815,1.8798521489516382e-46,9.661289115724307e-44
Glyma.20G167500.Wm82.a4.v1,2.883877986524431,2.972056847695829,0.20811164082970762,14.281069698200046,2.8715952456488786e-46,1.4463076614235143e-43
Glyma.20G017200.Wm82.a4.v1,8.18002312405997,1.8108199623745123,0.12722233730376034,14.233506479691043,5.6762695103345745e-46,2.8028528446814823e-43
Glyma.02G250700.Wm82.a4.v1,8.629547219461532,-1.1759373661455739,0.08274364408518775,-14.211815048112955,7.73932539899879e-46,3.748065990826664e-43
Glyma.07G222900.Wm82.a4.v1,6.816449811454414,1.510057006825799,0.1070543843549767,14.10551296823744,3.5122600334628214e-45,1.6688536683527214e-42
GlmaCp002,6.619580264822619,1.616864206436421,0.1148490137597106,14.078172319522537,5.17304217590231e-45,2.4124577984397755e-42
Glyma.09G131500.Wm82.a4.v1,19.84554490001454,2.089210378963761,0.14876948002823298,14.043272710016042,8.470861687817054e-45,3.878576543350852e-42
Glyma.02G181200.Wm82.a4.v1,6.9733751611271995,1.2480805836429563,0.08903042695997204,14.018584727265115,1.1998356315104924e-44,5.39561798363013e-42
Glyma.14G158500.Wm82.a4.v1,2.171937439618381,2.0480913887367667,0.1462473765499278,14.004294894394654,1.4672874750861524e-44,6.482579032472733e-42
Glyma.05G022200.Wm82.a4.v1,12.277876346194958,2.8650513446357917,0.2059029408837241,13.914572236506915,5.166812669250961e-44,2.2433766112025334e-41
Glyma.15G070900.Wm82.a4.v1,10.423063179906801,-3.208142476563659,0.23358497777515683,-13.734369851693708,6.32035755557106e-43,2.6977214291855255e-40
GlmaCp016,16.316064740290688,1.4799822684160622,0.10795198013656807,13.709635215062882,8.89036783495059e-43,3.731435553126012e-40
Glyma.10G151000.Wm82.a4.v1,6.093264759752849,3.206951193196724,0.23486618050724653,13.654376233609238,1.9011021627075506e-42,7.848435371059713e-40
Glyma.15G076500.Wm82.a4.v1,2.099450106358706,3.557659064603078,0.26274794256171763,13.540197612650799,9.054501239662252e-42,3.6777339470712014e-39
Glyma.09G168300.Wm82.a4.v1,21.172760406759256,1.8338052367579951,0.135753473531285,13.508348545758473,1.3961832685396199e-41,5.580965595497341e-39
Glyma.07G001400.Wm82.a4.v1,7.918374177323807,1.3066564487399004,0.09677492837806632,13.502014112945075,1.521587153829647e-41,5.987207702326875e-39
Glyma.06G154400.Wm82.a4.v1,1.4062901848234348,3.954477425875097,0.29340220555562113,13.478008518669554,2.1071791922171726e-41,8.163860553477701e-39
