,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Glyma.19G219100.Wm82.a4.v1,18.394545481773022,6.563246915831559,0.1699110933028717,38.62753624998676,0.0,0.0
Glyma.16G101000.Wm82.a4.v1,7.87568986655626,5.012115346701065,0.12477179540972361,40.17025907371423,0.0,0.0
Glyma.11G232500.Wm82.a4.v1,55.94406850419748,2.858365755239419,0.07086389085426527,40.33599793606839,0.0,0.0
Glyma.03G025600.Wm82.a4.v1,27.7873449976352,4.86131457162518,0.09929246799119129,48.95955020532324,0.0,0.0
Glyma.01G141900.Wm82.a4.v1,12.175188040468214,4.296335343672622,0.09949610631775219,43.18093946261359,0.0,0.0
Glyma.01G241400.Wm82.a4.v1,7.968157477925709,5.760362369820747,0.13695300625638834,42.060868375804986,0.0,0.0
Glyma.08G106700.Wm82.a4.v1,7.529869262412382,6.436076298397821,0.17484789848904764,36.809571942330045,1.29771923052336e-296,5.061290387502607e-293
Glyma.05G180500.Wm82.a4.v1,6.517807244778128,5.379313245275079,0.14725178866560149,36.53139492581053,3.520940851555049e-292,1.2015650773538048e-288
Glyma.08G062300.Wm82.a4.v1,5.3959660811863435,5.2063181859844345,0.1431679896452036,36.365099481292155,1.5169566235197367e-289,4.601603642079148e-286
Glyma.07G222900.Wm82.a4.v1,6.816449811454414,3.254775422672477,0.08956835681919649,36.33845186244286,3.999327861307428e-289,1.0918564994155408e-285
Glyma.20G021900.Wm82.a4.v1,9.629832725101167,2.7958792519686546,0.07704118629828571,36.290708727454614,2.2673819774989195e-288,5.627435942518e-285
Glyma.08G242100.Wm82.a4.v1,7.141823115120019,4.819376977228608,0.13331679449747594,36.14981139769193,3.745959166861157e-286,8.522369267873038e-283
Glyma.06G117800.Wm82.a4.v1,12.512507123960328,3.088410522213715,0.08581464490220612,35.98931774096659,1.229123717925848e-283,2.5812543556225827e-280
Glyma.03G068100.Wm82.a4.v1,24.749072428619545,5.462465465210008,0.15230680112973086,35.86488209779435,1.0781011589769162e-281,2.102374267230628e-278
Glyma.18G259700.Wm82.a4.v1,12.458631744411765,7.026720390048098,0.1967403255792035,35.71570987981968,2.2549108354029237e-279,4.104088047822348e-276
Glyma.05G022200.Wm82.a4.v1,12.277876346194958,6.398207629941759,0.1835652331880903,34.8552256809209,3.54819932014997e-266,6.054336852463395e-263
Glyma.01G068000.Wm82.a4.v1,12.280710119068361,2.2122401135624066,0.066115695906791,33.460135043896265,1.8330695577753634e-245,2.9438018821661882e-242
Glyma.07G151800.Wm82.a4.v1,17.6642011953952,7.50986634781281,0.22864654463862225,32.84487136983512,1.3482163592820398e-236,2.0448697124866094e-233
