,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Glyma.11G232500.Wm82.a4.v1,55.94406850419748,2.149355780449539,0.07413097722800545,28.994030037385613,7.824704447804345e-185,1.5978046482416472e-180
Glyma.19G219100.Wm82.a4.v1,18.394545481773022,4.068183882146594,0.18101354688910892,22.4744719500956,7.377568891433473e-112,7.532497838153577e-108
Glyma.06G117800.Wm82.a4.v1,12.512507123960328,2.081172605550227,0.09403830052598998,22.13111672488211,1.5860060566277426e-108,1.0795414558779502e-104
Glyma.14G130700.Wm82.a4.v1,108.8003916231451,1.2167126527534222,0.05575095374156914,21.824068847206366,1.3710142553069324e-105,6.99902777334189e-102
Glyma.17G202700.Wm82.a4.v1,105.27927866241544,1.6720567604473762,0.07678826497965388,21.774899600745126,4.013489814926926e-105,1.6391092404161566e-101
Glyma.03G025600.Wm82.a4.v1,27.7873449976352,2.279388853856662,0.10890617759072836,20.929839833536825,2.8645725360320076e-97,9.749095197628934e-94
Glyma.08G062300.Wm82.a4.v1,5.3959660811863435,3.2317766926124394,0.16073979164566765,20.10564191682243,6.586284781209823e-90,1.9213133604614942e-86
Glyma.01G141900.Wm82.a4.v1,12.175188040468214,2.201341815444331,0.11273202399823658,19.52720919371381,6.446760256153772e-85,1.6455355553832501e-81
Glyma.16G178800.Wm82.a4.v1,18.464246758321877,4.043590117025656,0.20813234702343117,19.427975395724697,4.476745588599346e-84,1.0157238324355403e-80
Glyma.09G131500.Wm82.a4.v1,19.84554490001454,2.786335942434982,0.14351281596504847,19.415241236110745,5.736598563718946e-84,1.1714134267114088e-80
Glyma.02G250700.Wm82.a4.v1,8.629547219461532,-1.6333741580999308,0.08528343672260834,-19.152302262543895,9.260096754953676e-82,1.7190106885104913e-78
Glyma.16G014900.Wm82.a4.v1,3.6472419598406502,2.803849521606525,0.15039210096796432,18.643595664667156,1.4234334317476734e-77,2.2358854366374993e-74
Glyma.16G101000.Wm82.a4.v1,7.87568986655626,2.6580738507873654,0.1425534340776399,18.646157968665136,1.3568439436559902e-77,2.2358854366374993e-74
Glyma.14G096800.Wm82.a4.v1,2.9814075204628336,3.997941277078401,0.22196299997402263,18.011746451193662,1.5757748353189142e-72,2.2983801526580165e-69
Glyma.07G151800.Wm82.a4.v1,17.6642011953952,4.297085112056493,0.2418087706946171,17.77059243844934,1.1942285754220886e-70,1.62574316734127e-67
Glyma.08G242100.Wm82.a4.v1,7.141823115120019,2.6669537520728404,0.1508983460939474,17.67384349204483,6.669409527462213e-70,8.511833909423649e-67
Glyma.01G241400.Wm82.a4.v1,7.968157477925709,2.7619491241139382,0.15732815502481187,17.555339180570428,5.414260023110498e-69,6.503481745406846e-66
Glyma.11G037100.Wm82.a4.v1,6.944433917661138,-1.6552373946646013,0.09684148233891411,-17.092235214572632,1.6954851815777636e-65,1.9234337448787738e-62
Glyma.08G106700.Wm82.a4.v1,7.529869262412382,3.3168405886679673,0.19596878603758602,16.925351509968586,2.9259502474288438e-64,3.144626529078789e-61
Glyma.03G068100.Wm82.a4.v1,24.749072428619545,2.7154359782199347,0.1630687010515591,16.652097923815358,2.921774737511636e-62,2.98313200699938e-59
Glyma.14G066000.Wm82.a4.v1,12.061495149813073,-1.0490377001341904,0.0631100064946708,-16.622367171246836,4.799937896212092e-62,4.667368182888139e-59
Glyma.02G244300.Wm82.a4.v1,7.618141818559319,3.3007395025662727,0.19911717726972059,16.57686969967011,1.0242697178434325e-61,9.50708529016495e-59
Glyma.05G180500.Wm82.a4.v1,6.517807244778128,2.7357938791696457,0.16846526922582836,16.239512700402972,2.650209911016647e-59,2.3529254949113013e-56
Glyma.15G068200.Wm82.a4.v1,4.746177777251354,2.1513977392200063,0.13317651239664707,16.154483253115817,1.0559976682670141e-58,8.984780160838512e-56
Glyma.20G021900.Wm82.a4.v1,9.629832725101167,1.4288979308363232,0.08964041670504763,15.940331196116162,3.325864423502283e-57,2.7165660611166647e-54
Glyma.17G227600.Wm82.a4.v1,1.9319742552542192,3.7687831708677844,0.23820805273932133,15.821392801493928,2.2153711638939277e-56,1.739918429489e-53
Glyma.07G156100.Wm82.a4.v1,4.839842627827128,-1.730338555995983,0.11184746323033214,-15.470521244032371,5.486102583610016e-54,4.1491190650857975e-51
Glyma.07G061500.Wm82.a4.v1,7.731475166334282,3.8575967288927817,0.2515236252321584,15.336916066362308,4.332962849661973e-53,3.159967906789196e-50
Glyma.12G046200.Wm82.a4.v1,7.149428925622264,-1.241143168821813,0.08120039195885938,-15.284940612733065,9.635077245424792e-53,6.784423356950837e-50
Glyma.01G241500.Wm82.a4.v1,5.98583300538816,2.890699336278663,0.19027829899435822,15.191954897412511,3.998158164049992e-52,2.7214129903300277e-49
Glyma.05G022200.Wm82.a4.v1,12.277876346194958,3.039899511094713,0.20353700930629862,14.935364931691765,1.9400907689459265e-50,1.2779565645766395e-47
Glyma.17G072400.Wm82.a4.v1,33.07880090002154,4.031553494399002,0.27177127084282776,14.834362299945058,8.78346398784416e-50,5.604947957243054e-47
Glyma.12G182500.Wm82.a4.v1,4.349103043301987,3.4786817379373547,0.23536620730300467,14.779869114596325,1.9754970662454748e-49,1.2224136391737149e-46
Glyma.19G011400.Wm82.a4.v1,11.015095026089796,3.66895489952576,0.24878766409244135,14.74733449067835,3.2005805395595733e-49,1.922231018170779e-46
Glyma.07G200200.Wm82.a4.v1,10.183168876593491,2.847131336541214,0.19820652876032335,14.364467983716326,8.64681528491196e-47,4.772930345033661e-44
Glyma.02G124500.Wm82.a4.v1,11.782934885077221,1.5694747170230776,0.10923718810647025,14.367586206021315,8.266238847026261e-47,4.772930345033661e-44
Glyma.20G196900.Wm82.a4.v1,6.4171839083087185,-1.5789119333137898,0.10991797597543651,-14.364456034621952,8.648306697661385e-47,4.772930345033661e-44
