gene,n_clusters_DE,clusters_DE,n_clusters_tested
Glyma.06G134900.Wm82.a4.v1,3,"0,5,8",7
Glyma.03G025600.Wm82.a4.v1,2,"5,8",7
Glyma.09G171000.Wm82.a4.v1,2,"5,8",7
Glyma.13G046200.Wm82.a4.v1,2,"8,9",7
Glyma.16G178800.Wm82.a4.v1,2,"5,8",7
Glyma.17G072400.Wm82.a4.v1,2,"5,8",7
Glyma.01G006700.Wm82.a4.v1,1,8,7
Glyma.01G022800.Wm82.a4.v1,1,8,7
Glyma.01G030500.Wm82.a4.v1,1,8,7
Glyma.01G044000.Wm82.a4.v1,1,8,7
Glyma.01G055400.Wm82.a4.v1,1,8,7
Glyma.01G056000.Wm82.a4.v1,1,8,7
Glyma.01G068000.Wm82.a4.v1,1,8,7
Glyma.01G073400.Wm82.a4.v1,1,8,7
Glyma.01G099800.Wm82.a4.v1,1,8,7
Glyma.01G133501.Wm82.a4.v1,1,8,7
Glyma.01G141900.Wm82.a4.v1,1,8,7
Glyma.01G145200.Wm82.a4.v1,1,8,7
Glyma.01G170300.Wm82.a4.v1,1,8,7
Glyma.01G203300.Wm82.a4.v1,1,8,7
Glyma.01G214300.Wm82.a4.v1,1,8,7
Glyma.01G219400.Wm82.a4.v1,1,8,7
Glyma.01G233300.Wm82.a4.v1,1,8,7
Glyma.01G238600.Wm82.a4.v1,1,8,7
Glyma.01G241400.Wm82.a4.v1,1,8,7
Glyma.02G035000.Wm82.a4.v1,1,8,7
Glyma.02G035600.Wm82.a4.v1,1,8,7
Glyma.02G036500.Wm82.a4.v1,1,8,7
Glyma.02G055800.Wm82.a4.v1,1,8,7
Glyma.02G124500.Wm82.a4.v1,1,8,7
Glyma.02G149900.Wm82.a4.v1,1,8,7
Glyma.02G157900.Wm82.a4.v1,1,8,7
Glyma.02G168900.Wm82.a4.v1,1,8,7
Glyma.02G179100.Wm82.a4.v1,1,8,7
Glyma.02G193200.Wm82.a4.v1,1,8,7
Glyma.02G204700.Wm82.a4.v1,1,8,7
Glyma.02G244300.Wm82.a4.v1,1,8,7
Glyma.02G250700.Wm82.a4.v1,1,8,7
Glyma.02G272800.Wm82.a4.v1,1,8,7
Glyma.02G303000.Wm82.a4.v1,1,8,7
Glyma.02G305600.Wm82.a4.v1,1,8,7
Glyma.03G005600.Wm82.a4.v1,1,8,7
Glyma.03G005900.Wm82.a4.v1,1,8,7
Glyma.03G068100.Wm82.a4.v1,1,8,7
Glyma.03G074600.Wm82.a4.v1,1,8,7
Glyma.03G085700.Wm82.a4.v1,1,8,7
Glyma.03G103600.Wm82.a4.v1,1,8,7
Glyma.03G135102.Wm82.a4.v1,1,8,7
Glyma.03G137000.Wm82.a4.v1,1,8,7
Glyma.03G141700.Wm82.a4.v1,1,8,7
Glyma.03G149900.Wm82.a4.v1,1,8,7
Glyma.03G178300.Wm82.a4.v1,1,8,7
