gene,n_clusters_DE,clusters_DE,n_clusters_tested
Glyma.11G232500.Wm82.a4.v1,2,"2,8",14
Glyma.01G145200.Wm82.a4.v1,1,8,14
Glyma.02G250700.Wm82.a4.v1,1,8,14
Glyma.04G064800.Wm82.a4.v1,1,8,14
Glyma.05G180500.Wm82.a4.v1,1,3,14
Glyma.06G134900.Wm82.a4.v1,1,8,14
Glyma.07G061500.Wm82.a4.v1,1,3,14
Glyma.07G151800.Wm82.a4.v1,1,8,14
Glyma.08G106700.Wm82.a4.v1,1,3,14
Glyma.08G242100.Wm82.a4.v1,1,3,14
Glyma.08G308200.Wm82.a4.v1,1,3,14
Glyma.10G142600.Wm82.a4.v1,1,3,14
Glyma.12G013100.Wm82.a4.v1,1,8,14
Glyma.13G175700.Wm82.a4.v1,1,3,14
Glyma.16G114900.Wm82.a4.v1,1,3,14
Glyma.16G178800.Wm82.a4.v1,1,8,14
Glyma.17G259300.Wm82.a4.v1,1,8,14
Glyma.19G011400.Wm82.a4.v1,1,3,14
Glyma.20G017200.Wm82.a4.v1,1,8,14
Glyma.20G021000.Wm82.a4.v1,1,8,14
