Wm82.a4.v1 Gene,Corresponding Gene,Assembly
Glyma.01g000100,Glyma01g00210,Glyma 1.1
Glyma.01g000100,Glyma.01g000100,Glyma2.0
Glyma.01g000400,Glyma01g00300,Glyma 1.1
Glyma.01g000400,Glyma.01g000400,Glyma2.0
Glyma.01g000600,Glyma01g00321,Glyma 1.1
Glyma.01g000600,Glyma.01g000600,Glyma2.0
Glyma.01g001000,Glyma01g00400,Glyma 1.1
Glyma.01g001000,Glyma.01g001000,Glyma2.0
Glyma.01g001100,Glyma01g00410,Glyma 1.1
Glyma.01g001100,Glyma.01g001100,Glyma2.0
Glyma.01g001200,Glyma01g00420,Glyma 1.1
Glyma.01g001200,Glyma.01g001200,Glyma2.0
Glyma.01g001300,Glyma01g00430,Glyma 1.1
Glyma.01g001300,Glyma.01g001300,Glyma2.0
Glyma.01g001500,Glyma01g00450,Glyma 1.1
Glyma.01g001500,Glyma.01g001500,Glyma2.0
Glyma.01g001600,Glyma01g00460,Glyma 1.1
Glyma.01g001600,Glyma.01g001600,Glyma2.0
Glyma.01g001700,Glyma01g00470,Glyma 1.1
Glyma.01g001700,Glyma.01g001700,Glyma2.0
Glyma.01g001800,Glyma01g00481,Glyma 1.1
Glyma.01g001800,Glyma.01g001800,Glyma2.0
Glyma.01g001900,Glyma01g00490,Glyma 1.1
Glyma.01g001900,Glyma.01g001900,Glyma2.0
Glyma.01g002000,Glyma01g00500,Glyma 1.1
Glyma.01g002000,Glyma.01g002000,Glyma2.0
Glyma.01g002100,Glyma01g00510,Glyma 1.1
Glyma.01g002100,Glyma.01g002100,Glyma2.0
Glyma.01g002200,Glyma01g00520,Glyma 1.1
Glyma.01g002200,Glyma.01g002200,Glyma2.0
Glyma.01g002300,Glyma01g00530,Glyma 1.1
Glyma.01g002300,Glyma.01g002300,Glyma2.0
Glyma.01g002600,Glyma01g00560,Glyma 1.1
Glyma.01g002600,Glyma.01g002600,Glyma2.0
Glyma.01g002700,Glyma01g00570,Glyma 1.1
Glyma.01g002700,Glyma.01g002700,Glyma2.0
Glyma.01g002800,Glyma01g00580,Glyma 1.1
Glyma.01g002800,Glyma.01g002800,Glyma2.0
Glyma.01g003000,Glyma01g00600,Glyma 1.1
Glyma.01g003000,Glyma.01g003000,Glyma2.0
Glyma.01g003100,Glyma01g00610,Glyma 1.1
Glyma.01g003100,Glyma.01g003100,Glyma2.0
Glyma.01g003200,Glyma01g00620,Glyma 1.1
Glyma.01g003200,Glyma.01g003200,Glyma2.0
Glyma.01g003400,Glyma01g00640,Glyma 1.1
Glyma.01g003400,Glyma.01g003400,Glyma2.0
Glyma.01g003500,Glyma01g00660,Glyma 1.1
Glyma.01g003500,Glyma.01g003500,Glyma2.0
Glyma.01g003600,Glyma01g00670,Glyma 1.1
Glyma.01g003600,Glyma.01g003600,Glyma2.0
Glyma.01g003700,Glyma01g00680,Glyma 1.1
Glyma.01g003700,Glyma.01g003700,Glyma2.0
Glyma.01g003800,Glyma01g00690,Glyma 1.1
Glyma.01g003800,Glyma.01g003800,Glyma2.0
Glyma.01g003900,Glyma01g00700,Glyma 1.1
Glyma.01g003900,Glyma.01g003900,Glyma2.0
Glyma.01g004000,Glyma01g00710,Glyma 1.1
Glyma.01g004000,Glyma.01g004000,Glyma2.0
Glyma.01g004100,Glyma01g00720,Glyma 1.1
Glyma.01g004100,Glyma.01g004100,Glyma2.0
Glyma.01g004200,Glyma01g00730,Glyma 1.1
Glyma.01g004200,Glyma.01g004200,Glyma2.0
Glyma.01g004300,Glyma01g00740,Glyma 1.1
Glyma.01g004300,Glyma.01g004300,Glyma2.0
Glyma.01g004500,Glyma01g00760,Glyma 1.1
Glyma.01g004500,Glyma.01g004500,Glyma2.0
Glyma.01g004700,Glyma01g00780,Glyma 1.1
Glyma.01g004700,Glyma.01g004700,Glyma2.0
Glyma.01g004800,Glyma01g00790,Glyma 1.1
Glyma.01g004800,Glyma.01g004800,Glyma2.0
Glyma.01g004900,Glyma01g00805,Glyma 1.1
Glyma.01g004900,Glyma.01g004900,Glyma2.0
Glyma.01g005000,Glyma01g00820,Glyma 1.1
Glyma.01g005000,Glyma.01g005000,Glyma2.0
Glyma.01g005100,Glyma01g00840,Glyma 1.1
Glyma.01g005100,Glyma.01g005100,Glyma2.0
Glyma.01g005200,Glyma01g00850,Glyma 1.1
Glyma.01g005200,Glyma.01g005200,Glyma2.0
Glyma.01g005300,Glyma01g00860,Glyma 1.1
Glyma.01g005300,Glyma.01g005300,Glyma2.0
Glyma.01g005400,Glyma01g00870,Glyma 1.1
Glyma.01g005400,Glyma.01g005400,Glyma2.0
Glyma.01g005500,Glyma01g00880,Glyma 1.1
Glyma.01g005500,Glyma.01g005500,Glyma2.0
Glyma.01g005600,Glyma01g00890,Glyma 1.1
Glyma.01g005600,Glyma.01g005600,Glyma2.0
Glyma.01g005800,Glyma01g00910,Glyma 1.1
Glyma.01g005800,Glyma.01g005800,Glyma2.0
Glyma.01g005900,Glyma01g00920,Glyma 1.1
Glyma.01g005900,Glyma.01g005900,Glyma2.0
Glyma.01g006000,Glyma01g00930,Glyma 1.1
Glyma.01g006000,Glyma.01g006000,Glyma2.0
Glyma.01g006100,Glyma01g00940,Glyma 1.1
Glyma.01g006100,Glyma.01g006100,Glyma2.0
Glyma.01g006200,Glyma01g00950,Glyma 1.1
Glyma.01g006200,Glyma.01g006200,Glyma2.0
Glyma.01g006400,Glyma01g00960,Glyma 1.1
Glyma.01g006400,Glyma.01g006400,Glyma2.0
Glyma.01g006500,Glyma01g00975,Glyma 1.1
Glyma.01g006500,Glyma.01g006500,Glyma2.0
Glyma.01g006600,Glyma01g00990,Glyma 1.1
Glyma.01g006600,Glyma.01g006600,Glyma2.0
Glyma.01g006700,Glyma01g01000,Glyma 1.1
Glyma.01g006700,Glyma.01g006700,Glyma2.0
Glyma.01g006800,Glyma01g01010,Glyma 1.1
Glyma.01g006800,Glyma.01g006800,Glyma2.0
Glyma.01g006900,Glyma01g01020,Glyma 1.1
Glyma.01g006900,Glyma.01g006900,Glyma2.0
Glyma.01g007000,Glyma01g01030,Glyma 1.1
Glyma.01g007000,Glyma.01g007000,Glyma2.0
Glyma.01g007100,Glyma01g01050,Glyma 1.1
Glyma.01g007100,Glyma.01g007100,Glyma2.0
Glyma.01g007200,Glyma01g01060,Glyma 1.1
Glyma.01g007200,Glyma.01g007200,Glyma2.0
Glyma.01g007300,Glyma01g01070,Glyma 1.1
Glyma.01g007300,Glyma.01g007300,Glyma2.0
Glyma.01g007400,Glyma01g01080,Glyma 1.1
Glyma.01g007400,Glyma.01g007400,Glyma2.0
Glyma.01g007500,Glyma01g01090,Glyma 1.1
Glyma.01g007500,Glyma.01g007500,Glyma2.0
Glyma.01g007600,Glyma01g01101,Glyma 1.1
Glyma.01g007600,Glyma.01g007600,Glyma2.0
Glyma.01g007700,Glyma01g01110,Glyma 1.1
Glyma.01g007700,Glyma.01g007700,Glyma2.0
Glyma.01g007800,Glyma01g01120,Glyma 1.1
Glyma.01g007800,Glyma.01g007800,Glyma2.0
Glyma.01g007900,Glyma01g01130,Glyma 1.1
Glyma.01g007900,Glyma.01g007900,Glyma2.0
Glyma.01g008100,Glyma01g01150,Glyma 1.1
